Comment,Likes,Reply Count
Join ex Google ex Facebook engineers for my coding interview training  https   techinterviewpro com ,191,57
Stop talking to your ex wife  Jeez  It will sour your next relationship  Just let go ,1,
It is spelled as cheap   what she really wanted to say is you are smart ,1,
TechLead became a MGTOW  knowingly or unknowingly ,1,
Yes you are a CPM  Cheap Paranoid Millionaire  who sold all  his bitcoin too early ,1,
Tech lead  no offense to you  but your ex wife is foolish with managing money ,1,
 First name Last name I have posted that message on a lot of videos  People have to understand that the people control the market  And we need to take action against any country trying to manipulate the market  Its not a personal attack on Chinese people  Its an attack against the Chinese government ,1,
Tech Lead  agree with you,2,
 Fred Winslow lol  well  initially there must have been sooomething,1,
 Brittany M are you watching the videos      There is zero compatibility ,1,
I know he has a dry sense of humour and perhaps aspergers but while he is entirely humane and uses common sense that is not common  why doesn t he use his commons sense to find a partner and a few real friends     Or is it that he does have some and his lack of a partner is where his common sense and his grief and practical frustration over his divorce are a problem      I shared this with my adult kids and wife bec what he is covering is accurate and useful to assimilate and live by,1,
 adam g who cares    go away,1,
  Jr Kim He was too busy trying to pick up seeds and dropped the watermelon  The smartest guy in the room traded a house of his own to live with his parents  He traded a job at Facebook to be a sh   talking Youtuber  He traded his marriage to save a few dollars  He traded a life with his son for time on the Play Station  Now he is on some wild Lamborghini analogy  Smartest guy in the room ,2,
Get that woman back Homie    just be easy this time,2,
It s alright to be yourself we re both narcissistic,2,
If the speed limit is 75 mph  then you cannot even enjoy your Lamborghini to its full potential   It s wasted money for all that horsepower  It s inefficient   It s better to spend  500 000 on 10 cars that cost  50 000 each  You can still get a luxury feel with that kind of money  You can give a few to family  and then the rest of the cars can be company cars that employees use ,2,
I agree with Techlead about spending money   It s better to spend money on something that multiple people can enjoy  For example  it s better to spend  1 000 on a new refrigerator that his parents can also use instead of spending  1 000 on a bicycle that only Techlead would use ,4,
C mon techlead stop applying your rationality to female nature  She likes buying stuff because women have that innate biological gatherer nature  Also having money and not spending it is like  not having money at all    ,5,
I d be interested in you talking about what attracted you to your wife initially and vise versa     Would you ever consider reconciling the relationship ,2,
Ty sir   I m doing something similar in my change about woman and your money        ,1,
YOU NEED TO GO TO GYM  once you start feeling the energy you would start doing crazy fun stuff that you are too bottled up to do,3,
Way to cheap   Can t take it with you  ,3,
next video title    im a millionaire  as a millionaire ,4,
There is no amount of money you can make or save that someone else cannot spend  I know a lot of ppl who spend outrageous money on cars that sit in traffic  Lastly  it is ok to spend lavishly on some things like a house in a nice school district that you can amortize over time  If you look at a nice house car as something you pay off over years  you can bring that 500k car to 50k year over ten years  This is fine if you love something so much you will get use out of it for 10 years  A super car is only fun  6 months IMO ,3,
How much you time left  Happy happy happy and then  MAke video about that ,1,
To be honest I don t even think people need cars  so why would they need a Lamborghini ,12,
Techlead is cheap though  His ex wife is right,15,
I don t need a Lamborghini,1,0
all the things this guy says really hit  I was sold on him when he said he is what success looks like,1,0
2  inflation    old days   ,1,0
Thank you for sharing  it was interesting to hear the way you think and your values  Would be great to learn more about this attitude to money  priorities and such lifestyle   This cloth is actual success  I agree  ,1,0
