Comment,Likes,Reply Count
Join ex Google ex Facebook engineers for my coding interview training  https   techinterviewpro com ,71,7
Wow  I didn t know you were hit by a MeToo claim from a woman  Did this make your ex wife mad ,1,
I love your channel  You have me convinced being a tech lead would be the perfect change that I m looking for  and I have zero tech knowledge ,2,
I was faster than you  But not a Tech Lead  ,2,
  I wish I found your channel earlier feels good to listen to someone with the same humor as me   it s very rare ,1,0
People are looking like fools for you   ,1,1
It s actually same theory if someone was trying to get promoted  Stay longer and work harder  look at what other people in the team are doing  So you prepare yourself to become the boss of them  Not only you know what they do at a high level but also get to know how to do it by go that extra mile,2,1
Paying  250 000 as tax  I don t know what are you bragging about ,1,1
A passive aggressive way,2,1
Will the real techlead please stand up ,1,1
Geek,1,2
 Tech leads don t get fired but I did      ,15,1
Where s his coffee ,1,1
FANG salary  250 000     NOW I m interested    ,1,1
So basically in order to become a Tech lead you must first be a Tech follow    ,1,1
this tech video sponsored by myself      D  D,1,1
I m not even in this industry profession  but I can t stop watching this guy  he s funny af ,19,2
Might as well join  you now know all the important stuff ,1,
1 52 lmfao i can t  I LOVE YOU TECHLEAD,2,1
u were underpaid dude  learn to value yourself ,1,1
7K subs and there we go with TechLead as a  millionaire    People say there will be a great party like that in  the Project X  movie ,2,1
4 32 That hits hard,1,1
 not my friends   which I don t have any   ,5,1
how I a became The Tech lead as an ex tech lead,1,1
Math with cs minor or program in your own time,1,
Too cute   funny too,1,1
If the tech lead wife was to upload a tell all video she would be crazy viral ,7,1
 If the Chinese government was a person,1,1
I know how to open Visual Studios  Also  I hate my life ,2,1
 I m THE tech lead   He s back ,4,1
Write everything in assembly  Tech lead title assured,1,0
I like this guy  ,2,0
Atleast I am the Tech Lead in my life lol  Solid advice 4 32,2,0
Lmaooo this had me rolling,2,0
Cool  this was a very useful video,1,0
I can t tell when he is joking or being serious,1,0
It s like a competition for him  to see how long he can milk this cow  ex google  ex facebook   I m rooting for him all the way to the finish line ,13,0
I m gonna take a leap and suggest that the VR industry needs you ,1,2
 ok this guy s level of bragging always kills me,6,0
Yeah it s here https   www amazon com shop techlead,1,
excellent video   warming up to your humor   ,1,0
Came in for joke  walked out learning something  ,4,0
This is what you call a real flex   ,2,0
id love to know what u think abt split ergonomic keyboards    ,1,1
Stylistically not cool enough for me since they re so bulky    Probably comfortable though ,1,
Instructions unclear  I applied to work as a Tech Lead at FAANG  I now work as a Taco Lead at Taco Bell ,1,0
i think facebook is failing because techlead left actually    top tips hmm   man i donno tho its hard to tech lead because sometimes you meet the   repeat what the smart guy sayed   guy and it really annoying sometimes you meet the  Use technical terms that i dont know  guy     sometimes you meet the  im here for the food  guy    and to lead it gets frustarating   i guess being honest about what you dont know would be the best tip and ask if you dont know it and if you dont understand ask again    because ive met people that kinda dont want other people to not know that they dont know   for me i do my research but no everybody learns that way also dont be shy to ask and dont be shy to say i dont know this ask someone that knows it    for example if i dont know something connected to tech i would deffenetly ask you but i will still do my own research   just to be sure    also test the things that someone teache you cuz some are wrong     ive seen wrong maths that are told to allot of people and they believe it    also like keep cool even if on the top like dont get full of yourself   and sometimes agnolage that you are an aishole its goot to say like to the team  i know that im might be an ahihole but this must be done     something like that     not speaking about you its an example    i dont know    also like i dont know   rest     i would reccomend rest or like give your employes the chance to rest because overwork can cause harm and lead to less productivity in the longrun   also read all code that you can just read to understand thats all pure reading of the code gives you allot of knowlage even if you are not a programmer once you kinda understand how things move and why its actually the best to learn that way   also it doesnt matter what programming lenguage the code is in its the logic that matters after that you can apply to anything    well this is tips i think are good have a nice day mr Techdeal    ,1,1
Ego  Ego  Ego    I am making more than that without being a Techlead    hahaha,1,0
