Comment,Likes,Reply Count
  Learn how I built a  1 000 000  business on YouTube  http   youtubebackstage com ,94,25
im 40 and i could retire tomorrow  and no im not rich  i could move to a small country town buy a little cabin put my savings into high yielding shares and live off the dividends  i have worked it out numerous times  and it would work  should i do it  i hate my job driving a cab  its so stressful and i never have any free times  im always tired im always depressed been doing it for 20yrs  should i just sell up buy a little cabin in the countryside and retire away from humanity  i dont need people around me and things to do  as long as i have a good internet connection i can watch utube vids all day and buy a dog like ive always too but couldnt cos i live in a condo  or should i just keep working another 5 10yrs at least and save even more  so i can have more to live off ,1,
Your level of flex is determined by how many Cybertrucks you own in the future though ,1,
I think doing youtube hasn t intellectually simulated you enough  It would be probably make sense to do youtube and to start a business where you making an impact on world like Elon and not too focused on the money but on the journey itself and hire some employees and boom your back into productive because even I think I would get bored of playing games all day or not working towards something,5,
He s right  I went through it too  Here was my take and I tried it a few times as I posted to my own subscribers  I was a physical therapy contractor and at times still am  But three times I went overseas to exit out of the workforce  Each time was four months  The first few weeks were great  Then I started sleeping later and later  Finally it got to the point where I was going to bed at 3 00 am and getting up at noon  You can only train in the gym so long and see the castles and temples so many times  Even living in Gdansk  Poland on the Baltic beach    you take that walk down the beach   again  And I had no purpose  Even though I was in the beginnings of making my own videos and setting up the channel I still had 7 8 hours of down time a day  And I don t go to clubs and bars so that left a whole lot of idleness  End point  a human feels the best when there is a purpose  I used to work with the elderly and can tell you that they have a lot of depression once their role in life is gone besides that fishing trip   again  I think I ll also have a part time gig whether it is becoming the almighty influencer or being a part time physical therapist  My mental soundness is far better with a role to play than when I was on permanent vacation  Hope that helps someone out there  Charles,7,0
This is the exact same problem I m facing this year and beyond  Staring down the possibility of having to completely re think what to do with my free time now that money isn t an issue  Luckily I ve got a family and lots of hobbies but I can see business money making becoming stale after a while   If AI and robotics truly does eliminate the majority of jobs in my children s lifetime  this is a problem all humans will eventually have to face  It s a tough one ,1,0
I became millionaire and retired but wait here s my my new startup ting,1,1
If I retired early  fat FIRE  I would buy a large plot of land in the countryside  homestead part time  grow my own vegetables and fruit trees  raise some chickens and geese for food and fertliser  buy a horse and keep it at the stables so someone else can take care of it and I ll just visit it to ride exercise the horse  enrol in every class that I never got a chance to do when I was little  including ballet  tai chi  horse riding  etc   study part time at my leisure to earn the degrees I wanted in the first place  art degree in French  Russian  Mandarin    to become an interpreter or translator  statistics and economics because I m a self confessed nerd     I feel like you re already pursuing your interests  Youtube scratches most of your itches for productivity  maintaining an income stream and improving gaining skills  Perhaps next you could work on mindfulness and gratitude so that you can be content with what you have  Of course it s human nature to always want more and strive for more  however hoarding your wealth while living like a miser is hardly a way to live if you cannot enjoy the fruits of your labour without guilt or feeling undeserving of splurging on yourself ,1,0
I wish I had 1  of the  confidence of the first 30 seconds ,1,0
Tech lead after I retired at 62 and have always been single I later got a little lonely and missed in a way my coworkers I did get my complete million dollars by 63 by investing some of my former 401k At 64 now I still dream sometimes about being at work and it is so real including the color of the rooms and recognizing the people I have the money to take a vacation but I think that it would be lonely I may give it a try though I live in a small town in Tennessee and I have not seen a beach since Tampa s beach in 2005 ,2,0
This guy is lost   ,1,0
Health  Money  Time  Youth  4 pillars to get you going  Love it absolutely ,1,0
 I was a millionaire by 25  Now why am I telling you this  Is it just to flex  Yeah maybe   Lmfaoo   this guy   ,1,0
Because he s a charlatan,1,
That s the problems with humans it s never enough  No one ever went   oh I ve made enough let me stop   There s always a sense of progression that humans seek  stopping and living life on the couch isn t as fulfilling as seeing how much money you can really make ,1,
Why stop at being a millionaire when you get to a billion  ,1,0
Who cares bro f u lmao,1,1
Big kudos  I m trying to retire early   As an ex tech lead of the same company I work for  need to switch it up a bit  But when I say retire I mean  more time for me to write songs  make short films  go travelling  family time  and stuff you mentioned like random skills  would love to try surfing     ,1,1
Multimillionaire which needs sponsorship to earn money     ,2,1
I m 45  retired with a networth of over  1 million  I m currently traveling the world with my soul mate  I ve loved the FIRE movement  planned for it and I did it  You can do it too  FIRE IS GREAT   ,6,14
lier,1,0
Man  this guy  s ego ,1,0
I am kind of on the same thinking of stage of life   I no longer need sell my time to make salary   but then I am still young how do I make most of life and make it the most fulfilling and meaningful ,1,0
Bro search and read about Islam and other religions  you can do that in your free time and you will be guided to the truth soon ,1,0
I would re approach high level education with a totally different mindset and get some other University Degree  being a millionaire,1,0
This man is a real tech guy  ,1,0
 art seeks an outlet   3,1,0
This is a video for me  as a spoiled brat of wealthy parents ,1,0
I m impressed with your ability to focus in life to be successful  I wish I had that  And I don t mean success in money  but success in choosing a destination and doing what it takes to get there  I applaud that talent ,1,0
If I get to retire early    I would like to rescue homeless dogs and cats     ,1,0
Talking about opportunities investing in crypto currency now should be in every wise individuals list  In two to three years time you might be estactic with the decision made today ,5,11
Hey man  I had a very similar experience as you  joined a startup that became big early and earned a few mils by the age of 30   And I had the same desire to retire and pursue my hobbies  in my case music   And came to very similar realization I won t make it in music professionally and I actually want to code for money again      Somehow watching your video makes me feel much less anxious about my current situation  keep sharing,2,0
Compulsory full time work is a prison designed so people don t have time to think on their own and rebel against the system ,1,0
I love your frankness    More than you can ever earn in your entire life     Hahaha   Because of this video  I wrote down the things I wanted to do once I retire  My goal is in 10 years ,4,0
 For God so loved the world that He gave His only begotten Son  that whoever believes in Him should not perish but have everlasting life       John   3 16   NKJV  ,22,0
Thanks so much for sharing your thoughts and experiences with us   ,5,1
Every week this guys comes and reminds me that he is a millionaire and leaves  Flex level 1000,19,0
I am staying at billion dollar hotel Airbnb,1,0
You did not retire  you re fired ,1,0
 I didnt want to pay for my sons health insurance so i decided to work for google so they could pay for it  lol,42,0
Is millionaire and still shows ads  I don t know why people are so greedy,2,0
I discovered your channel by accident this morning  I have already watched 10 of your videos  As a retired career computer programmer  I find you spot on  I can t tell you how much I m enjoying your sage advice and wisdom  all spoken from a frame of mind that I understand ,10,0
I m 20 years old struggling to retire,1,0
Lmao this man,1,0
I m also financially independent  and I agree here  I retired too early    What am I going to do till age 80   Edit  OH MY GOD I TOTALLY AGREE  with everything he said       I had a meeting with a family member  and they asked me what I do and I just said I trade stocks  ,6,1
I will gladly retire  early  as a multimillionaire so I may pursue other passions  live comfortably  provide security for my family  and have fun every day  You can take the corporate 9 to 5 and shove it ,4,0
TechLead is a multimillionaire  and he s still wearing some  15 buck glass frames from walmart  that s the ultimate flex,6,1
the  15 glass frame which other people paid for through his passive income ,1,
How did you make 1 million by the time you become 25 ,1,1
You are very inspirational,1,0
Got ya  No coffee in your hands in this video  ,1,0
Did you ever consider to add chinese subtittles to your video  I love ur video and want to share to my Chinese friends ,1,1
That s true  I spent over ten years traveling the world  and I always had this nagging urge to do something more  productive  with my life  my time  Well  I must first admit that many of my friends couldn t take days or weeks off from work to hang out with me  to keep me entertained from all the free time I had  There were days I sat in my home with nothing to do  Dating also became harder because my partner needed to work long hours  so it made me wonder whether I needed to find someone as financially stable as me  Being wealthy is like being out of sync with the rest of the world  We ve been conditioned to always work toward something  and when there s nothing for us to work toward  we can feel a bit uneasy ,1,0
I like this guy  one of the realest people I ve ever seen on YouTube ,54,2
Congrats on 1 mil subscribers  techlead,1,0
We don t forgive  We don t forget   Expect us     We are       ,2,0
Man  go meditate  ,1,0
 I just don t do things out of fun   Definitely struggling with this right now ,22,0
Learn more about spirituality ,1,0
My friend Josh Kim when he was 17 he flew in his private jet and was a multi miljonair  I became a millionaire when I was 21 so I was mad that he got it sooner and you got it when you was 25   Ok I feel way better now  We both learned from Dan Pe a ,3,0
If I were to retire early  working out might be the most productive thing I d do  I d pick up my guitar and bass again   ,1,0
Anyone sense the pain and loneliness in this man s life    Sure  he has plenty of money  but has no one to enjoy it with    ,40,10
Ignorant people are blissed out and woke ones are sad  he reached the apex and after the apex it s nothing  hollowness and emptiness  Sadly he has to consciously create his own challenges to stay around  call it artificial challenge if you like ,2,
The top is usually lonely because a lot of people will not be willing to put in the hardwork to climb  with or without you  ,1,
Lmao   I ratter be him  than being u poor     u have money u have bitches n that is not loneliness  FACT  ,2,
You don t need ppl to be happy if u ask me ,3,
Sailing requires so much skill  and it s absolutely beautiful to be on the water ,1,0
I just learnt how to flex from the TechLead  I can now die happily ,3,0
why is your channel dying,2,0
Do you know what  gives you freedom in life                        Ting mobile 25 ,1,0
LMAO when he said I m going to be pretty old by the time I get to where he s at   I m 49 and trying to learn to code and change careers   I m in IT  so not sooooo crazy of a change  but still going to be tough I m sure ,8,0
I love you so much ,1,0
Hi bro  I wanna tell you that pls make a video on your room tour and your tech backpack   ,2,0
Always Read The Fine Print,1,0
