Comment,Likes,Reply Count
  Trade crypto and get 2 FREE Stocks on WeBull valued up to  1850  when you deposit  100   https   act webull com k S4oOH2yGOtHk main,49,34
I want trade or invests some amount so please I need your help,1,
You should get involved in ECC  ecc network   It s an opensource community project and we need developers  badly  lol  Let s just say it s a very slow burn ,1,
In regards to AMC  the week of the Wanda selloff with a friday price ending at 12 we had people scared out of their positions  We did the DD over the weekend and came back strong and brought price back up that next week  Then that friday we brought the prove up to 37 that morning and they panicked and hit us with everything and drove the price down to 25 as people were scared out of their positions  Then we rallied again and sent the price soaring again  Now they drove the price back down from 70s to 40s and scared people out of their postions     but what happens    We do the DD over the weekend  rally into the next week and bring the prics back to the previous weeks highs and more  We could see triple digits next week  They are almost out of moves  No wanda selloffs  less power for massive short attacks  no new issuances from amc  New week  fewer challenges  LETS HODL AND RALLY,1,
Did you just call yourself   Digital Goat       ,1,
You can t wire millions of dollars all at once   Wonder how they got around this ,1,
 B M You have no idea what went on behind their doors   Quit advising people  you don t have a clue ,1,
There are TechLead impersonator comments trying to steal money from the people  If you want to know if the comment is actually from TechLead  check the tick on the right side of the name ,2,
I dont even invest just watch for the damn cringe  ahhh the second coming of christ indeed ,1,
Steve Wozniak got scammed for 60k   Bitcoin,1,
Fools,2,
You ought to re unite with your wife and keep your son happy,6,
Thanks   ,2,
 This guys  keeps doing a great job    i had no idea of what they were doing  not until I checked my wallet and find out that my lost funds was there  I m really impressed with them ,1,0
 This guys  keeps doing a great job    i had no idea of what they were doing  not until I checked my wallet and find out that my lost funds was there  I m really impressed with them ,1,0
 I have been so happy after writing up this guy s damn  they re just so good  I won t stop thanking them ,1,0
 I have been so happy after writing up this guy s damn  they re just so good  I won t stop thanking them ,1,0
I really do appreciate the good work that this guys  did for me  I got my funds restored back to my wallet by their help,1,0
I really do appreciate the good work that this guys  did for me  I got my funds restored back to my wallet by their help,1,0
 Your talents and skills help save people s lives and families  Thank you  I love how you do this to help victims  Support you man  ,1,0
 Your talents and skills help save people s lives and families  Thank you  I love how you do this to help victims  Support you man  ,1,0
In fact the whole universe talk about how this same dude  GURU go about helping people  Keep up man and may God bless you  I do respect your sincerity,1,0
In fact the whole universe talk about how this same dude  GURU go about helping people  Keep up man and may God bless you  I do respect your sincerity,1,0
   I will continue singing praises to this DODERTIC guys  this guys didn t stop until they were able to recover my funds  I m grateful ,1,0
   I will continue singing praises to this DODERTIC guys  this guys didn t stop until they were able to recover my funds  I m grateful ,1,0
 This Dud DODERTIC   has brought so much joy into my life  I got back into my lost wallet by their help  I m grateful ,1,0
 This Dud DODERTIC   has brought so much joy into my life  I got back into my lost wallet by their help  I m grateful ,1,0
 This Dud DODERTIC   has brought so much joy into my life  I got back into my lost wallet by their help  I m grateful ,1,0
 This Dud DODERTIC   has brought so much joy into my life  I got back into my lost wallet by their help  I m grateful ,1,0
With the little experience I had with this dude  GURU I got to understand that he s just so genuine at his job,1,0
With the little experience I had with this dude  GURU I got to understand that he s just so genuine at his job,1,0
I recommend the service of these guys above if you need help bypassing any security system   They are reliabl,1,0
I recommend the service of these guys above if you need help bypassing any security system   They are reliabl,1,0
Thanks to Adantools he got my lost coins recovered contact him    ,1,0
Thanks to Adantools he got my lost coins recovered contact him    ,1,0
Thanks to Adantools he got my lost coins recovered contact him    ,1,0
Y all contact Adantools   for help recovery your lost coins   He s legit   ,1,0
Y all contact Adantools   for help recovery your lost coins   He s legit   ,1,0
Y all contact Adantools   for help recovery your lost coins   He s legit   ,1,0
 This Dude  GURU    is so good when it comes to stuff like this  he got my total funds back into my wallet  he got you covered ,1,0
 This Dude  GURU    is so good when it comes to stuff like this  he got my total funds back into my wallet  he got you covered ,1,0
In fact the whole universe talk about how this same dude  GURU go about helping people  Keep up man and may God bless you  I do respect your sincerity,1,0
In fact the whole universe talk about how this same dude  GURU go about helping people  Keep up man and may God bless you  I do respect your sincerity,1,0
 I have been so happy after writing up this guy s damn  they re just so good at this   ,1,0
 I have been so happy after writing up this guy s damn  they re just so good at this ,1,0
 Respect bro  that s called real skills  few hours ago he got my lost funds back into my wallet  I do appreciate what you re doing  keep it up ,1,0
 Respect bro  that s called real skills  few hours ago he got my lost funds back into my wallet  I do appreciate what you re doing  keep it up ,1,0
 Great job young man  you were able to get back my Stolen coins back  you re just so good at this ,1,0
 Great job young man  you were able to get back my Stolen coins back  you re just so good at this ,1,0
   I really do appreciate the good work that this guys did for me  I got access into my man s phone by his help ,1,0
   I really do appreciate the good work that this guys did for me  I got access into my man s phone by his help ,1,0
 I sincerely do appreciate the good work this guys  did for me and family  they got our life savings back  We are really excited about the things you guys have been doing  MUCH LOVE    ,1,0
 I sincerely do appreciate the good work this guys  did for me and family  they got our life savings back  We are really excited about the things you guys have been doing  MUCH LOVE    ,1,0
The amount of work he puts bypassing is unbelievable this is a masterpiece   ,1,0
The amount of work he puts bypassing is unbelievable this is a masterpiece   ,1,0
 This guy   and his team was gave me access back to my Locked wallet  i can t thank he enough though  you guys should check on him ,1,0
 This guy   and his team was gave me access back to my Locked wallet  i can t thank he enough though  you guys should check on him ,1,0
 IF NOT FOR THIS SAME GUY    I COULDN T HAVE BEEN ABLE TO GET MY SAVINGS BACK ,1,0
 IF NOT FOR THIS SAME GUY    I COULDN T HAVE BEEN ABLE TO GET MY SAVINGS BACK ,1,0
 Respect bro  that s called real skills  few hours ago he got my lost funds back into my wallet  I do appreciate what you re doing  keep it up ,1,0
 Respect bro  that s called real skills  few hours ago he got my lost funds back into my wallet  I do appreciate what you re doing  keep it up ,1,0
   I will continue singing praises to this GURUCRACKERS guys  this guys didn t stop until they were able to recover my funds  I m grateful ,1,0
   I will continue singing praises to this GURUCRACKERS guys  this guys didn t stop until they were able to recover my funds  I m grateful ,1,0
I ll keep on talking about this guy  for the good job he has been doing so far  I really do appreciate it ,1,0
I ll keep on talking about this guy  for the good job he has been doing so far  I really do appreciate it ,1,0
 With the help of this guys    GURU     mine was able to restored back successfully ,1,0
 With the help of this guys    GURU     mine was able to restored back successfully ,1,0
You all should keep on appreciating this DODERTIC Dude  he just got mine recovered successfully,1,0
You all should keep on appreciating this DODERTIC Dude  he just got mine recovered successfully,1,0
   This guys also got my funds recovered successfully  I sincerely do appreciate their efforts ,1,0
   This guys also got my funds recovered successfully  I sincerely do appreciate their efforts ,1,0
 All thanks to this    GURU    GUY  they just helped me in getting back my lost funds  they are truly perfect at this ,1,0
 All thanks to this    GURU    GUY  they just helped me in getting back my lost funds  they are truly perfect at this ,1,0
 With the help of this guys GURU   I can now have access into my wallet back  God bless you man ,1,0
 With the help of this guys GURU   I can now have access into my wallet back  God bless you man ,1,0
 Honestly this same dude has been doing so many great things  God bless you bro  for also making me In getting back my funds ,1,0
 Honestly this same dude has been doing so many great things  God bless you bro  for also making me In getting back my funds ,1,0
 I sincerely do appreciate the good work this guys  did for me and family  they got our life savings back  We are really excited about the things you guys have been doing  MUCH LOVE   ,1,0
