Comment,Likes,Reply Count
As featured in the video     Million Web 3 Crypto  https   milliontoken org  The IQUNIX  Christmas  Mechanical Keyboard http   iqunix store techlead  Tech of the Day  BenQ Screenbar Halo LED Light https   amzn to 3e6BoSE Get  25 FREE crypto here https   crypto com app y7cw5y7xvd,37,37
Your thoughts on THETA,1,
I can hook you up with Richard Heart for an interview if you want,1,
You fail to mention that thousands of developers not officially working for ethereum and all building their own tools  projects on ethereum  Think about the network effects  If you think Im going to listen to a nerd like you and sell all my ethereum you must be joking  Enough said when you say you sold all that btc at  25k   ,2,
Love your ugly sweater  What a gem ,2,
I thought your ex wife was your worse mistake of your life ,1,
But what about the sweater   We want the sweater ,3,
what about cardano  do you think I should give up on my 1000 cardanos ,1,
 Coiled Steel i like cyan and blue combination outfit  ,3,
 Coiled Steel  its just a compliment   i also want a sweater like that,5,
 sriman jena Gay ,2,
You look good in that sweater,4,
5 48     Wait until people catch on to Hedera Hashgraph  ,2,
 Mewz Shick Nahh  MM is multi chain,1,
 Mewz Shick it s pegged at  1 assuming TL doesn t pull the liquidity when it s unlocked   Launching on ETH made sense back then because most defi trading volume was in ETH Uniswap  That has obviously changes with most users bridging their assets to BSC  and now Matic is slowly being adopted   Matic and BSC chains will probably overtake ETH chain soon ,1,
didn t you create MM on ethereum  what will happen if eth collapse  will MM also collapse ,5,
What happens when the crypto currencies are hacked and the currencies vanishes ,1,2
Is this guy shilling polygon  When he talks about transaction speeds he conveniently forgets to mention that sol is faster than polygon ,1,1
I like the sweater  ,1,2
MM Token let s go,1,1
national lampoons cryto show    This guy could be a griswald,1,2
0 07 made my day in 7 seconds ,1,2
this video didnt age well    ,1,2
Elmo thinks your a good looking fella,1,2
This did not age well ,1,1
You where wrong on ETH,1,2
I love that keyboard,1,1
Gold and silver  Those are archaic thinking  Bitcoin is bitcoin and Ethereum is ethereum  If TCP IP was a company  it d be the most valuable company ever  period  Hodling  ETH is like hodling a piece of the internet s base layer  Thanks Techlead  Couldn t get a better reverse indicator than your channel  Keep it up  but i gtg get me some  ETH meanwhile  ,1,2
Worse than Alex Becker ,1,0
Sold at 4 grand   was pretty wise,1,0
I m confident now   ETH will go up ,1,1
What can you say about k love and The billion coin  ,1,1
Very interesting video   Can you make a video on Kadena tech  Seams to resolved this issues,2,2
how did ETH even make its climb to  2 in the first place,1,0
keep buying and investing in stocks or crypto soon Bitcoin will hit  100 000,10,9
Where is your podcast  and discord info,1,1
GOOD VIDEO EVERYONE NEEDS MORE THAN THEIR BASIC SALARY TO BE FINANCIALLY SECURED  THE BEST THING TO DO WITH YOUR MONEY IS TO INVEST  MONEY LEFT IN SAVINGS ALWAYS END UP USED WITH NO RETURNS ,67,95
Admits biggest mistake was selling BTC  Advises to sell ETH  Wears a HODL shirt  ,1,2
With eth2 right around the corner   dude  you are clueless,1,2
True  Ethereum is shady trash ,2,2
Whichever service ends up being the cheapest and is simple for people to understand is the one that will kill ethereum  People don t want to have to pay 150 to trade their trade crypto or sell nfts  And people won t keep putting up with it they will go elsewhere   they re only staying bc thats where most everything is at rn and is based around  Polygon and cosmos sound like names people will flock to over ethereum  The general public will go for cosmos and polygon   whales and people who have money from crypto might stay,1,1
STARTING EARLY IS THR BEST WAY OF GETTING AHEAD TO BUILD WEALTH  AND INVESTING REMAIN A PRIORITY  THE STOCK MARKET HAS PLENTY OF OPPORTUNITY TO EARN A DECENT PAYOUTS  WITH THE RIGHT SKILLS AND A PROPER UNDERSTANDING OF HOW THE MARKET WORKS ,39,40
ETH Price at time of this video US 3922  price today 6 March 2022 US 2651  Should be more subs on this channel   ,1,1
you blew 2 mil and eth is worthless  I m sure you ll make another video in a couple years saying I sold eth at a loss when I would have had 10 mil ,2,2
In multiple years the flaws of each blockchain will be shown and almost everyone will be able to see the difference in foundation of these blockchains  Would love to see some Cardano content  even though the space is early and the Wild West but has an insane amount of potential ,1,1
Hello  I m new to forex and bitcoin trade and I have been making huge losses but I recently see a lot of people earning from it  Can someone please tell me what i m doing wrong,94,29
Thoughts on Cardano being written in Haskell as well,1,0
You are right ma am  your explanation is easy to follow up  after much tutorial online I decided to give investor Emilia a try of  500 in less than two weeks she was able to make a profit of  5000 999  ever since then my life have been better afterwards  I m grateful at all your financial information and education ,15,6
trash really  hahaha your funny ,1,1
I wanted to trade crypto but got confused by the fluctuations in price,21,12
Regina Walters on F B got the best trading strategy  shes the best so far that I have met,2,
The day this video was released  Ethereum was at  3907 USD   Two months later   2450  a 37  decline   I think he can feel good about this one ,4,1
every time u said keyboard on ur videos  i saw my own keyboard and say  wtf    I m not there yet  ,1,1
What do you think about Terra Luna   LUNA  ,1,2
Great video Thank you,1,0
you sold btc at 25 k and you exppect i lissen you lol,1,2
Bitcoin is the future  investing in it now will be the wisest thing to do especially with the current rise ,4,4
