Comment,Likes,Reply Count
Ready to work  Starting salary  250k  Join ex Google ex Facebook engineers for my coding interview training  https   techinterviewpro com ,49,26
I like your sense of humour  ,2,
Will the economy crash in these next 2 years ,1,
 Michael Adkins There will be far worse evidence to go with that too    Think Epstein Pedophiles   Human Trafficking and worse ,1,
 This is my own conspiracy theory that I came up with on the fly  but those ransomware attacks could be staged by the government so that they can have an excuse to go after Bitcoin     Cryptocurrency is a threat to Modern Monetary Theory  If people see rampant       then they re going to turn to digital   ,5,
Idk if I can trust your course if you buy at the height and sell at the bottom    ,2,
The worlds needs a tech lead  millionaire  video rap mix  Compiling techlead voice clips of thoughts on mil lee on air lol so awesome  That would be dope and satisfying  Techlead is my spirit animal lol ,1,
 A healthy human being does two things well  works  and loves    Mum,1,
Certain pll had harder jobs than you like plumbing  construction  lumber  sanitation etc   Some of these  kids  got jerked from the government with no union  healthcare costs  low wage jobs  student debt etc   There are so many issues and son of these  kids  we should be happy for them ,2,
Work smarter  not harder   Scrooge McDuck ,1,
jealousy among millionaires is not cool   don t stress    a fool and their money are soon parted      Making money is somewhat easier nowadays  BUT  saving it and properly reinvesting it   AH HAA    let us see,2,
Imagine the cryptofam commenters if you had an ex bitcoin engineer to add to your group   ,3,
oh  boooo hooooooo ,1,1
AMC diamond hand  Keep working software bum,1,1
Don t support crypto   Support Bitcoin because it s the right thing to do   There aren t many kid crypto millionaires   All these problems stem from central banking   Bitcoin actually fixes this ,1,1
Bitcoin is banned in India,1,1
I love this guy  He has good jokes ,1,1
every other crypto youtuber   i am not a financial advisor techlead   as a professional psychiatrist,1,1
If only you could have included the suicidal tendencies of these lazy people who dont want to work,1,1
A lifetime of hard work vs a single right decision  Damn,1,1
   I admire the efforts u put in your videos mate  digital currencies continues to reshape the world globally  its hard for for anyone going against them these days  though from a trader s perspective i feel we really need more experts in the field updating newbies   lnvesttors on how the community works  crypto currencies are gradually moving towards something big and the price surge over the past few months is just the beginning of greater things to come  lots of persons are skeptical on when to buy in the market and whether it isn t too late to buy an asset  when you re hodling it could be but when trading its never too late to buy  a trader with the right strategy and indicators earns big regardless of market price  bulls or bears   I trade using signals from trade expert Mrs  Susan Bossmann with her guide and signal service i  ve made over 27B TC worth of crypto assets over some months  only for crypto inclined issues    connect her on               Susanbossmann ,213,1
This dude s comedy is focking hilarious   ,1,1
Salty much  Even if bitcoin goes down another 50  I m still a bitcoin multimillionaire  And no  that didn t happen overnight  4 years of blood  sweat and tears  Anyway  enjoy your salt ,1,2
INVESTING MAKE UP THE TOP NOTCH HEMISPHERE OF WEALTH  THAT IS MORE REASON ONE SHOULD SAVE AND INVEST TO SECURE MORE PROFIT AND ENSURE SUCCESS        ,12,23
Bro  you just want to buy the bottom    No hate here  Your vids are great ,1,2
Great NEWS     Can I get a job offer in the US please   Also  less workforce  I can finally get mt pay to go higher since lately the excuse to pat less is that they have people willing to work for peanuts ,1,1
 Money is not a tool   says the millionaire lmfao ,1,2
Investing in Bitcoin right now is the only wise thing to do as the market is much favourable to invest in right now,12,25
Also not fair that kids suffer and die  while you sit there drinking redbull and eating pizza while earning your million  Whats your point ,1,2
Lol  you made your money the old fashioned way through years of hard work  How old are you  35 ,1,2
Glad I m not the only one who loves watching meme stocks and cryptos crash ,1,0
My friend s friend made a lot of money when the first bitcoin spike happened  He bought a tesla and couldn t even drive them cus he was 15 at the time  He now has 3 and he just hangs out at nyc,2,0
Crypto currency is the future  investing in it will be the wisest thing to do especially with the current drop but It s strange how people talk about all the profits  they ve been making through trading of bitcoin  while am here not making any profit at all  Please can Someone put me through on the right path or at least tell me what I m doing wrong ,109,33
  allows you to do things you don t want to do ,1,1
Let me introduce you to new strategies,1,
Didn t you retire and stop working ,1,2
As Jack Sparrow once said   There is no fair or unfair  there is only what a man can and what a man can t do ,1,1
 1200 gains on trolling,1,2
Complains about problematic millionaires when he is a problematic millionaire himself  Ahh the shamelessness ,1,1
The best decision I ever made in my life was Investing in financial market  Trust me guys  it pays alot  And I have come to realize that trading bitcion is more profitable than holding it and waiting for it to skyrocket  ,58,33
The level of self awareness  introspection  and dry humor from TechLead is amazing to watch,1,0
03 22   gosh   ,1,1
I want this man to know we appreciate his dilligent research and dry humour  ,2,1
Awesome and very insightful updates Well i will also say this here    Even as the world still experience slow recovery in terms of economic meltdown due to the recent Covid 19 outbreak  it is best advised to find another alternative to make good income ,195,66
this is humorous,2,1
Will the economy crash this year ,1,1
My favourite a  hole is back with another classic video   ,2,1
money is not the solution so smoke some weed and be happy haha,1,1
Look working hard is something I have done all my life and ai am not find a way to earn a second income   I would give all my extra time to get just 5 min with you to at least point me in the right direction ,1,1
Erm  Mr  Tech Lead   you misread your ransomware graph   Millions  not Billions ,1,1
This guy is hilarious,1,1
admission of being a hater kek,1,1
When you say you are a millionaire it all depends on location in Silicon Valley almost everyone in IT is a millionaire you are below average net worth for that region  Where as in mid west being a millionaire means you are 1  ,1,1
Sorry dude  but I want the easy money ofc  wtf is wrong with you,1,1
Someone is salty AFFFFF,1,1
Tech Lead why are you not looking up to blockchain projects Is a lot of interesting stuff,1,1
So you re a hater  I should ve known   But  alas its useless  you re hate only makes us stronger   as a millionaire ,1,1
Success is dependent on the action or steps you take to achieve it  Show me a man who doesnt have an investment and I will tell you how soon he ll go broke Investment is building a safe haven for the future  with the right choice of investment that has at least 1  minimum risk and with an Expert guidance  profit and interest should be guaranteed ,8,8
Great thoughts    thx   Always good thought    Ride the chair     I really appreciate your insight    brilliant   My old age wisdom agrees with most all your thought   Please touch on political thought   Much respect  ,1,1
TechLead    I am old and with your thought    but not long ago we said that about your work   Many lay asphalt  farm  build  and do not sit in a climate controlled room in a soft chair   Just saying    Life is not fair and       I really like your thoughts    thank YOU    Respect the TechLead     Very smart and unhumble     haha,1,0
Next video  How I become a millionaire with Bitcoin  as a millionaire ,1,1
 RICH PEOPLE PLAYS THE MONEY GAME TO WIN  POOR PEOPLE PLAYS THE MONEY GAME NOT TO LOSE  THE GOAL OF THE TRULY RICH PEOPLE IS TO HAVE MASSIVE WEALTH AND THE POOR SEES A SURPLUS AS AN OPPORTUNITY FOR CONSUMPTION INSTEAD OF INVESTING IT  CHANGE YOUR MINDSET AND DO WHAT THE RICH DOES  WHICH IS INVESTING  INVESTING AND INVESTING   ,31,97
Hey tech lead  How to start our own software company Please answer my question Asking for 2 years,1,1
Hey tech lead  How to start our own software company Please answer my question Asking for 2 years,1,0
Hey tech lead  How to start our own software company Please answer my question Asking for 2 years,1,0
Hey tech lead  How to start our own software company Please answer my question Asking for 2 years,1,1
You sound resentful but you shouldn t be  Even crypto trading is hard work  You need to spend countless hours researching all the coins  studying the markets for good entry and exit points  and keep up with a market that never sleeps and is going on 24x7  On top of that  you also have to endure extreme volatility and see your holdings drop by up to 70  even at times  and mustering up the strength to keep holding through such depressing lows where it feels like you ve lost all your money  losing your hair due to the extreme stress  and your claim about crypto traders being able to sleep is far from accurate  Don t assume things about others that you have no idea about  And even after going through all that pain  most crypto traders actually end up losing money  Think carefully about what I m saying here  Crypto traders have earned their money too ,1,1
By that logic  you only worked for few years and became millionaire  but most people work their whole life to become a millionaire  That s not fair  ,1,1
I want to have MILLIONAIRES PROBLEM    WHEN  GME gamestop moon i think i can experience the millionaire problem,1,1
Hello   But didn t most all Bitcoin millionaires buy there coin with money there parents gave them while living at home with there parents     Good luck ,1,1
