Comment,Likes,Reply Count
   Going to the Moon  Check out MILLION Token  https   milliontoken org ,71,35
BTC just rose above 40K  Nice video btw NOT,1,
i m so addicted to this guy ,1,
 Cryptocurrencies are transparent in their mechanism but private in their use  whereas central bank currencies are opaque in their mechanism and public in their use  ,1,
 Bing Si   do you watch the news   World governments are cracking down on Bitcoin and all other cryptocurrencies because it s a threat to the government s hegemony on currency ,1,
 Really  your best bet hedge against inflation is going to be yourself    That s why I invested in your course ,3,
 New world ODOR Weird economic force em yes he know exactly what to do for YouTube channel income   I do not believe he hates crypto   I guarantee you he is one of the Whale who has massive amount of Bitcoin   ,1,
 i like nice he isn t trying to confuse us  He is trying to appeal with his sarcastic humor to people who apparently find it funny such as yourself and that is working  His message is still the message he wants to convey regardless of the way he is delivering that message ,3,
 New world ODOR Weird economic force em  He knows what he is doing  He IS confusing you   So   yea   mission accomplished   Oh yea   cracking  on folks   too,1,
 Joakim Fridlund        what is crypto          ,1,
I think that crypto is fairly risky   I honestly think that it s going to    but I would say invest with caution ,2,
 smart1 confusion is a sellable commodity too   it seems   did you notice this beautiful beveled desk   that you can pound with your   hands,7,
Best placement for a crypto related ad ever,21,
 Haydenkaur TLGM       I respect your work mate because you are pointing people in the right direction  this is the FOMO August for the incoming dip in September  It is manipulated but that can be a good thing if you understand it  We should all know that when these reports are bullish take some off to the side lines  when news gets bearish start buying   Keep it simple simple  that bear  correction was the best thing that happened me  but all thanks to Hayden Kaur Cobb trade for his amazing skills for help me to earn 7 1 BTC through trading,57,13
I am also growing with Hayden s daily signals    it s a good thing other people are doing same,1,
I ve heard a lot about his trading system in other crypto boards  I can t wait to get my paycheck this week so I can join ,1,
Money is an issue that everyone has for a better and luxurious life  life was hard for me until I started trading bitcoin and am now earning  20 000 per week ,3,0
You re the only one commenting on the bad things happening in crypto ,1,2
Shut it yer too bloody negative   You really need a hooker teach you how to take a compliment    ,1,1
   I admire the efforts u put in your videos mate  digital currencies continues to reshape the world globally  its hard for for anyone going against them these days  though from a trader s perspective i feel we really need more experts in the field updating newbies   lnvesttors on how the community works  crypto currencies are gradually moving towards something big and the price surge over the past few months is just the beginning of greater things to come  lots of persons are skeptical on when to buy in the market and whether it isn t too late to buy an asset  when you re hodling it could be but when trading its never too late to buy  a trader with the right strategy and indicators earns big regardless of market price  bulls or bears   I trade using signals from trade expert Mrs  Susan Bossmann with her guide and signal service i  ve made over 27B TC worth of crypto assets over some months  only for crypto inclined issues    connect her on               Susanbossmann ,210,0
He s hilarious  ,1,1
Well  you called it  ,1,2
Cabbage hands  Lol ,1,2
Oh gosh you were right,2,1
3 years and u cry lol,1,1
Kekw,1,1
greetings from Saigon,1,1
Netherlands wont ban crypto  If you do some research you ll realize its just one guy yelling about it,1,1
another payment of 2btc confirmed just now via the help of bithacoin mining platform they have really been so helpful to me and legit,1,1
When looking at previous reoccurring history of bitcoin  all conditions for the bulls to take full charge has been met but for the lowest band of the bollinger band which is yet to constrict the entire band to signal a sharp upward swing  Indications also show that this is about to happen so  bit will definitely keep rising so its right time to get all in but smartly of course  Its either you are great at it and if not  there are quite a lot of services offering signals  the best to my knowledge being that of Justin Wouter s  a well seasoned trader who has proved his worth  at least to me as i made over 7 btc is a few weeks starting trading his signals with just 2  Justin   Telrgram   wjustin   is very adept in TA and FA as well as analyzing the markets in such a manner that other top traders should emulate,124,7
The restrictions on  US Persons entities  are due to FATCA ,1,1
i just got 0 5btc added to my wallet just now via btc mining done by bithacoin mining platform honestly it is really a satisfying and a profitable platform i am so happy i got to find out about them,1,1
Great context  Everyone needs more than there salary to be financially stable  The best thing to do with your money is to invest it rightly  because money left for saving always end up used with no returns  I started investing in bitcoin mid November 2020 with the help of a well known  professional Mr Brook Fred and the profit entirely funded my recent duplex ,9,8
You failed to mention the CoinGeek  Zurich BSV meeting  ,1,1
This channel gives you crappy analysis  Lol,2,1
He s a fashion statement now    ,1,1
2 38 LOOOOOOOOOL,2,1
hahahahahah diamond hand lol,1,1
Lmao great prediction  Sounds like Somebody is mad they sold their bitcoin,2,1
Lol  excellent  Thanks  ,1,0
why is watching your videos so addictive,1,0
Lol Techlead thanks for another good buying opportunity  Stick to coding  you have 0 understanding of trading ,3,0
 TechLead When did this become a crypto analysis channel  Were your normal videos losing viewers and crypto is topical  To everyone else watching  beware of overly bearish analysis and overly bullish analysis from any YouTube speculator  Its probably unlikely that Bitcoin is going to die now  but remember this is all a game of probability as  no one  knows whats going to happen  My BTC analysis for what its worth  not a lot but I called the 60k top   buy an amount of BTC that you can afford to lose at  11500  Yes it can get that low again  but it will likely fill the gap between 50   54k first  I ve been in this space since 2013 with all the crazy price action that has happened during all the subsequent years ,1,1
This has aged well lol,1,1
TechLead is a pretty reliable counter signal  Next time he buys into BTC  I will be selling ,1,1
Watching TechLead s vids is always a seamless experience ,1,1
This guy wants BTC to get down to 10K so he can invest 50  of his wealth into it  Pure class ,1,1
BTC above 40k today  Guess you are wrong  ,2,1
Hmmm not liking this new crypto bashing attitude from TL ,1,1
This didn t age well lol,2,2
do exactly opposite of what this guy says,1,2
This dude is a marketing genius ,1,2
This guy wishing crypto to crash every week     What s wrong with him    ,1,0
Why did title change change from weekend to week   ,1,0
and then Elon lol,3,1
Just buy bitcoin  HODL   forget about it  If u wanna become a millionaire by 2030  Think ,1,1
Coffee Beans and Rice dont underpin your mortgage or provide you with the internet of the future though  Sadly    Id love an internet made of carbs ,1,1
TechLead tells you what you need to hear instead of what you want to hear  Contrary to popular belief  Patrick has not stopped being a nice guy  He s still helping people by giving advice to those who have lowered their egos enough to listen ,2,2
Holy cow  broke a million subs  That s crazy ,3,1
