Comment,Likes,Reply Count
Check out Pionex crypto bot trading here https   www pionex com sign ref jcupTRk0    NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev  Web 3 Social Network Metafora https   metafora app ,18,16
INVESTING IN CRYPTO CURRENCY IS THE BEST WAY OF GETTING AHEAD TO BUILD WEALTH  THE STOCK MARKET HAS PLENTY OF OPPORTUNITIES TO EARN A DECENT PAYOUT  WITH THE RIGHT SKILLS AND A PROPER GOOD BROKER ,50,160
It s strange how people talk about the profits they ve been Making through crypto trading while I m here not making any profit at all please can someone put me through on the right path ,19,5
          ,1,
Great video and some nice tips  This is a scary time for new investors but the best thing you can do is not to make decisions based on emotions  This could actually be a good time to buy more of your high conviction stocks or crypto on a discount  Wealth is created during bear markets  not bull markets  If your portfolio is really effecting your mental health then delete the app and go for a walk  Let the market do its thing and have a long time horizon  I buy and just trade long term more than ever  I have made over 16  btc from day trading with ALEX VALENTINE in few weeks this is one of the best medium to backup your assets incase it goes bearishyt,201,15
Nice video but honestly the only way to survive the recession is to have more money  luckily for me I have bitcoin trading to help me ,146,36
How do I send USDT from Polygon to Tron  Please help ,1,0
The economic crisis is just a time that differentiates the wise from the other  the wise will invest right now either in stock or cryptocurrency just to hold some shares of something,26,31
STARTING EARLY IS THE BEST WAY OF GETTING AHEAD TO BUILT WEALTH  INVESTMENT REMAINS THE PRIORITY  THE STOCK MARKET HAS PLENTY OPPORTUNITIES TO EARN A DECENT PAYOUT  WITH THE RIGHT SKILLS AND PROPER UNDERSTANDING OF HOW THE MARKET WORKS ,47,89
 Great video really  Also i agree with your opinion  For the newbie if you are actually trading in the crypto space and you don t have a sound mentor  Then you are certainly going to get liquidated in 90  of your trades   Yeah that s the sad truth  For a start you need a good and experienced hand to guide you  Trust me  trading isn t difficult as we see it  With the right Signals and guide  you can earn hugely monthly ,182,12
You re right  I have lost alot trading all by myself without a guide  It s been an uneasy ride for me  Who is your mentor please  I actually don t mind paying ,1,
Investing in bitcoin is the best investment anyone can do this  because it has made a lot of people millionaire  I pray that anyone who reads this will be successful in life,2,1
Hello  I m new to Biticon trade and I ve been makin losses but recently I see a lot of people earning from it  Please can someone tell me what I m doing wrong,81,21
 1,1,
all you need now is a professional trader else you will continue making losses,1,
Thank you  Tech Lead for sharing your crypto enrichment secret to the public  Hope many more technology savvy like you will share some of their secrets too in crypto investments  So that small investors like me will earn decent money for our family  Again  thank you very much indeed and more success to you and family  May God bless you with more blessings ,2,0
Hello  I m new to Biticon trade and I ve been makin losses but recently I see a lot of people earning from it  Please can someone tell me what I m doing wrong,31,9
I noticed when I short farmed using aUST as collateral  there was an associated drop of UST in my Anchor Earn balance  So you wouldn t be compounding by still earning on the 20  from Anchor Earn  Did I do something wrong  or has Anchor Earned changed since the time this video was created to no longer allow this ,2,0
My trading journey was a matriculation of highs and lows  literally just like the market  you up  you down  Now I m constantly up ,25,32
Hello  nice video i m actually looking for the best way to invest and make good profits  can someone tell me how to go about it ,5,3
I HAVE BEEN WATCHING SO MANY VIDEOS ABOUT CRPTO AND FOREX TRADE INVESTMENT BUT YET I M STILL MAKING LOSSES TRADING ON MY OWN  PLEASE CAN YOU GIVE ME A GOOD STRATEGY OR AT LEAST ADVICE ON HOW TO MAKE GOOD PROFIT THROUGH INVESTING,2,0
 Toller  sehr detaillierter und auf den Punkt gebrachter Videoartikel  den du gepostet hast  Kumpel  ich liebe deine Inhalte  Es ist lustig  wie manche Leute immer noch nicht akzeptiert haben  dass Kryptow hrungen die Welt im globalen Ma stab weiterhin umgestalten  Wer dagegen ist  hat es heutzutage schwer  W hrend ich aus H ndlersicht denke  dass wir wirklich mehr Experten auf diesem Gebiet brauchen  um Neulingen Investoren beizubringen  wie die Community funktioniert  schwankte der Preis von BTC in letzter Zeit  was bedeutet  dass der Markt derzeit offen ist und man es nicht sagen kann  Wenn es zu bearish oder bullish wird  vertreibt diese Ungewissheit die meisten H ndler und h lt die Anleger s chtig  Ich w rde sagen  dass es v llig falsch ist  herumzusitzen und zu warten  Vielleicht sind ein paar Linienverluste der falsche Weg  um f r einen Anleger zu denken  denn als Anleger werden Sie feststellen Die M glichkeiten  immer mehr M nzen zu vermehren und nachzuladen  sollten unsere oberste Priorit t sein  um einen Gewinn zu erzielen  Es h ngt alles von dem Muster ab  in dem Sie handeln  und von der Quelle Ihrer Strategien  Ich habe mit 2 BTC angefangen und in nur 4 Wochen  ber 4 5 BTC angesammelt  mit der richtigen Handelsstrategie  die mir von einem erfahrenen H ndler  Mr  Trey Hornsby  gegeben wurde  Seine Methoden sind ausgezeichnet und profitabel und Argon kann leicht  ber Telegram  Treyhornsby kontaktiert werden,3,3
could u theoretically trade micro cap stablecoins   micro cap because they are slightly more volatile     trying to create a bot,1,1
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,51,76
 I will always appreciate your  channel so far  When it comes to the world of investing most people don t know where to start  Fortunately  great investors of the past and present can provide us with guidance ,81,56
I m a fan of crypto  I hold some few coins in my wallet,1,
 Qwin Savage Thanks to you all for your testimonies  it has helped me greatly I thought she is not real but I will now boldly testify she got accurate and awesome trading strategy ,1,
 Zakir A  Waseem I m glad you know  Mrs  Kathy  trading services I was introduced to her by a colleague at the office  it s been an awesome trading experience with her  now i make profits twice my monthly paycheck,3,
 Suleiman Muhammad my earnings range from 2 8btc to 3btc depending on the volatility of the market ,4,
