Comment,Likes,Reply Count
 NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev ,33,12
how many times do i have to tell you that i lov u uwu notice me senpai LMAO KSKJSKJDK,3,
  ,1,
      Text for proper mentorship and tips        ,1,
This coward blocked me on twitter  when i criticized him  He is not a truth teller  He is a coward ,1,0
Me laughing  while living my best life in Las Vegas     ,1,0
Las Vegas is too trashy for me  ,1,0
Great content as usual  Man I look forward to every single video you make  Thank you for helping all of us stay on top of the market  A lot has changed and that s on everything but the truth is I don t even care much about bullish or bearish market anymore because Ray F Johnson got me cover as I am comfortably making 3 1BT C monthly ,5,6
Your doggo is adorable  ,2,0
The best spot is Japan to be near to his son  Even one day a week would be nice for his son to see him ,1,0
Please no more Californians   they ve already made things so much more expensive here than it used to be  especially in reno and have made Nevada such an ugly place to live now that they ve trashed it and made it so expensive,1,1
I lived in Las Vegas from 2009 2021   In that time frame  I regressed physically  mentally  and spiritually   First  you re right   Its not normal to live in a city with no humidity   you will have dry eyes and dry skin   Second  there is no culture or charm in Vegas   Third  EVERY house looks the same   Fourth  there are no gorgeous trees or vibrant green grass   Many people have fake grass or rock in their front or back yards   Fifth  the people are not the friendliest  Vegas is a blast to visit    not to live   I can see where Vegas would be an upgrade from Los Angeles because there is hardly any traffic in Vegas and the cost of living is much lower    I personally moved to Dallas 3 months ago and am sooo happy   Sad that I stayed in Vegas for sooo long ,2,1
As a person who s visited Vegas over 20 times just the last several years  this is shocking  I m also a Software Engineer who s considering moving to Vegas  Thank you for doing all the research and sharing this with us  You re the best  TechLead ,10,2
you should probs work 11 11  harder because you will still be taxed on that additional 10  so account for that ,1,1
And yes the filtering system DOES fix that  Do not get a single or a double get a triple filtering system  Get a house that can house it in the garage  but we really do not need more people coming here ,2,2
just get a water filtering system ,2,2
i ve missed watching ur vids  love these personal ones,1,1
Beware of destination addiction  That s the pre occupation with the idea that happiness is in the next place  with the next partner  and with the next job  And until a person gives up the idea that happiness is somewhere else  it will never be where they are ,3,1
The good life is expensive  but there is another life that doesn t cost as much  but that isn t any good ,1,1
You re so good at talking yourself into something and out of it  I like the air water rant ,6,1
Any move that gets you out of your parents basement   ,1,0
Yes  You really are sporting a youthful  radiant glow ,1,1
looks like he has a lot of time to research  Every city is bad if you try to find negative details ,1,1
Why are you in your room   go out dude ,1,1
120F heat for months on end gets boring  Also traffic is horrible if you have to commute from one part of the city to another  Horrible place to raise a family with high crime and worst school system in the nation  Also  high transient population of losers from other states that get the bright idea to  give vegas a try  after failing miserably in their own states  Texas  FL  Alaska  WA much better choices  If you are a Crypto millionaire then I recommend Puerto Rico ,1,0
I am in a different country but have just gone through a similar thing    Moved for a job with more money   cheaper housing  less traffic  Nice beaches   There s no1 to date as generally less educated  don t take care of themselves  rude lazy disgusting  as in sexually creepy    The water tastes weird and has also ruined my hair n skin   Drivers are less but the worst I ve ever seen   Flights home cost a fortune now  or an 9 hour drive   So yeah  it s important to build a healthy happy life for yourself and the grass isn t always greener  I am pretty depressed with my situation  I don t work remotely   I m going to try another city and if that fails I ll go home ,1,0
 With a nice decent community  Not full of degens like you guys  ,1,0
Nice video ,1,1
 Not full of degens like you guys ,1,0
As a successful  multi millionaire wannabe  ex job holder  soon to be homeless  mid aged Asian man  I only care about getting the perfect natural humidity level for my pale skin   You peasants just don t understand what s truely important for your skin and complain all day about material things like the tax and homelessness in CA ,1,1
I left California in 2018 and it s the best decision of my life  It s peaceful here   just stay away from North Vegas or anywhere near the strip  Henderson is a great place along with Cadence  mountain edge  Anthem and surrounding areas just to name a few ,3,0
 Traders should avoid attempting to predict trend reversals  or even worse  the moon is ours the price is amazing for every early investors for those who got in for the first time otherwise it s just bouncing back to normal price for the rest of us which is good  Those who hold the longest will profit the most  I trade and hold profits keep up the great work  and also Expert Edward Samuel Michelson has been doing a great job reviewing all chart  trade and techniques on BTC which has enhance the growth of my portfolio to 8 btc lately ,47,5
I m an ex pat from LA living in Tokyo and your point about water is so so true  Japan has a very humid climate and their tap water is a super clean quality I definitely noticed the difference in my skin condition as soon as I moved out here  BTW  regarding DeFi  can I get involved even though my money is in Japanese Yen ,1,1
 When you don t have your health  it s just not so fun anymore     ,1,1
 I will forever be in depted to you    you ve changed my life I ll continue to preach about your name for the world to hear    you ve saved me from a huge financial debt with just little investment  Thanks Mercy Greg ,10,0
So many good one liners in this video  Dude is hilarious     That being said  what about Florida  Tons of humidity and massive aquifers for decent to good water depending on area ,1,1
 I will forever be in depted to you    you ve changed my life I ll continue to preach about your name for the world to hear    you ve saved me from a huge financial debt with just little investment  Thanks Mercy Greg ,36,6
You can Reach her on   Te Ie gr am   with the name below  Mercy Greg,4,
