Comment,Likes,Reply Count
 NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev ,29,9
Hello  TechLead   Nice hoodie   Could you please share the brand model   Thank you  ,1,
What sapp                More updates on XRP  NFT s  BTC  What sapp              More updates on XRP  NFT s  BTC    ,1,
More like an ex billionaire                                 Lester Crest ,1,2
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,26,98
Great video Scott  The wisest thing that should be on everyone s mind currently should be to invest in different streams of income that doesn t depend on the govt  Especially with the current economic crisis around the world  This is still a good time to invest in BTC and digital currencies  BTC ETH        ,2,1
You made the fact  It doesn t matter  Who  What  Dislike and go on watching what gives you good feelings  Whuuha  speak like a roboter and add commercial content  Brainwash is not a source to upgrade your ego,1,1
Techlead has taught me everything in life   even how to be funny  ,2,1
Gotta make all the freedom haters cry lol    ,1,2
The market is very unstable and you can not tell If it s going bearish or bullish  I advise everyone to forget predictions and start making a good profit now because future valuations are all speculations and guesses  When these reports are bullish take some off to the side lines  when news gets bearish start buying   Keep it simple simple  that bear  correction was the best thing that happened me But all thanks to Mark for his amazing skills for helping me  Trading went smooth for me as I was able to raise over 9 BTC when I started at 2 5 BTC in just 5 weeks of implementing trades with signals and insights from Mark Jean  I would advise you all to trade your asset rather than hold for a future you aren t sure about You can reach Mark on  eI    m Markjean5050,8,6
This is why investing is so crucial  You might not be able to invest as much as 50  but by investing you can be financially free way before your retirement age ,111,6
Bot,1,
 Zahair O Brian  surf the web for her info ,1,
 James comb The market has chopped me so hard  my portfolio is in shambles so i really need some guidance on how to invest better  how can i reach this person ,2,
 Fred Gallag Always backup your trading with a good strategy  else the bear market will hit you so hard  and you might wake up losing your savings ,2,
The long term investors like   Alexis Georgeanna Herman  do not worry about short term performance that s why i follow her trades  which made me get a profit of  17 300 from  2 740  Whilst there will be crashes and opportunities to buy the overall trend is a positive one ,3,
If you have the patience and discipline to buy and hold any asset or stock  you will be rewarded ,4,
I was banned from Twitter over a year ago  My account was always in suspended animation  So now I don t care what they do with it  I ve found more productive ways to waste time  Like here for example ,2,2
DISLIKE,1,2
A great conversation about the whole Musk Twitter thing  https   youtu be y49xMXKN9 4,1,1
Hmm  by no means  it is verified that  it will happen   but from one of the tweets after Elon made the purchase was to Opensource the algorithm  Which I assume  is the algorithm behind how information are circulated for users to manipulate how they perceive their information    Personally  from my point of view  paying 44 Billion to show ads on the platform is fine unless it diverges the whole point of this massive purchase and effects the opinions of the people   If Elon  does what he says  this is gonna be revolutionary  If this isn t done at some point in time  the future is gonna be dark     We are just a part of hivemind created by tech giants   What does this mean  we are being constantly manipulated with the information we perceive on the internet from the corps like GOOGLE  FACEBOOK oops   META  you name it ,2,2
Reacting to Elon purchase of Twitter as an ex Millionaire ex Tech lead ex Husband,1,2
Shouldn t you be in jail ,1,2
Hahahwha,1,2
You crack me up,1,2
Is it too late to get on the Seedify whitelist  I m trying to save over  5k so I can start,2,1
How do I get into these if I m in newyork ,2,1
okay then  I will give her a head start to see what she s capable of making ,3,1
Happy for you,4,1
OMG  ,4,1
Make a note to Sharon on What sapp regarding your interest in investing in crypto currency and Nfts,5,1
yeah she does  she s an exceptional and lucrative broker at same time  I just bought my dream Mercedes from last weeks profit  All thanks to her expertise ,5,0
Techlead we know you just doin this for what moving at the moment to make money of views ,1,1
What sapp 178552173759    More updates on  market  What sapp 17855173759  More updates on XRP  NFT s  BTC ,1,
same  I started with 6k and now 39k   happy I started with Sharon,5,1
Sir your thumbnails are getting better day by day ,1,1
Despite the economic downturn caused by the war here in Ukraine     I m so happy    I have been earning  32 000 returns from my  8 000 investment every 13 days ,6,3
Netflix also suffered because as the world opened people left the media streaming services after lockdown and started going out again  After a couple of years of been stuck in you home watching movies all day it got tiring  after the lockdown Netflix had nothing else to give  Also  a lot of there new movies are so woke that I deleted my account about 2 years ago  ,16,4
Even Anne with an E had a woke streak in it  very annoying ,1,
Developing from the Commons a superbe free speech and open source information platform with training facilities on how to operate gates to free abundantly available naturally sustained energy and information resources would be logical when you look at what Musk has comprehensively been collecting over the years ,2,1
My question to Techlead is what happened to your Million Token  You don t seem to promote it as much anymore ,1,1
Only GOD THE GENERATOR   CREATOR AND DO NOT FORGET THE DESTROYER    WILL CONTROL WHAT WILL HAPPEN IN THE FUTURE THE POLARITY OF GOOD AND EVIL BELONGS TO HIM       ,1,1
so does he talk about DOGE ,1,2
Techlead I found your prediction in CoinRiders  of bitcoin go to 100k in 2022  Is it still relevant ,1,1
It means I can get my account back after being banned for saying let s go Brandon ,4,2
Finally a little common sense on this subject   I am in agreement  lots of possibilities here but people build Musk up to be something he is not  If you re a rational person  there is just no evidence that he has done anything nefarious  In agreement on Netflix as well  But I will add my belief  that the decline in Netflix and the appearant public desire for Musk to buy Twitter are connected  Nobody seems interested in supporting entertainment or professional sports after the woke movement  A take away might be  people don t like being told hiw to act by individuals they put in the position of  celebrity    Either 81 million people are having buyers remorse or that figure was hugely manipulated   ,2,1
 binance lagged right now    btc pair to ethereum almost   x 4    i upIoaded vldeo  ,493,1
elon musk bought twitter to shadowban bill gates,1,1
If I were Elon  I would make twitter more then tweets  He doesn t need to buy FB if he adds features to twitter that make it more like FB or instagram  The network is already there  he just needs to figure out a set of rules for everyone to abide by ,13,2
Love your Channel    Greatings from Norway  ,2,2
Your intro is flawed  You think he s doing it to be the cool kid  Elon is a Patriot  When platform s are restricting free speech that s a major issue  Just because people don t like what Trump has to say  he should be offered the same platforms as his opponents ,1,2
I think Elon wants Twitter to be the centre of the meta verse  also  Will ultimately link in to neuralink as well ,11,3
What s that wallpaper ,1,1
i think its ludicrous that anyone would buy twitter for that much  suddenly lost A LOT of respect for musk  complete waste of money  He could have started his own for 100k us and then just tried to make it popular  what a bizarre thing to do  he should have just given everyone on earth 1000 pound each lol ,1,4
I m always intrigued by these changes of background  I thought the flat in Las Vegas was the deal  now      ,1,2
Please I need someone to help me trade or invest the forex or crypto market because I m tired of trading in losses myself  I ve blown my account twice and it s frustrating ,5,1
Please I need someone to help me trade or invest the forex or crypto market because I m tired of trading in losses myself  I ve blown my account twice and it s frustrating ,5,1
Tesla isn t a car company  They develop self driving cars making it an AI company  The Robot arm of the business will be larger than the cars according to Elon  Tesla ain t BMW ,1,1
Please I need someone to help me trade or invest the forex or crypto market because I m tired of trading in losses myself  I ve blown my account twice and it s frustrating ,6,1
Expect a new name for twitter ,1,1
Crypto currency and NFTS will outsmart the banking system in the nearest future serving as a global fiat  Already making over 85  profit from my current investment ,9,1
You are right but the market is profitable if you are using a really good broker or account manager to help out with trades or provide signals,4,
Title should be I am supposed to buy Facebook as a millionaire while Elon buys Twitter as a billionaire,1,2
Thank you techlead   ,1,1
Great video  techlead  Always enjoy your refreshing perspective on things  ,5,1
Buy Your Hip Waders  the Liberal Tears are going to be deep        ,1,1
What sapp 178552173759    More updates on XRP  NFT s  BTC  What sapp 17855173759  More updates on XRP  NFT s  BTC  ,1,
it s going to be interesting to see if people like Trump are allowed back on Twitter  I am not sure what responsibilities Twitter will have if people start instigating riots through Twitter but will will find out soon  Similarly  you can t yell  fire  in a crowded theater just for fun so the same logic may apply to social media yet difficult to enforce ,1,3
Good content as always,4,2
Does anyone think dogcoin will run up ,1,2
EmoTioNal DamAge,1,2
Interviewer   sir  what do u think about Elon buying Twitter    Techlead   As an ex google  ex facebook tech lead  multimillionaire  sips a cup of coffee     ,89,4
You missed ex husband,2,
Kindly send a direct msg to join our private coaching and membership,2,
What sapp 19195029420  More updates on XRP  NFT s  BTC  What sapp 19195029420  More updates on XRP  NFT s  BTC   ,2,
Please Elon  just delete it ,1,2
so all the money   and he overlooked all the poor people who could use the help  he instead bought twitter ,1,2
Tech lead is a racist  he no doubt hates Indian brown skinned tech CEOs and engineers ,1,2
Did this guy had crypto scandal   Ik I ve seen him somewhere,1,2
Before he bought twitter i didn t even had a twitter account ,2,3
Someone rly needs to do something about these bots ,1,
Active Audience I need traffic on my Channel,1,2
Imagine if he deletes it for the memes,1,1
44 billion  He could have spent the money on a billions better things then Twitter ,2,2
Best news EVER   ,1,2
If he really allows free speech and makes some changes then Twitter could possibly be good  I never liked twitter myself  I m not into having to limit the length of my post,2,2
True  it s pointless ,1,2
This video is brought to you by     MYSELF   ,2,2
