Comment,Likes,Reply Count
 NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev ,18,20
Can anybody join defi pro  Do you need some sort of prior knowledge to take the course ,1,
Your generosity shines good Sir  By the way Million Token for the win let s go ,2,
 Kamran Mammadli I put all my btc into Yieldnodes last month  set to 100  compound,1,
Teach me that infinite money over collateralization trick,1,
Do you think yieldnodes are sustainable ,1,
What sapp              More updates about XRP  NFT s  BTC  What sapp              More updates about XRP  NFT s  BTC   ,2,
I m so glad you re still posting and didn t give up on us  Your sarcasm is the best    I bought your course  hoping to get into it this weekend  I was under the impression that DeFi was heading down the tubes   This post revived my optimism    ,2,
Tech Lead you re my only friend ,5,
I m so glad I came across this  video has really help my life in a positive way which I can t say finish my appreciation goes to   for making it possible for me  ,1,0
I m so glad I came across this  video has really help my life in a positive way which I can t say finish my appreciation goes to   for making it possible for me  ,1,0
I realized that the secret to making a million is making better investment   I always tell myself you don t need that new Car or that vacation just yet and that mindset helps me make more money invest   ng   For example last year I invested 70k in blue chip stocks and crypt0 s   with the help of my advisor of course   and made about 380k   but guess what   I put it back and traded with her again and now I m rounding up close to a million   Delayed gratification always pays off,117,20
Becoming rich is taken the bold step been financially educated and realising now that stock  bonds and share s remains currently the most lucrative business in the world both NFT  real estate  and crypto  share s  are really  positively  changing people s  lives  tremendously after been properly  guided in risk margin rounding  the financial market ,5,5
His trade execution quality and profiting is well structured with great financial features ,2,
As ConsultRomeropieto ,3,
His Telegram handle   ,3,
I will Recommend Romero pieto his strategy is working good for me and I m making good profits trading with him ,2,
Becoming rich is taken the bold step been financially educated and realising now that stock  bonds and share s remains currently the most lucrative business in the world both NFT  real estate  and crypto  share s  are really  positively  changing people s  lives  tremendously after been properly  guided in risk margin rounding  the financial market ,3,
Great video Scott  The wisest thing that should be on everyone s mind currently should be to invest in different streams of income that doesn t depend on the govt  Especially with the current economic crisis around the world  This is still a good time to invest in BTC and digital currencies  BTC ETH        ,2,1
What are bit corns ,1,2
El dinero es un tema que todos tenemos para una vida mejor y lujosa   La vida fue dif cil para m  hasta que comenc  con Bitcoin y ahora gano   9 500 por semana ,27,35
The wisest thing that should be on everyone s mind currently should be to invest in different streams of income that doesn t depend on the govt  Especially with the current economic crisis around the world  This is still a good time to invest in Gold  Silver and digital currencies  BTC  ETH    ,178,39
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,23,96
Awesome video   I do make over ten thousand dollars weekly with Max s assis tance  ,1,1
My years of trying to earn  profits out there has not been good to me until I knew Mr Max Davies  I make over 30 thousand dollars weekly  ,1,2
I like but love drip coin one of the best in defi coin,1,3
My years of trying to earn  profits out there has not been good to me until I knew Mr Max Davies  I make over 30 thousand dollars weekly,1,
Why did you removed your Zilliqa coin video ,1,2
 The best way to measure your investing success is not by whether you re beating the market but by whether you ve put in place a financial plan and a behavioral discipline that are likely to get you where you want to go  ,39,45
Crypto investing has brought me great success    Irrespective of the economic depression I can boast of over  12 000 dollars every week on my investment ,29,21
INVESTING IN CRYPTO CURRENCY IS THE BEST WAY OF GETTING AHEAD TO BUILD WEALTH  THE STOCK MARKET HAS PLENTY OF OPPORTUNITIES TO EARN A DECENT PAYOUT  WITH THE RIGHT SKILLS AND A PROPER GOOD BROKER ,77,162
The best decision I ever made in my life was investing in the crypto market  Trust me guys  it really pays a lot   ,86,58
Bots talking to each other lol  ,2,
 Bright Perry I would recommend you get started with a professional trader that will trade for you while you get the profit,1,
How does this crypto stuff really works and how do I make good profit from it ,1,
Elon needs to buy YouTube as I give up looking for Real user s comments      ,1,3
Investing funds in Defi is cool  but it comes with insane amount of risk  Impermanent losses are rampant when it comes to defi yeild farming  So one has open their eyes and understand properly what they are doing  Is it worth it  Absolutely ,1,1
All this is like a foreign language to me     Where to start with learning crypto from the ground up with clear explanation and progressive guidance  Thank you ,1,1
Why do you look so old now  Your skin looks like beef jerky now    ,1,2
There s more to buying assets than Just Fundamental Analysis  Fundamental Analysis has its place   but you need to follow the historical price movement  and trade with the institutional investors as they are the ones who move the Market    You also need to use stop losses   so you don t keep losing money       Be Disciplined,86,7
 clark she has a website where she offers online consultations  You can contact her through there ,3,
 Fred Gallag   how can i get through to this person ,2,
 clark I d say invest in good projects and DYOR if you don t understand  Dollar cost average instead of going all in at once  so as to give you a good value for your money  Also i d recommend seeking a proven fiduciary Financial Advisor who will guide  and show you the ropes as you are just starting out  I mean the likes of    Alexis Georgeanna Herman    just like i did ,6,
I am looking at investing in something solid for long term  have about  35k sitting in my saving  what do you think i should be buying ,2,
There is ALWAYS a way to make money in this market  While the market has not been set to easy mode recently  there are still nft to flip  solid coins to stake  IDOs to ape into  trades to make  yields to farm  Never stop hustling for those gains ,1,
the market looks a little bit corrective short term    But long term I am truly grateful to be in the space right now as we are still early  People are quick to forget the good days on bad days  Those good days rocked,3,
Retired with a 7 figure portfolio and receiving about  600k in dividends  I have been in crypto market about 20 years  Am I worried  Am I selling  Absolutely not  I have purchase growth stocks too  a little at a time over the past few weeks  I am going to sit back and observe how this all plays out  adding more at a time  My investment strategy with Ray F Johnson actually calms me down  Eye on the prize  stay the course ,3,9
 positive feedback from    I received 2BTC in my blockchain wallet I really appreciate your effort ,1,0
I m impressed with the thoroughness and professionalism exhibit by this team  particularly their depth of knowledge  focus  integrity and attention to details make us very comfortable doing Bitcoin investment with them  ,1,1
I m impressed with the thoroughness and professionalism exhibit by this team  particularly their depth of knowledge  focus  integrity and attention to details make us very comfortable doing Bitcoin investment with them  ,1,1
 I m blessed by        he got me 3BTC thanks dude  ,1,0
Fastest  confirmation    believe me no one    does it better than this   best and fast,1,0
Although  I have interests in global economics I don t watch the news anymore    I have enough FUD lol   Thanks for this news and offering your insight on how to navigate during unfortunate times events like this   You re right about keeping level headed when investing so that s why I think it s important to limit the amount of FUD we consume   I don t watch the media but the news that you present has enough to know issues going on without riding the emotional rollercoaster if I were to watch the news everyday   Now I buy and just trade long term more than ever  I have made over 23  btc from day trading with Jenna Twartz Signal in few weeks  this is one of the best medium to backup your assets incase it goes bearish   ,62,8
 Hello everyone   I m what I d consider to be a fairly new investor   or person practising stock and crypto investment   y stuff at least   My mother practiced some way back when   including some dividend investment Ethereum crypto trading also and that sorta line of things     She has been helping me a little with my journey     Telling me to focus on tangible assets and stay away from shitcoins and startup investment in my portfolio and the like   Personally I don t see anything wrong with that but honestly I don t vibe with it right anyways so     but   She has petrified me on starting my New portfolio this year  Telling me I have to keep it extremely perfect   written neatly   kept nice and everything   I m not a tidy writer   Never have been   With shaky hands and bad spelling   and so of course I m TERRIFIED to start making certain analysis on paper because I don t want to ruin it or mess it up   I don t really know what to do   Thank you for reading my tangent   what I have to ask is   How do I go about this all  am I able to even start with outsiders assistance or professional help so I can figure out what and how to do it all nicely    I came across a professional name LeonardDouglas  ,4,12
Hello  I m new in crypto trade and I have been making huge losses on my own but I recently see a lot of people earning from it  can someone please tell me what I m doing wrong,5,1
 My formula for success is rise early  work late and strike oil     JP Getty  founder Getty Oil Company ,1,1
HELLO  I M NEW TO CRYPTO AND FOREX TRADING AND I HAVE BEEN MAKING HUGE LOSES TRADING ON MY OWN BUT RECENTLY I SEE A LOT OF PEOPLE EARNING FROM IT  CAN SOMEONE PLEASE GIVE ME A NEW STRATEGY OR AT LEAST TELL ME WHAT I M DOING WRONG,8,5
Investing in crypto is not like putting your money in a savings account that pays 10  annualy  Returns will fluctuate from year to year  some times dramatically  The 10  return is only an average of some bang up years and some gut wrenching years ,69,4
Exactly  that expression  buy back your time  well thats what investing allows you to do ,2,
Great content  It s so surprising how people buy crypto and store  What then is  the reason of buying without investing it and making profit  Meanwhile making profit in crypto and forex at large requires you investing and as a beginner  you ll need an expert who would guide you while making investments because trading crypto ain t really easy as some people might think  You might end up running losses without proper guidance and mentoring from an expert  Raised over 16 BTC when I started at 2 BTC in just few weeks implementing PAUL SINGH daily trading signals and tips ,168,14
Trading with Paul Singh daily signals really changed my perspective about bitcoin because why everyone was complaining and scared  I watched my portfolio grow from 2 BTC to 8 BTC in the space of 3 weeks with active trading,2,
The Reason why I trade with Paul singh s signal is because they are always accurate and helps even when the market is crashing,4,
 Marko Aidan thanks I ll write him immediately,1,
  Orr What sapp 19102580961       ,4,
 Nikmah islahah Reach out to him through the details below,2,
 Marko Aidan PLs  How do I reach Paul  I really need help in this bear market now,2,
Paul Singh has helped a lot of traders   newbies out there  and with their program one can recover losses from crash so quickly,2,
I started trading with his signals with 0 2 BTC  two months ago and i have earned approximately 5 3 BTC  Its all about knowing what strategy to apply and when ,3,
 Nikmah islahah That s sad  i totally understand  i actually lost too at the early stage and then i had someone to manage my account and i watched his strategy and how he does it  PAUL SINGH has been my mentor and i trade using his daily signals,3,
You re right  I have lost alot trading all by myself without a guide  It s been an uneasy ride for me  Who is your mentor please  I actually don t mind paying,3,
2 months ago I had no idea what Crypto is  Now I have  26 000 in BTC and ETH  I still don t have much idea what Crypto is  But I have a big hunch  An expert trader is the key when it comes to success in crypto trading,4,
I agree with you  In my own experience  I have come to realize it s risky and not profitable to hold coins while waiting for the Bull Run  Trading btc and alt has become a lucrative way of making money ,3,
I m new to crypto trading what s the best way to get started with trade cos I ve been making my personal research for a while now  i don t know how to trade on cryptocurrency ,24,12
