Comment,Likes,Reply Count
Join ex Google ex Facebook engineers for my coding interview training  https   techinterviewpro com ,48,33
great video  i share the same opinion i really just want enough money to buy a house to live with my 8y daugther and have some peace  last 2 years i lost everything cause of covid so i hope my small crypto investements gives me some money in the next 2 years ,1,
Millionaire needs money so sells courses  ,2,
no ,1,
I would truly thank you in person and offer you friendship if we ever meet  for these videos  You re one of a kind dude that is not afraid of showing the world who you are  I learn something new whenever I listen to you  and I would consider myself  relatively  experienced in life  Especially  money less life    I would give you one advice  Try finding a friend without him knowing your net worth  Present yourself as a penniless bum  not  that  literally  and see if you can meet someone who will value you as a person  as  who you are   not  what you are   You are bound to meet at least 1 worthy person in this world  Cheers ,1,
i m not gonna ask your money  for free  i know you work very hard for it  but i want to borrow only  10k to trade forex   i will  pay back within 6 months to a year ,1,
why isn t anybody complementing TL on his new outfit  that color reminds me on the color of the water ponds in Semuc Champey    looking sharp man   ,1,
turn the computer off   sell your crap   go for a walk  ,2,
Sir  Must you go sir Must you quite YouTube  You are 1 in a million sir If you leave sir nobody  Will tell us the truth again  We will all be lost sir  please  don t quite  Just be posting at least 2 or 3 videos in a month  Please sir  us students we don t know anything  We just follow  the wrong people and they just give us the wrong information  That just make us students spend the little money we get from are parents on btc  That Don t bring in any profits  Sir please Don t quite please just be posting 2 or 3 videos in a month  If you quite you may have doomed us all  Sir you have no idea how much you have impact on us,3,
I only need 35k 40k initial investment ,1,
Techlead please abide by your words and help me fund my coffee place chess club  ,2,
You furnished your apartment with a plant ,1,
hey Patrick  why don t you turn into a philanthropist then  just like Tony Stark,1,
dude  please don t stop making youtube videos ,3,
One for the archives   No 1  TechLead,1,
Great video Scott  The wisest thing that should be on everyone s mind currently should be to invest in different streams of income that doesn t depend on the govt  Especially with the current economic crisis around the world  This is still a good time to invest in BTC and digital currencies  BTC ETH        ,1,0
This might just be the best video on YouTube    I m going to have to rewatch it a couple of times  to get this concept engraved in my brain ,1,1
  ,1,
You are actually freakishly smart  even as a millionaire,1,0
Hello  I m new to Biticon trade and I ve been making losses but recently I see a lot of people earning from it  Can someone tell me what to know please ,3,1
What sapp 19038510562     More updates on XRP  NFT s  BTC    What sapp 19038510562  More updates on XRP  NFT s  BTC  ,1,
Be rich first and then philosopher  Brother is now in philosopher mode   D,1,0
There s a reason you re an ex  everything   ex YouTuber coming in nicely,1,0
Last few years i put some money in crypto to make more money  I made huge gains but i never cashed out  Then everything was collapsing  And now i luckily didnt really lose much  i m kind of even with what i ve put in  And i know  right now financially is probably the worst time to sell some bitcoin  But i m going to do it  and with the money i m gonna travel for 2 months  And those two months will be an unforgettable experience that give my life so much more joy and happiness  And i realised you don t need that much money to get those experiences  I m not the luxury type anyway   I can travel through south america for about 1 800 euro s a month and have the time of my life ,1,1
BTW  you re videos are nice not because they are about money  but because they are about you  And you are an interesting guy  So please come back sometimes ,1,
5 45 Only the strong minded people will understand what who he was referring to  Good one brother  I got it on the spot  They want they take and take and take and it s never enough and if you decide to stop then you re a bad person  Modern women ,2,0
This is coming from a beaten down man with no dreams of doing anything interesting  sailing the world travelling for years on end living a life of adventure generally becoming truly free  ,1,1
Million I got  100 ,1,0
I think I just found another person to look up to  Thank you sir you earned a follower,1,0
When it comes to the world of investing  most people don t know where to start  Fortunately  great investors of the past and present can provide us with guidance,1,0
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
this has to be one of the best videos I ve seen come out of this channel  no wise cracks  no sarcasm  no corny jokes  just real genuine wisdom about money and its true importance and value ,9,0
One of the greatest videos Ive seen Consider not quoting YouTube because your teaching ppl,1,2
 EarnX is 100x token,1,0
 EarnX is 100x token,1,0
 EarnX is 100x token,1,0
 EarnX is 100x token,1,0
 EarnX is 100x token,1,0
 EarnX is 100x token,1,0
 EarnX is 100x token,1,0
 EarnX is 100x token,1,0
 EarnX is 100x token,1,0
 Joseph James             leaving youtube,1,
I don t have friends either,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
 EarnX is 100x token,1,1
