Comment,Likes,Reply Count
 NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev ,47,32
Ah yes hundreds of innocent people dying is GOOD because I get to make a little money    Please consider getting help,2,
Do you have even a sliver of humanity in you ,2,
Seems like your the puppet now ,2,
How s your ex wife   TL ,18,
Shill LOL,2,
Might want to look into the bots in your comment s section  There s a whole army of them pretending to be you ,10,
Get help man  Mental health is important ,86,
INVESTING IN CRYPTO CURRENCY IS THE BEST WAY OF GETTING AHEAD TO BUILD WEALTH  THE STOCK MARKET HAS PLENTY OF OPPORTUNITIES TO EARN A DECENT PAYOUT  WITH THE RIGHT SKILLS AND A PROPER GOOD BROKER ,79,161
The shittiest take of them all,1,1
Dear TechLead     Your wife leaving you may seem like a negative event  but it could actually be the best thing that happened to your child  If Bitcoin strategy is all you analyze looking at people being raped  murdered  and tortured in Ukraine  you are quiet incapable of empathy and emotional connection  which are two essential ingredients for being a good parent  Can t imagine having a parent who thinks like that  But  that s just me ,2,2
I love your videos,1,1
Sch n hier  Sie haben Recht  obwohl ich es vorziehe  mit Hilfe eines professionellen H ndlers zu handeln  glaube ich  dass es mir Zeit spart und die Krypto Risiken reduziert  die mit der Verwaltung meiner Trades verbunden sind    ,32,8
Yo wasnt expecting this based of a take in a crypto video,1,1
HELLO  I M ACTUALLY NEW TO CRYPT0  AND I HAVE INCURRED SO MUCH LOSSES TRADING ON MY OWN   I TRADE WELL ON DEMO BUT I THINK THE REAL MARKET IS MANIPULATED    CAN ANYONE HELP ME OUT OR AT LEAST TELL ME WHAT I M DOING WRONG  ,7,2
This guy has absolutely no empathy and is one of the biggest reasons I hate rich people  Selfish people like this are why the world is such a bad place ,3,1
Putin caused the war  This guy is like the kid who gets caught stealing and blames the person he stole from ,2,1
What a dumb statement  Biden can be the worst diplomat in history and it is still Putins decision to invade ,2,1
Thanks for your comment     for support and mentorship Leave a msg        ,1,
Techlead seems to have many Psychopathic tendencies but tries to hide this with sarcasm from what I have seen from his content  It s probably a good thing his ex wife is not allowing him to see his child often  if he shows such a lack of empathy for children people in Ukraine then only god knows what he was like as a husband and a father ,2,1
just like prison is good for u ,1,1
This coward blocked me on twitter because i criticized him  He is not a truth teller  He is a coward ,2,1
Is this videos a joke ,3,0
Great content as usual  Man I look forward to every single video you make  Thank you for helping all of us stay on top of the market  A lot has changed and that s on everything but the truth is I don t even care much about bullish or bearish market anymore because Ray F Johnson got me cover as I am comfortably making 3 1BT C monthly ,5,6
Brain dead take,4,0
I don t think Putin cares about people protesting in America against the war ,1,0
