Comment,Likes,Reply Count
 NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev  Check out the Mechanical Keyboard F97 from IQUNIX  http   iqunix store techlead,26,17
 Matthew Adler we all go through that  It s apart of how the mind works and chatters and its useful if you know how to relax and let it quite    I hope anyone who needs to read this can embrace the nature of their mind and learn to live a more healthy and fulfilling life,1,
 Saj ALI I think go outside and fly a kite  Or pick something that cannot be done wrong like painting  Yes ask a park or some place if you can paint a wall       just bright splash colors that can t be done wrong   Don t think about anything  Don t have a single thought the entire time your doing it  Realize you aren t your brain    you are you   ,1,
 Karl Lentz that s pretty funny TL  ,1,
 Rory did you notice from the notifications that he changed the bots that respond to this comment around    Lol     I wonder if TL recognizes me   Oh well  in support of TL I do think he thinks about things so much it makes him paranoid  Like he constantly thinks of reasons why people shouldn t like him when in fact they are at worst indifferent to him    IDK about you but I also have racing thoughts where I can t stop thinking even afk I m still trying to code or do something think of something,1,
 Rory ofc  as a Rory ,1,
 Matthew Adler cool  Glad I m not the only one who sees it,1,
Man you really are down bad lol lying about being friends with coffee to get views saying you helped him when he would have mentioned it in his video if you did  man who knew you would end up leeching views off the guy who exposed you,2,
 Rory some of his bots are kind of funny but still pretty obvious to us   as a whatever   ,1,
Tech lead paid for bots to compliment him in the comments,1,
As a millionaire  would only count the income as passive if you wire it directly to my account   I m not going to actively check my balance to see if you have wired me my   yet  As a millionaire ,2,
I love your new brutally honest  nihilistic perspective  Refreshing  courageous and true ,1,1
Investing in the stock market is the best option to make a passive income  Virtually all the markets are crazy most people pay more attention to the shiniest position on the graph  I m keeping a diversified portfolio,5,2
   I have never seen a man so genuine as this guy   he helped me in getting back everything  all my money are in my wallet now DUDE you re really a man of he s words ,1,0
   I have never seen a man so genuine as this guy   he helped me in getting back everything  all my money are in my wallet now DUDE you re really a man of he s words ,1,0
Great video Scott  The wisest thing that should be on everyone s mind currently should be to invest in different streams of income that doesn t depend on the govt  Especially with the current economic crisis around the world  This is still a good time to invest in BTC and digital currencies  BTC ETH        ,1,0
lol this is like when a kid gets roasted and now making lame painful comebacks to soften the blow,1,4
 I will forever be grateful atful to you   you ve changed my life I ll continue to preach about your name for the world to hear    you ve saved me from a huge financial debt with just little investment  Mia Frank is the best  ,40,7
 Mia Frank       is her handle on telegrams ,4,
      Text for proper mentorship and tips ,1,
This is high level humour,1,3
HELLO  I M A NEWBIE IN CRYPT0  AND I HAVE INCURRED SO MUCH LOSSES TRADING ON MY OWN   I TRADE WELL ON DEMO BUT I THINK THE REAL MARKET IS MANIPULATED    CAN ANYONE HELP ME OUT OR AT LEAST TELL ME WHAT I M DOING WRONG  ,5,3
you have brain worms,1,2
Why is Million Token not in your vidoe bio  Ohhh now defipro I see  Coffee was right hahah,1,4
This was cringey bro  You sound butt hurt that coffee called you out and exposed you ,2,2
Aren t you like 40  Plus you abandoned your child or something  Go pay child support my guy,2,1
this is so sad  this channel is turning into shet,1,3
Your soooo thirsty ahahaha 50k views piggybacking coffee   you gunna need to apply at McDonald s  as a millionaire ,1,2
None of these comments sound real lmao,4,1
You re next,1,1
My greatest concern is how to recover from all these economic and global troubles and stay afloat especially with the political power tussle going on in the US ,121,6
 John Wes  Also i d recommend seeking a proven fiduciary Financial Advisor who will guide  and show you the ropes as you are just starting out  I mean the likes of   Nicole Deanne Mckay   just like i did,3,
  im sure not anyone who is just starting out will be able to navigate the crypto space  I don t have the heart to see the bulk of my portfolio go from green to red  ,1,
There is ALWAYS a way to make money in this market  While the market has not been set to easy mode recently  there are still nft to flip  solid coins to stake  IDOs to ape into  trades to make  yields to farm  Never stop hustling for those gains,1,
I came here to learn how to trade after listening to a guy on radio talk abou the importance investing and how he made  70 000 in 4 months from  16k  Somehow this video has helped shed light on some things  but I m confused  I m a newbie and I m open to ideas ,108,38
I didn t know tech has drama like Beauty community  as a millionaire ,1,1
Corny,2,1
Million token     I still haven t seen development   ,1,1
When you fail at tryna tie someone that s successful to your sinking ship  get a fkn life Tech lead ,1,1
Reading about people grabbing multi figures monthly as incomes in investments even in this crazy days in the market  any pointers on how to make substantial progress in earning would be appreciated ,12,8
Access to good information    is what we investors need to progress financially and generally in life ,1,
Crypto investing has brought me great success  Irrespective of the economic depression  I can boast of over  8 000 dollars every week on my investment ,1,
wow I m surprised that this name is being mentioned here  I stumbled upon one of her clients testimonies on CNBC news last week   ,3,
 Elvis Berry Terrific advice  Thank you    ,1,
Wow I ve been in such situation  More emphasis should be put into day trading as it is less affected by the unpredictable nature of the market  I have made over 3 BTC from day trading with NoraAdams insights and charts she has been one step ahead of other analysis ,3,
You are right  most people have been having a lot of failure in Forex and Stock because of poor orientation   ,3,
Consistently investing with proper guidance in quality dividend paying companies is a relatively easy strategy to create wealth ,1,
My greatest concern is how to recover from all these economic and global troubles and stay afloat especially with the political power tussle going on in the us,2,
I will forever be indebted to you   you ve changed my whole life I ll continue to preach about your name for the world to hear you ve saved me from a huge financial debt with just little investment thanks so much Michael Tiffin,38,8
How is Tech Lead still on YouTube ,2,1
Chat up let s discuss,1,
What sapp 14406130313  More updates on NFTs  BTC  ADA      What sapp 14406130313  More updates on SHIBs  VET  SOL,1,
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,75,158
Market have already absorbed a lot of negative news this year  from the Fed and inflation to Ukraine and China  If you stay invested and ignore the market s ups and downs  you ll make a lot of money in the long run  because trading is more profitable than hodling  That being said  Mr Derek Hansbro taught me to implement his awesome daily signals in the trading field  I entered with 2 6 BTC and gained up to 7 4 BTC ,115,3
Ok so quick take aways  1  Don t get married  2  Buy that keyboard  Got it,1,1
What s app              More Invest updates  What s app              More Invest updates ,1,
video starts at 2 29,1,1
What s app              More Invest updates  What s app              More Invest updates ,1,
 ,1,1
What s app              More Invest updates  What s app              More Invest updates ,1,
I ran across your videos some while back and you are so freakin good  We need more YouTubers like you   Thx for sharing your smarts with the world     ,1,1
What s app              More Invest updates  What s app              More Invest updates ,1,
Please talk about the Million Token  What happened to it after you cashed out on us  ,3,2
What s app              More Invest updates  What s app              More Invest updates ,1,
This channel is funny and educational the same time your sarcasm levels  ,2,1
What s app              More Invest updates  What s app              More Invest updates ,1,
Dude the salt in you is hilarious ,2,1
What s app              More Invest updates  What s app              More Invest updates ,1,
This is sad  like really sad,1,1
What s app              More Invest updates  What s app              More Invest updates ,1,
Techlead I lost all my money on million token and u promised we would make money  U lied and need to pay me back my 75 000k,1,2
Hit me up on the digits Buddy,1,
What s app              More Invest updates  What s app              More Invest updates ,1,
Lmao you re a comedy channel at this point  There s no substance whatsoever ,1,1
What s app              More Invest updates  What s app              More Invest updates ,1,
This is youtube gold ,1,1
What s app              More Invest updates  What s app              More Invest updates ,1,
This guy has completely lost it xD,1,1
What s app              More updates  What s app              More updates ,1,
 Success is walking from failure to failure with no loss of enthusiasm     Winston Churchill,10,1
This season was really great  I made massive profits on my crypto investment  all thanks to Expert Frederick Joseph ,20,21
 The meaning of life ,1,1
What s app              More updates  What s app              More updates ,1,
Lmaoo this is actually hilarious    but this man so salty at same time  biggest W coffee might of ever taken  ,4,2
I will say fire keyboard tho  this man has some good style  ,1,
Lol guys April 1 was 19 days ago  ,1,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
Hello thanks for your great videos  Can you please make a video about how to COMPOUNDING EVERY 1   30 days manually  You know farms and pools that is auto compounding  but Bank is manually compounding 1 to 30 days  ,1,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
Wait what    ,1,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
techlead I love u man keep doing what u doing,3,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
Hope it will show dislikes ,2,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
that s why you eliminate the drama and use only non custodial exchanges and a good hardware wallet like Trezor    not your keys  not your crypto ,1,2
Nice satire  Well done,1,1
Lmao   Techlead never gets old Just waiting on the next one  D,1,1
It s like  there s these golden nuggets in these videos that are just so good  Baby getting creamed and the commentary of life being unfair    It s like  I watch these videos for these nuggets  Just so good,1,1
Yes  when scams proliferate  a market for exposing them is created  Like when a disease spreads there is a market for doctors and medicine  It is not bad that Coffezilla makes a living  He provides a valuable service ,1,1
 btc changer has a glitch    right now it swaps  btc to eth x4    i uploaded a vldeo ,254,1
The fact is  NFTs  BTC is the future of crypto and the question most people ask themselves is   if this is right time to invest  I feel those who would allow the market dynamism to determine when to trade or not are either new in this space in general or probably just naive  the sphere have seen far worse times than this  enlightened traders continue to make good use of the dip and pump even acquiring more equities towards trading sessions  I d say that more emphasis should be put into trading  since it is way profitable than holding  Trading went smooth for me as I was able to raise over 9 BTC when I started at 2 5 BTC in just 5 weeks of implementing trades with signals and insights from Paul Charlton  I would advise you all to trade your asset rather than hold for a future you aren t sure about You can reach Paul on  eI    m PAULCHARLTON,69,6
Techlead  you need ad revenue and i need entertainment  Win win ,3,1
I keep adding to your ad revenue because I get so much joy out of your videos   Hilarious   Keep up the good work   You are already a legend ,4,1
Dude you are so funny  ,1,2
Yes   love it  ,1,1
 I appreciate you and your content  you are reading this Bitcoin pattern the same exact way I am seeing it  We are at a slow uptrend but we are at a bottom not a top so the chances of bouncing up off this resistance is much greater than falling lower  Like you said if we fall lower  it will be briefly and then up from there   More emphasis should be put into day trading as it is less affected by the unpredictable nature of the market  I ve been day trading crypto for 2 months with Lily Alice daily signals and insights was able to make 17 BTC as profit from my initial 6 8 BTC ,44,5
haahahah wtf   You just riding his back for views LOL,1,1
Hilarious   Hahahah   I like it  ,2,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
Freedom for Gonzalo       Get to the chase    ,1,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
Crypto  crypto  crypto  It s just humans  acting like they have always done ,2,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
This video is just straight up gold  Keep making the vids TechLead   as an ex  bitcoin trillionaire ,16,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
And thats that reality,1,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
Tech lead paid for bots to compliment him in the comment section,1,1
The IRS will eat them all alive  That is why crypto is really dead  Taxes are coming ,1,1
Just amazing title and thumbnail,1,1
Tech lead manipulating morons   god I love this channel ,2,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
I wasn t born as TechLead  Life is unfair   ,1,1
What sapp 17325357448      More updates on ETH  NFT s BTC  What sap 17325357448  More updates on ETH  NFT s BTC    ,1,
XD,1,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
is techlead back home at his parents ,2,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
I think  in time your name will be mentioned along with Plato  Socrates and other philosophers ,2,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
I want that keyboard  Do they deliver to Cambodia ,1,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
Fam  ,1,
Does This channel have a telegram support team,58,5
Hey TechLead   I don t know if you know already but The Lead Attorney covered your last video entirely during a 4 hour livestream this week  He covered your custody case very respectfully ,3,2
Who the hell is Lee     His name is LEAD  HOPE YOU GUYS ARE DOING WELL ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
Buy Million Token and join a great community ,2,1
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
You are still my absolute favourite YouTuber and source of info about Crypto ,1,1
What do you think about wildlife  Should it be fair ,1,1
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
What would happen to  MM if we dismantled the TL Foundation ,1,2
Hit the digits for more info  ,1,
What s app              More updates  What s app              More updates ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
So depressing  to hear this news  Good thing i m  barely invested  Luckily I m employed  It s too bad    I was really hoping to get to  passive income  point  Oh well     ,6,5
 Luckily I m employed   ,1,
It was mostly satire ,2,
Hit me up on the digits for more invest updates  ,1,
What s app              More updates  What s app              More updates ,2,
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
Also check Cardano road map etc    Certainly it s a lot cleared than ether foundation and open in it s developer ecosystem    That to be fair enough it s not as pretty as eth     But we ll    is certainly more decentralizided open and with less scams and Rugpulls,1,1
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
Yess,2,
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC  What sap 13182281674    More updates on ETH  NFT s BTC   ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC    What sap 13182281674    More updates on ETH  NFT s BTC      ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC    What sap 13182281674    More updates on ETH  NFT s BTC      ,1,
What s in your coffee   I want to be as brilliant as you ,1,2
What sapp 13182281674   More updates on ETH  NFT s BTC    What sap 13182281674    More updates on ETH  NFT s BTC      ,1,
You re the only multi millionaire who is willing to entertain us at your own expense  and the very distant second is probably Elon Musk sometimes his memes are funny   the rest are boring as hell   keep up the good work  Mr  Techlead,51,5
What sapp 13182281674   More updates on ETH  NFT s BTC    What sap 13182281674    More updates on ETH  NFT s BTC      ,1,
TechLead  I always appreciate your sense of humor  I did figure out that marriage and life were unfair about 45 years ago  however  It has saved me a lot of heartache to understand these things  lol,43,2
    ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC    What sap 13182281674    More updates on ETH  NFT s BTC      ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC    What sap 13182281674    More updates on ETH  NFT s BTC      ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC    What sap 13182281674    More updates on ETH  NFT s BTC      ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC    What sap 13182281674    More updates on ETH  NFT s BTC     ,1,
Satire is a new concept for you  lol,1,
TL   me and coffeezila are friends in real life   gets me      ,4,1
What sapp 13182281674   More updates on ETH  NFT s BTC    What sap 13182281674    More updates on ETH  NFT s BTC      ,1,
What sapp 13182281674   More updates on ETH  NFT s BTC    What sap 13182281674    More updates on ETH  NFT s BTC      ,1,
You and Coffee teaming up has been the best thing on YouTube for months   Keep up the great work Tech Lead you are a legend    ,13,4
 Moz apparently he did not realize,5,
  But you did realize this is a diss and an attempt to discredit Coffeezila expose as just another rant like every other person rants about life  right   ,11,
