Comment,Likes,Reply Count
Nothing but the best  from the best  XGIMI Aura 4K Short Throw Projector  https   amzn to 3KMdWc2 Grovemade Desk Shelf  https   grovemade com  rfsn 5539960 f    Autonomous Standing Desk  https   bit ly 3fsldj0 IQUNIX Mechanical Keyboard  http   iqunix store techlead Aeron Gaming Chair  https   amzn to 3M2etqA Steelcase Gesture Chair  https   amzn to 3xrXrxY Staples Hyken Chair  https   amzn to 3M0eaMQ BENQ Screenbar Desk Lamp  https   amzn to 3M9FaKb Logitech G502 Hero Mouse  https   amzn to 3rqSzFK Shure SM7B Microphone  https   amzn to 3O9XZyD Scarlett Focusrite  https   amzn to 3KMnP9A Macbook M1 Pro Max  https   amzn to 3KMnSCi Asus Zephyrus Duo 15  https   amzn to 3uRH10t LG 4K 32  Monitor  https   amzn to 3uJi86V Zero Water Purifier  https   amzn to 3EdGAQS Beanbag Couch  https   amzn to 38Ty3aj Humidifier  https   amzn to 37QzuFL,55,23
 My rope and ceiling fan  was a millionaire    Video topic for you,1,
Uuuuh  this is not the characteristics of a millionaire    never heard of a millionaire always refer to themselves as how their such a millionaire      your full size mattress on the floor is lookin a lil hoodish  very un millionaireish,1,
your living standards are inspiring  tysm ,1,
how about the monitor ,1,
I like crystal geyser and it was on sale at Safeway for   88 per gallon used to live by that place in Reno,1,
I can see why she divorced you,2,
  ,1,
New apartment looks great lots of light   maybe some houseplants   maybe a Persian  rug on floor warm things up    Sorry to hear the ex l giving u some  hassles your the bigger person sometimes people want to make their own capital allocations    I had a civil matter  private trust  involving lawyers   they said don t talk to anyone too  which I understood why  to prevent arguments   but it complicated  things a bit  in others ways ,1,
Your mentality is made of steel  Haters won t understand ,3,
Great video Scott  The wisest thing that should be on everyone s mind currently should be to invest in different streams of income that doesn t depend on the govt  Especially with the current economic crisis around the world  This is still a good time to invest in BTC and digital currencies  BTC ETH        ,1,0
Better a 1 000 000 00 USD bank account ,1,1
Too many blacks in Las Vegas ,1,1
 I will forever be grateful atful to you   you ve changed my life I ll continue to preach about your name for the world to hear    you ve saved me from a huge financial debt with just little investment  Mia Frank is the best ,31,6
You can Reach her on   Te Ie gr am   with the name below    Mia Frank ,2,
I love the positive energy   we need more of this tech lead,1,2
