Comment,Likes,Reply Count
 NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev    Million Crypto Official  https   milliontoken org ,38,18
 Bryan Rew I can guide you     ,1,
 Greatest Evar Grifter  a person who engages in petty or small scale swindling ,1,
Grifter detected,3,
 SunriseLAW Kind of makes you think they must see us as blind sheep   ,1,
 The Enlightened Manc that s not true,1,
Video title   urgent  sell crypto    Pinned   buy my crypto ,17,
Great video Scott  The wisest thing that should be on everyone s mind currently should be to invest in different streams of income that doesn t depend on the govt  Especially with the current economic crisis around the world  This is still a good time to invest in BTC and digital currencies  BTC ETH        ,1,0
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,74,157
Video Title  Sell crypto urgent  Video comment  Join me in DeFi Pro and make passive income with crypto ,1,1
I thank you and I will forever appreciate this  channel   you ve helped me and my family a lot  in your videos  In your advice lesson and funny words are really inspirational and helpful  my family and i have been able to minimal conscious in spending saving and investing wisely I now earning every week you re sure a blessing to this generation we really love you,4,1
Trading has not been going well with me  I have invested alot of time and failed I traded on my own but each time I keep losing money I don t have good strategies towards the market,1,
HODL   ,1,1
 When it comes to the world of investing  most people don t know where to start  Fortunately  great investors of the past and present can provide us with guidance ,97,78
 Amanda Brown  If you think about it  you are more likely to become a millionaire  I earned 120k even with the crash ,2,
 We all deserve to be rich and have financial freedom  not necessarily working for someone  never give up on your dreams  am trading my coins daily with the help of Elizabeth Ploshay  she has been a life changer for my family  ,3,
 Suzan Attah This lady must be very good in her field  best wishes I will give her a try,1,
 Monica yellowwolf Of course  you can  They re different packages  I started with 2btc and I m earning massively right now,1,
Zlon Musk has a lot of pull when it comes to cryptocurrency prices,1,
 Zakir A  Waseem I m interested  Please Zakir  how and where can I do this,1,
 Amina Mohammed Adamu   I m not surprised because have made up to  98 000 trading under Kathy service  I admit that forex trade is really profitable ,1,
I m honestly surprised that this name is being mentioned here  I stumbled upon one of her clients testimony last week in CNBC news,1,
Hello,1,
 Gift Aaron  Well I make 8 950  at the end of each trade cycle depending on what I put in and it has been good so far ,1,
Inflation comes about when the supply of money is greater than the demand for money ,1,
 Avelina Leyra Yes it s a stepping stone  especially with the current inflation in the market ,1,
 Edler Mark lol investment is a stepping stone to success  and is what creates wealth  Keep it up,1,
 Deborah Feldman  Yes  I was ignorant doing so till I Met expert Mrs  Kathy L  Watley  sometime early last year at a startup funding event in New York City  She had some interesting things to say about the state of algorithmic trading today  very obviously I m seeing the results  and my trading is going smoothly  ,2,
 Edler Mark Trading on your own is good but it s not about watching several YouTube tutorial videos and wasting your time on strategies  you know it s quite risky for beginners with no basic knowledge to make a good fortune out of it ,2,
