Comment,Likes,Reply Count
 NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev  Here s the Interactive Brokers App  get up to  1000 free stock   https   ibkr com referral patrick277,27,10
Most of the accounts praising this guy and others here are just shill bots  Over half of them created within 48 hours of each other ,1,
Techlead  by not pointing out the cons of this strategy   you are doing a dis service to your fan base  Not the best move  I know you want to tell people about an opportunity you think is likely to work but it is important to show both sides of the coin with a strong warning label before giving this kind of financial advise  Most likely you will be right  but what about the off chance that you are wrong  ,2,
Liar  watch out for this man ,3,
you really fell off lmao,13,
Great video Scott  The wisest thing that should be on everyone s mind currently should be to invest in different streams of income that doesn t depend on the govt  Especially with the current economic crisis around the world  This is still a good time to invest in BTC and digital currencies  BTC ETH        ,1,0
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,75,157
So now I can all in in ETF and getting somewhere 4  APY possibly more  borrowing somewhere about 80  of this  then all in in Anchor  and get 19  APY  supply  my aUST to Planet  earn 19   APY more and borrow again 90   of all that  LOOP it and get centralised finance and decentralised finance working together hand in hand   Dude  you definitely changed my life    Thank you,1,1
INVESTING MAKE UP THE TOP NOTCH HEMISPHERE OF WEALTH  THAT IS MORE REASON ONE SHOULD SAVE AND INVEST TO SECURE MORE PROFIT AND ENSURE SUCCESS,47,124
IN FOREX CRYPTOCURRENCY INVESTMENT YOUR FAILURE CAN T BE INSURED  AND YOUR SUCCESS ALSO CAN T BE GUARANTEED UNLESS YOU GAT AN EXPERT TRADER WHO S A PROFESSIONAL IN THE FIELD ,51,51
It makes sense   BTC and crypto is off helping to regulate  rather that pretend it won t ever happen   The big institutions getting in is the catalyst that will launch us into the stratosphere   Most people don t like change but after the change is made they grow used to it and it becomes a non issue usually because their fears never materialize  And benefits they were unaware with before turn out to be far more beneficial   Few if any rug pulls   The projects that initiated the process of regulation have not been ruined  they got involved in setting guidelines and helping the regulators understand the crypto space  I d get involved more knowing that I have made over 16  btc from day trade with Jennifer Wilbur Crypto in few weeks ,76,8
As Callum Lucas said  bears being in control of the markets at the moment generates a buy call Price action wise bitcoin has been trading inside a coil pattern of higher lows and lower highs  towards an invisible apex  On the resistance side  the main level to reclaim remains 46K  On the support side  bitcoin now is displaying two main levels 38 33K  A break below the first one  may imply further chances for reaching the target in the south at the swing low  This implies technical projections into either 56k 23k  With Callum s automated s gnalalgos based on unique combinations of trend momentum volume scanners I ve accumulated over Eleven Bitcoin in 10weeks with just One  Employing his S gnal strategies for my trades has been a great experience ,38,6
Just all in tesla and retire   P,1,0
Drifting into the trading world without the help of a professional trader and expecting profits is like turning water into wine  you would need a miracle  that s why i trade with hilder Ferguson  her skills set is exceptional ,32,10
when it comes to trading and crypto currency  i can assure you that these bots below are fucking annoying,1,0
Starting early is the best way of getting ahead to build wealth  investing remains a priority  The stock market has plenty of opportunities to earn a decent payouts  with the right skills and proper understanding of how the market works ,116,75
You are right  to be a successful person in life require him or her of hard work and time,24,
This craziness needs to stop   ,1,1
I m so happy that irrespective of the economy crisis and financial conditions I am still able to earn  19 500 returns from my initial  6 500 every 10 days  Crypto Investment is the future         ,1,0
When it comes to the world of investing most people don t know where to start fortunately great investors of the past and present can provide us with guidance,2,1
How about million dollar token ,2,1
STARTING EARLY IS THE BEST WAY OF GETTING AHEAD TO BUILT WEALTH  INVESTMENT REMAINS THE PRIORITY  THE STOCK MARKET HAS PLENTY OPPORTUNITIES TO EARN A DECENT PAYOUT  WITH THE RIGHT SKILLS AND PROPER UNDERSTANDING OF HOW THE MARKET WORKS ,49,92
I emailed you on you Twitter account about the Million Token  I am hoping you will read it  Thank you for all the great content,1,1
this guys scammed his own followers   why the fk would you watch him now  Lmao,2,1
are people dumb or loves to get scammed   asking for a friend,3,0
why is the videa  why i stand with russia  down  ,3,1
 Now I ve confirmed your legitimacy i will invite all my friend who are interested  in bitcoin investment to invest with your software   ,1,0
TechNoob,4,1
Where are your videos about the war in Ukraine  Are you afraid to be cancelled because of your opinion ,2,2
 TechLead              thanks  I prefer not to watch videos from someone who suggested Ukraine and Ukrainians to give up and provide russia today videos as proves of the point  Anyways  you did not answer my question  So I will repeat the question that I asked or I will rephrase it if it was not clear the first time   why did you remove videos with your opinion about Ukraine to give up from your channel ,1,
man    please  stop talking about bitcoin  crypto stuff like that  Talk about some tech related thing ,1,0
I m new to crypto trading what s the best way to get started with trade cos l ve been making my personal research for a while now I don t know how to trade on cryptocurrency,44,28
