Comment,Likes,Reply Count
  MILLION OFFICIAL  https   milliontoken org     MILLION FREE AIRDROP  https   gleam io XLIeZ million token airdrop,103,38
 First You need to add MM  as a new token  to Metamask  Get the MM token address  from website or etherscan  and paste  MM should appear as a new token and your holdings will be in  asset   Best regards ,1,
The lion king has spoken,6,
LETS GOOOOO,4,
yes Mr  Shyu upload a new video again   ,4,
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,41,145
keep buying and investing in stocks or crypto soon Bitcoin will hit  100 000,6,6
In my experience I d suggest you start with a very reasonable sum as to gain profits that can possibly even be more than your investment capital in a short period of time,12,11
BTC goes down click bait  Bitcoin s dead sell everything  BTC goes up click bait Bitcoin I m all in  Shut up you click bait moron,2,1
3 20 can i go in store and buy food  go in restaurant buy gas etc  and pay with your f       token and crypto  or i need dollars  you know money    ufff  i think that here only you getting rich on stupid people,1,0
 Have you ever had to waited to not be scammed cause boom boom boom now you don t  ,3,2
The zenith of investment platforms deals mainly with Bitcoin and forex trading   investing wisely,6,5
CHECOIN   ALL  look at the charts   ,2,1
Guy just look checoin i think its the most Big token of this year Seriously     ,1,2
 checoin is release there are 4 days and over 10 million market cap  that s just the beginning    Honestly I did x7  Every hours there are bnb rewards directly in your metamask       CHECOIN literally ate  SHIBA in 4 days      Guys  imagine how it feels when you buy   CHECOIN and become millionnaire            Buy  CHECOIN if you don t want to lose a huge opportunity          ,1,2
Wah Wah fake fake,2,1
Buy Monero and shut up with all your useless coins   ,1,0
Now you can make the billion token and we can buy early this time ,1,0
Thank you for the totally  unbiased review of this token you ve created ,35,2
Can you do a video of how to purchase and sell crypto ,1,1
It s my prayer that God bless each and everyone of us  Intelligent investors shouldn t ignore expert Mr  Paul Jones   He says  how many millionaires or billionaires do you know who have become wealthy by investing in savings accounts  Obviously non has become rich by puting their wealth in savings accounts  ,7,24
How to make more money from investing ,17,6
I must say  your channel is somewhat addictive    Large Investors need to understand the content of investing completely differently than small investors do   Warren buffett once said that if he has one million of capital to inv st he would grantee a return of 40  per annum   It would be very interesting to understand the different valuation method for valuation investment   But my question is how does this average investors  newbies understand the market price   Doiy technical analysis can be quiet different  which is why most newbies traders neglect day trading their coins and stick to holding which is very dangerous as when the market goes bearish   My advice any newbies trader to buy the dip for traders who are still wondering to enter the market or old time traders who are holders to seek help from not just any trader but an established trading expert with at least 96  trading accuracy   I underwent series of tr ding looses I d best not to talk about before i was introduced to tr ding analysis Dr Nicholas Steven Robert   My contact with him has been the pinnacle of this year for me under his careful guide in a few years or so  people will definitely be kicking themselves in regrets for missing the opportunity to buy and invest in cryptocurrency   His signal service  I ve been able to recover my losses and even grow my tr ding portfolio massively  from 1 6 btc to 7btc in 5weeks   I will advise traders  most especially newbies to have orientation of tr ding before the involve in it Sir Nicholas Robert Steven makes you learn daily while you make profit his signals   Dr Nicholas can be contacted via  1 5 8 7 2 1 0 1 3 6 8    for inquires,3,2
Dr Nicholas Steven is awesome  I have 1 6 btc in 2months tr ding with him in the last dip  and he never disappoints me  Best expect on youtube ever ,2,
Inspiring,1,3
so If was putting 10 000  in day one on MM I would make 700 000   in less than a month ,1,2
coming soon    as a billionair ,1,2
Of course Bitcoin is back  And better than ever now that less of the activity will be handled in China where the government loves to meddle so much  You should not have sold like you did a couple months back  you should have at least waited on the reversal  But that s easy for me to say  I only have a small amount of money at risk  I don t want to lose it  but if I did I wouldn t lose even a minute s sleep over it   I guess thats a lot harder when you are investing hundreds of thousands ,1,2
Why don t you show your viewers how much of the Million coin supply you own   I guess it doesn t matter  half of them won t even understand how bad it is   ,1,3
Jeez  make up your damn mind ,1,2
Am I the only person who has never had an issue withdrawing my own money out of my bank account ,1,1
So you are millionaire again  LOL  Bitcoin is so ridiculous ,1,4
Hello  I m actually looking for a good trader that can help me trade and make good profit  I ve been seeing so many recommendations but i don t think they re trusted  Please do you have any recommendation ,47,22
Bots again,1,
buy high sell low,1,2
Bitcoin going to moon   Million token going in grave   That too on earth  ,1,2
Yo Techlead  Been in your channel 3 years ago when wanting to learn programming hehe  Just hitting you up to see where this goes    All love and respect Andrew    0x73cb78e49ED7af68d2d6152F8e2263B66983bc42,1,2
Only if you know what they future says you will know that indeed Bitcoin is the future  Investing in it now will be the wisest thing to do especially with the current rise   ,34,32
 If Bitcoin falls   so be it  It was a decision I was prepared to make  On the other hand  if it increases  then maybe I will retire in two years time  ,15,7
 Zappyguy111 what s your strategy you just buy and hold or you trade ,1,
 Zappyguy111 very true either way you win   ,1,
 HANSEN DICKINSON  Yes you re right  I have made over  100 000 trading cryptos  From Btc  to Dogecoin  ADA litecoin  XRP  Ethereum etc my last was  11000 just last week with  5000 capital,2,
Early retirement does feel good my friend   I tell you there alot of money to be made in the crypto world   but only with the right strategy ,2,
i was waiting for the moment until he mentioned Million token once again   ,2,1
Price up just for whale selling see the volume are you dumb,1,1
Will you be getting a tech lead job with Amazon in crypto ,1,1
Just Another promotion video of million token  ,1,1
how can i short Million token  ,1,0
people will always be available to fall for a pyramid scheme     OMG this guy is BLATANT    now crypto is the future just after the launch of million token     what a coincidence    what a sleaze ,1,2
Hey TechLead  I like some of your earlier videos but this one is pretty scammy  There s going to be a lot of gullible people who will follow your lead without really understanding the risks they re taking on  You should use your platform to educate and inform people about building long term wealth  not to push dubious crypto  investments   And I say that as a multi millionaire ex coder  by the way   ,1,0
this has now become million token promo channel which has dropped more than 50  from its all time high,2,0
It is weird to hear you talk so positive     I don t like it,1,0
Patrick make me understand  You do have the expertise  talent and knowledge to really create a sustainable and useful coin that will sell itself instead of you trying to create a hype and lose your reputation and integrity  You have all the tools and resources  The million token is not sustainable long term and you know it  Again  anyone predicting prices will only make themselves lose credibility  Good luck ,2,1
At least we now have a legit  transparent project thanks to MM Million,2,1
Shilling shitcoins,1,1
Woooo Hoooo Million Token    Wait until we have months under our belt   ,7,0
Smoothest 180 I ve ever seen  You sir are  a pro ,5,0
I m just here to see how many realize that techlead is trolling crypto followers ,1,1
I love Million token,2,1
cool,1,0
Hey techlead can you watch this tiktok video from  huqsan   Tell me your thoughts as he is your ex coworker ,1,0
This time it took only 1 38 to turn the video into Million Token propaganda  lol  RIP this channel ,1,0
Great social engineering experiment ,1,0
When I get rich from MM  I m going to South America for a ahuyasca reset ,1,1
Love you man      wish success in ur new project  ,2,1
i am not into crypto but id like to buy the token  i have no idea how  could someone show us the way ,1,1
Million Token is slowly taking off again  A sign of an imminent moonshot ,5,2
I buy Million token month after month with dollar cost average strategy,4,2
OMG the gains  This reminds me of BTC or Doge in its early days ,11,2
tbh the bullrun never went away  tl  zoom out  button must not be working ,1,
crypto is garbage   blockchain however is the future   but go ahead and make a little money now before the well runs dry,1,1
Yes its growing,1,1
I though you had quit from cryptos   This chanel is a stand up comedy  ,2,1
Million token to  3000    3 billion market cap  with the road map coming out,4,1
DeFi sucks  atleast on Ethereum blockchain   Get rid of the high gas fees and lost coins from failed transactions then it will arrive ,1,1
It s sad that you continue to do these videos about crypto  I liked more your technical   emotional side,1,1
U know what would kill crypto   Legalzing every drug,1,1
thanks for the info man,1,1
Sounds like you bipolar,1,1
Entire video is just pumping milllion token  After bashing crypto   suddenly there s a change of heart  F u tech lead,1,1
Your the man,1,1
TOTHEMOON     ,1,1
As a future millionaire  Thank you TechLead for all the wisdom and guidance ,1,3
Million Token  the new powerhouse in the crypto world  pump it up buttercup      ,2,2
Free Airdop done  Go Million ,1,1
Love your vision  clarity   and what you add to the space  MM to the MOON and BEYOND ,4,1
MM to the              ,1,1
I m gonna open the right door and buy some Million Token   MillionToken,5,1
this is my homie   milliontoken,2,1
Uniswap s address is in Brooklyn  NY  I believe  Not very decentralized for something that claims to be a DEX  Similarly  Eth has 2 points of failure  and can be shut down by the government making 2 phone calls   1  Buterin 2  AWS   Defi will have to be built on bitcoin  which easily survived being banned by China   not sand ,1,0
Yep yep  Another episode about Million  To the moon ,3,2
Go go gadget million token ,1,1
Great content and honest u  ,1,1
Participating in airdrop  Congratulations  ,3,1
This is what I came for            ,1,1
  ,4,1
You changed your mind on crypto and btc  At the same time I changed my mind on you   You are a real selfish   And I m guessing your wife made the right call ,3,3
So damn confused guy,1,1
  ,4,1
I miss your old video s styles  talking about tech and life  ,3,3
 Extremely point by point video Well I will also say this here  Most people don t understand the concept OF  buying the dip  the price rises just as the current market is down  Holding is great  Although trading is far more profitable  I was able to grasp the knowledge of trading crypto assets early enough  but I was still limited due to my lack of technical under standing of how to analyze the digital market  All that changed when I encountered Edward James Services  I must confess it was Easier to understand with the assistance of Edward James and till now he has made me over 16     This is his details on TE LE GRAM       Edwardjames022     for his assistance on strictly crypto related    ,144,4
My guy   ,2,2
 ,2,0
Million token       ,1,0
false alarm,1,1
The whales are back ,1,1
When you truly understand     You ll come to realize Bitcoin is defi ,2,1
Another million commercial ,2,0
Miss the stories about life ,2,2
Defi is the future,1,1
LIONS                        million token MM,4,1
Feels like this is the beginning of a boarderless nation now  MM for life,3,1
techlead enough of crypto stop this now please we want old techlead back  it seems money is everything for you now ,1,1
Mil LION    ,8,1
Great work TL and Million Army ,3,2
Man this is boring,1,1
His views on crypto change like woman s emotions,1,1
Having more ETH will allow me to add my Million tokens to the liquidity pool    ,4,2
You just got played,1,
Great demystification  Big big community  Cool ,2,2
i dont know why but i like this mans attitude ,4,1
Funny that it was over so fast because it was a market manipulation    I d take this vid down ,1,1
It s still complicated on how to buy portions of MM   Please help me buy some     Thanks,2,6
thanks for the shout out  proud to be a lion  Would love to do an AMA with you,8,1
Another great video  Loving the MM journey so far  any thoughts on BCH and SMARTBCH ,4,1
Register at million token giveaway   ,2,1
In TechLead we trust   D,4,2
1 MM could someday be worth more than 1 BTC,2,1
  ,3,1
Million is going to the moon     ,2,1
Ladies and gentlemen we got em  MOON TIME  Love to all the future millionaires  See you guys on google ,6,0
2 years ago I needed a new mechanical keyboard  found The TechLead  I wanted more challenge in my work  motivational speech by TechLead  Dismissed old habits   geared up     IT Engineering to IT Architect   Disconnected useless friends and re invented myself  TechLead   And lately  TechLead Euro s in the bank  Million crypto hodler and even more crypto s overall   So yes                      TechLead  ,3,1
Glad to be apart of this project,3,1
Billionaire s fleecing more sucker s  It never ends  No intrinsic value in crypto  ,2,1
Stop comparing LIONS with DOGS  We lead the Market   ,4,1
 My position on crypto has actually somehow reversed  after talks of a wedge  Saw what you did there ,20,2
Anyone know what software he is using when he shows us the Bitcoin technical analysis ,1,1
Buy high  sell low ,1,1
To the moon     Thanks tech lead    million army ,7,2
I believe in this community,2,1
My TL   Love you man ,3,2
TL let s get the binance listing done ,1,1
MM token to the Mooooooooon     ,1,1
 MyBody MyProject Do you have coinbase wallet  It is a separate app  You can send from your coinbase account to your wallet  It may take a few minutes but after you will see the eth appear in your coinbase wallet  Then go to uniswap and make the connection   then you have to choose your eth to swap for mm,1,
 MyBody MyProject watch his early videos  Learn about something called uniswap  Don t be fooled by spam bots leaving comments,1,
Million is my fave ever coin  great stuff Techlead  defi is defo the way to go,5,3
 Roar Map      Loved it,6,1
Thanks 10 Million   ,1,1
