Comment,Likes,Reply Count
 NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev   Die With Zero  book  https   amzn to 36csm6u,52,23
You can t be not interested in people because you re making video talking to people ,1,
Why Vegas  Your son isn t in Vegas  Move to Japan until he turns 16 17 and THEN move to Vegas when he can choose  Right now he can t choose but you can choose ,1,
 Jay Quite the opposite    you end up wanting to gamble less after you lose enough lol    better odds with crypto and nfts that have solid fundamentals imho,1,
Very good video   I completely agree with these sentiments   It s good to see some people with money out there like you who are making a conscious effort to spend it wisely and valuing the opportunity of having such freedom  Also  I have to say  consider giving some back to people or animals in the ways you find most valuable    I also live in Las Vegas and it s a pretty decent place to live  especially if you can travel regularly  Wishing much to love to you man  and it s good to see someone in your position not just going after material goods or social media accolades ,2,
Techlead  Bed frames are superficial  sleeps on ground mattress Also Techlead  Brings keyboard wrist pad  Right priorities I see   ,4,
The slow road to insanity,6,
I follow your channel I have a question  you mention you want to do travel   Wouldn t that be also overrated    Like why go somewhere be a turist and view things but you are not really sharing these experiences with anyone but yourself   Do you ever stay up at night thinking about the past and think about past experiences or travel you did in the past   I think at most might be like 10 minutes but other than that we tend to live in the present   You can do a virtual reality travel and get the same experience just to view random places  cities   you are not really sharing anything with anyone and you are just spending money to travel to another country to do turist things   It seem boring too ,2,
 Blue eyes TL won t quit YT   He s just trolling as usual   He has worked hard to build his sub base  or rather dollars  same thing  to let it go that easy ,6,
You signed off by saying   you ll see us in the next vid    This leads me to believe we ll be seeing more videos  I need your videos to help me model my life after yours  Thanks for being around ,4,
Great video Scott  The wisest thing that should be on everyone s mind currently should be to invest in different streams of income that doesn t depend on the govt  Especially with the current economic crisis around the world  This is still a good time to invest in BTC and digital currencies  BTC ETH        ,1,0
     ,1,
TL watched a Alex Becker minimalist video      this is the way,1,1
Sounds like you re losing your mind bro    at least you got out of SF ,1,1
You ve been here nearly six years  and made over three hundred videos explaining  in one way or another  why you re the best and everyone  everything and everywhere else sucks   It s not my idea of how a truly accomplished person spends their time ,5,1
Why I Quit YouTube  like and comment and I ll see you in the next one lol     He s never quiting youtube  he will always see us in the next one    ,1,1
Poor lonely Tech Lead  Explore  Amboy in the Mojave Desert  take Kelbaker rd  Search for Franconias  The Desert gives comfort to people who are fed up or want to be alone ,1,1
A long time ago I watched this channel dreaming of being a developer  and I was actively working towards it  Fast forward four years and I quickly rose to senior engineer in the pharmaceutical industry  and I am now the tech lead for my team  I would like to believe I was promoted quicker due to being an avid TechLead watcher ,3,1
Next why i back to youtube     ,1,1
I m sorry for you  Only money with no happiness ,1,0
Hello  I m new to forex and bitcoin trade and I have been making huge losses but I recently see a lot of people earning from it  Can someone please tell me what i m doing wrong,12,10
Trading with an expert is the best strategy for newbies and busy investors who have little or no time to monitor trade,1,
Bro   you re cray cray  Love you tho ,1,0
Its fun listing to you      kinda like listening to MR SPOCK from star trek      after he s had about 6 vulcan strength frapachino s   LIVE LONG    and financially PROSPER     but dont forget to have a little fun along the way,1,0
Islam religion is the only way that makes sense,1,0
Thought about therapy  son ,2,0
And here I was hoping this dude was in jail  as a millionaire    ,1,0
Some people are spectators  Others are protagonists  Some live one day at a time  Others are seeking purpose  And it s all fine ,1,0
Someone needs to  Will Smith  this guy ,1,1
gosh welcome back   i ve missed your direct no BS monotonic style of info delivery   can I ring u up next time in vegas   we can go hit on some babes in the local parties  u know  wingmen and all   ,1,0
he says     i seem to be pretty rich right now  sure as a millionaire,1,0
Just go to Texas,1,0
Dam you are so smart and right about everything,1,0
Feedback appreciated   Wanting more info and insight   WatsApp the numbr above  Endeavor to reach out    ,1,
I enjoy createing a space worth living in  in fact its a very important part of my life  A place to call home  There is absolutly nothing wrong with creating a space of beauty  or making it a home    If you do not have taste  appreciation of asethetics  appreciation of human ingenuity  or the craftmanship of timber or any capacity to create a space that relfects the depth and breadth of your soul  passions  tastes and interests  that is between you and yourself   You will feel differently about your lust for  experiences  in 4 years or less  When you realise the human need to have a secure base  to know as home is absolute priority     Experiences  are not the signal of a  good life   Just pointless hedonstic foolishness   I know many people with a lot of  experiences  and they moved through each  snapping selfies like midges skipping over the surface of a waters lake  There was no depth  no appreciation  They were simply seeking to  tick  it off their bucket list and later brag about it to others via social media platforms  Meaningful   These are people running from themselves  Rather  then having the courage to face their existential void  and in your case bucket loads of unresolved anger  they believe  experiences  are the answer  Travel  holidays pleasure  they are not      Where ever you go  there you are   A person could argue are wasting time being an exceedingly joyless individual and you are here on social media  Youtubing  YOUR life away   while judging others and all around demonstrating a brooding misanthropy  Perhaps  you have a  mattress in middle of empty room  as it relfects something about yourself   I flat out disagree with you and reject the contempt you are throwing out at the world ,1,1
Honestly dude nobody thinks you re stupid  I hope you continue doing these YouTube videos,1,0
sponsor him self to earn more directly  without giving money to youtube ,1,1
Exactly well said  Talking about stocks  Forex and cryptocurrency trading is the most profitable venture I ever invested in  I reached my goal of  120k monthly trade earnings  Wondering if viewers here are familiar with Rosemary trading strategy   ,109,60
Buddy  I am interested in taking the defi course  how much do I need to get started  Of course in addition to the course  Thanks s lot,1,1
If you re looking for meaning  get a kid  If you re looking for love  treat your kid well ,1,0
TechLead I Inivite you to learn and accept the Religion of Islam and save yourself in shaa ALLAH ,1,0
Oh god   youre back ,1,1
Being single and alone may be appealing for  a while  but a life without family  a wife and children  will be a life of regret at some point in the future  You will die alone without anyone who truly loves you  No amount of money  fine dining  travel or worldly success can compensate for a loving family relationship  Of course  it s not easy  but it s worth it ,1,1
Las Vegas   water is scarce ,1,1
What many out there in entrepreneurship don t understand  Being a millionaire is not primarily about showing the world how great you are  It s about the hard way to get there  The many mistakes and getting up again  the experiences  the memories  the positive as well as negative emotions  the sweat  the people who helped you along the way  etc     There are people who are into that kind of thing  And if you have found your own  Genius Zone   you have a unique opportunity to experience yourself in a new way in our modern times    In entrepreneurship  the journey is the goal ,6,1
Mad respect for finding your path  Our lives are far more valuable than our material wealth  Shoot for the extraordinary lifestyle  If I go to vegas soon I d love to link up  Love the motivational content ,2,1
I love this men and his mentality   ,1,0
Tech Lead is of the very few people I know of who is highly experiencing Freedom of Speech  He doesn t care what others think of him   he is telling his story like it is  the rest of us is suffering self censoring ourselves afaid of the conseqience from other people ,18,1
    inspirational,1,0
Well damn  completely speechless  ,1,0
Stephen Bernard halterbeck  I found him on a CNBC interview where he was featured and reached out to him afterwards  He has been of immense help since then ,3,0
Stephen Bernard halterbeck  I found him on a CNBC interview where he was featured and reached out to him afterwards  He has been of immense help since then ,4,0
Stephen Bernard halterbeck  I found him on a CNBC interview where he was featured and reached out to him afterwards  He has been of immense help since then ,1,1
I m listening to you  and am similar in some ways  Everyone s definition of happiness is different and valid  The complexity of love and life is one factor that showcases the beauty of being humans  and why we dominate this planet  Everyone that said you d fail is eating up their own words  Continue you re journey  you ll find what or who you re looking for ,2,0
Gargle my    ,1,0
Well said  I ve been around for decades and I have seen my share of stock market contractions  Saw the birth of video gaming  and the birth of the internet  to name a few  Now  I get to witness the birth of blockchain and Crypto  and I can personally attest that Crypto is a completely different beast from the US stock market  100  agree that there should be a guarded approach to crypto investing  You may not win hearts and minds of everyone  but you have and are earning respect for telling the truth and trying to help others to look out for themselves  I m super picky who I listen too for crypto analysis   I have made over 8 5 btc from day tradng with Pro trader Jordan Meyers Signals in few weeks  this is one of the best medium to backup your assets incase it goes bearish For crypto related issues  You can reach Jordan on  eI    m Jordmeyers ,44,9
One of the best videos I ve seen from you in a while   I m happy your making moves to finally take care of yourself   Idk if you ve seen my previous comments  but I still recommend a thru hike of the AT or another long trail like Te Araroa ,1,1
Thank you for saying out loud what I ve been thinking for quite some time  Btw  my home has also lots of empty space and only the necessary  I m not interested in filling it with stuff either   Being a digital nomad with a base is the perfect description ,4,0
I hope you enjoy your experiences with your son  particularly while he s young because when he s older he won t want to spend as much time with you  but he ll remember the memories and those experiences with his father will shape him as an adult  It s a big responsibility ,9,0
Techlead is Neo,1,0
i ll never get bored of his narcissism      and of course his wisdom  I ll miss this guy,3,0
So I stumbled over your videos on YouTube last night wanting to learn about defi etc  however I am learning more than this as your insights provide perspective  hope and very good advice on the essential and necessities of life vs consumerism and materialism that is plainly a waste of time  money and energy   Very inspired by you to hear more of what you have to share   Cheers,1,0
I resonate with you  actually thinking to live at the hotel with pool gym and good breakfast   cleaner daily  no contracts  free lifestyle,1,1
You re essentially spitting the Sam Hyde New pill Rhetoric  I ve always felt this way and I m happy to see people feel the same  I m grinding hard  becoming better in my field just to retire early and never work again  Just enjoying my life  Internet free ,3,0
Why do I find this video Hilarious  Serious  and Informative at the same damn time  LOL  Great content ,1,1
you are an inspiration to thinking people  i love listening to you and good luck to you  keep coming back to us  we need you,2,0
I m stupid  but at least I m not as stupid as that guy over there ,1,0
That s depression     you need to find God ,1,1
Listening to The Techlead  calms  me down  It seems he is about the next life theory he is going to prove ,1,1
next week  why i came back to youtube fun stuff  huh    ,1,1
I really missed The TechLead  thank you for reminding us of the traps we fall into in the modern world ,2,1
I felt offended by this video   ,1,0
Everyone is different  I hope u find ur happiness  Mental illness is something we all need to overcome ourselves ,1,0
We are not all the same,1,0
Solid delivery bro  ,1,0
