Comment,Likes,Reply Count
  NEW   Join me in DeFi Pro and make passive income with crypto  http   defipro dev ,26,19
 Ryana W What sapp 19038510562     More updates on XRP  NFT s  BTC  What sapp 19038510562  More updates on XRP  NFT s  BTC ,1,
DOGA token  Dogami  is by far the greatest new project on the market  The Catalysts coming up will absolutely boom this to highs nobody is prepared for,4,
wow      u have so many twins ,1,
T    s                M ss    M  O   W   sA    F   M    I                         ,1,
Great video Scott  The wisest thing that should be on everyone s mind currently should be to invest in different streams of income that doesn t depend on the govt  Especially with the current economic crisis around the world  This is still a good time to invest in BTC and digital currencies  BTC ETH        ,1,0
INVESTING MAKE UP THE TOP NOTCH HEMISPHERE OF WEALTH  THAT IS MORE REASON ONE SHOULD SAVE AND INVEST TO SECURE MORE PROFIT AND ENSURE SUCCESS,74,156
The way people talk about how profitable cryptocurrency and bitcoin trading is  please can anyone help me on the right track,6,3
What s the best way to profit from UST growth in popularity  Would you still buy LUNA or just Bitcoin ,1,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
I realized that the secret to making a million is making better investment   I always tell myself you don t need that new Car or that vacation just yet and that mindset helps me make more money invest   ng   For example last year I invested 70k in blue chip stocks and crypt0 s   with the help of my advisor of course   and made about 380k   but guess what   I put it back and traded with her again and now I m rounding up close to a million   Delayed gratification always pays off,110,20
What sapp             more updates on XRP  NFT s  BTC   What sapp             more updates on XRP  NFT s  BTC ,1,0
Why did this guy s ukranian videos get delwted ,1,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
TERRA LUNA will change the game UST is going to be go to decentralised stable coin  ,1,1
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC ,1,
Just to point out Safuu has done in 40 days something that most projects dont do in a year  liquidity is at 18mil   daily volume is always above 1mil   price is holding steady in 170 140  range  buybacks are regular and keeping the token out of market dips manipulations  Safuu racing team is starting its first race cycle  there is probably a debit card off ramp coming in partnership with Safemoon etc etc   everything about the  project screams bullish  Oh yeah  and the CEO teased about a May Tesla contest so we might get that also  Its pushing the marketing into the real world as much as possible in the most creative ways  Looking forward to the future ,1,1
Courage has taught me no matter how bad a crisis gets    any nice Investment will eventually pay off   investing is a very long journey where our temperament gets tested  we really need to change our approach towards the market  many are SOFT  Selling Outta Frustration   Tension ,119,9
 Brady Branding I really need to change my approach towards the market  I did look up Natalie Andrea Bows and I m quite impressed with the reviews  I hope she is open to assist me,1,
 James Hallow Picking the best investment assets requires a lot of factors and usually depends on your strategy  I m am over 200  up just by following financial advisor s recommendations    Natalie   Andrea   Bows   has helped me improve my trading skills and investment strategies  she provides entry and exit points  also recommends all the price points that I engage during trading activities  You can use something else  for me  her strategy works hence my result ,7,
I have tried investing but got discouraged  I hate not knowing when to take gain or hold  At the beginning I was doing well but panicked and started making a lot of mistakes  I lost about 6k because of lack of patience  ,1,
Overall I tend to agree but I d like to also point out that it s just as important not to be dogmatic in your views  if fundamental factors change or if the market proves you to be wrong  then you re better off cutting your losses short than holding on for the long term and hoping reality catches up to your projections ,5,
courage or stupidity or better yet greed   I don t agree with this  I followed some suggestions that didn t go so well,3,
Like million token ,1,0
As a millionaire,1,0
I took a hit and took all my crypto I m desperate  Hard to trust someone in this environment ,1,1
USDC yields are backed by Bitcoin,1,2
Do a video on pulsechain,1,1
sir how do we cooperate for a video advertisement on your side ,1,1
I m new to crypto trading what s the best way to get started with trade cos l ve been making my personal research for a while now I don t know how to trade on cryptocurrency,5,27
Can I improve math level  I m level of bad math  Please answer me,1,0
Starting early is the best way of getting ahead to build wealth  investing remains a priority  The stock market has plenty of opportunities to earn a decent payouts  with the right skills and proper understanding of how the market works ,106,77
Crypto winter  sideways  BTC halving  Bull Run  repeat,1,1
Crypto is the new gold,22,17
Well I ve been an investor in cryptocurrency and I can say it s really profiting Also having a good Broker is the best  Expert Mark has made me money,2,
He is on whtsap   ,2,
                    ,4,
How do I reach to him please,2,
People talk about Mr Mark  he s got an amazing review,1,
I made a profit to  10 680 trading with him on a short term,3,
Mark is definitely one of the best crypto experts you can rely on and his signals are as high as 90  accurate  efficient  and easy to execute in trades,4,
I have tried 5 programs and pattern including Cash FX before reaching out to Mark  I can swear his program is the best for now,4,
 Willie Hamilton Yes I agree with you What matters is getting yourself a good Trader or company that knows how to manage an account and make huge profits and Mark has really been a good Broker,4,
If you ask me  I think Bitcoin has something big for the world but having a good mentor is the best,5,
Expert Mark Anthony has managed my investment so we ll that my daily returns is assured,5,
Trading system allow you to limit the factor of emotional influence on decision making  That s why I took this opportunity so serious  now I trade with expert Mark Anthony Henderson and I have been making a lot of profit even in the dip,5,
If you haven t invested into Bitcoin already you are late but it s better late than never and I m into mark Anthony s trading platform too,6,
cryptocurrency will be in every part of the world and I m glad I trade with Expert Mark Anthony Henderson I comfortably recommend him to everyone,6,
Bitcoin trading option is just like any other business but in this case more sophisticated and advanced,6,
INVESTMENT MAKES UP THE TOP NOTCH HEMISPHERE OF WEALTH  THAT IS MORE REASON ONE SHOULD SAVE AND INVEST TO SECURE MORE PROFIT AND ENSURE SUCCESS,7,
I ve read about many people making huge returns from their crypto currency investment even as the fluctuations aren t favorable  Any pointers on how to start making passive income from crypto ,118,58
 Emily Kabik no cause for alarm  all you need is an expert to manage your portfolio and make you profits ,1,
grabbing multi figures in Crypto is possible with the right approach   no doubt Crypto is volatile which we ve seen but committed investors are making passive income weekly and more grabbing multi figures,1,
You support the rape and murder of three year old girls ,1,1
 so many scams  just work for your money  stop gambling the digital casinos  ,2,1
 I m new to cryptocurrency and I don t know understand how it really works  Can guide me on the right approach to investing and making good profit from cryptocurrency investment  ,17,11
 I m new to cryptocurrency and I don t understand how it really works  Can someone guide me on the right approach to investing and making good profit from cryptocurrency investment  ,8,12
 I appreciate you and your content  Technical Analysis is good but I find It truly confounding that major crypto youtubers just look mostly at pure T A  and completely ignore the bigger narrative of why BTC pumps pumped and why the future outlook will be even rosier than it seems  It s kinda irresponsible to ignore the fact that each ETF launch so far has caused a major dump at the peaks of BTC but recently seeing nice upside move  We were already on shaky footing with historically low volume and almost pure whale pumps  narrowly avoiding a long term bear market  More emphasis should be put into day trading as it is less affected by the unpredictable nature of the market  I ve been day trading crypto for 2 months with David Mayor daily signals and insights and was able to make 17 BTC as profit from my initial 8 BTC    ,82,8
Best not to keep any more money in Banks than you can afford to lose        Digital passports  inflation and crises are a reminder of the urgency of moving into Bitcoin Litecoin and crypto      ,2,0
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,44,117
Great video really  Also i agree with your opinion  For the newbie if you are actually trading in the crypto space and you don t have a sound mentor  Then you are certainly going to get liquidated in 90  of your trades   Yeah that s the sad truth  For a start you need a good and experienced hand to guide you  Trust me  trading isn t difficult as we see it  With the right Signals and guide of Mr Alex Gomez  you can earn hugely monthly ,159,17
Mr Alex Gomez daily signal is top rated and one of the best you could get when it comes to trading crypto   bitcoin to the moon  ,1,
I m overwhelmed how efficient his signal is  unlike other trading services has used in the past Alex Gomez fully understands the market and how to implement his strategy ,2,
 M r Grannda Very much true  The man just know how and when to flip always to generate good gains  Alex Gomez is such a Great personality ,2,
 Nikmah islahah Anyone that recommended you to Mr Alex Gomez really love you  Mr Alex will make you rich through bitcoin and forex    I can t thank him enough for making me see good light in cryptocurrency trading  ,2,
 Justus Pauli thanks   for the opportunity and recommendation,2,
 Nikmah islahah Link up  with him and remember to share your experience with others,3,
  alex4signals            TE LEG RAM,3,
  Orr What sapp 19102580961       ,3,
 Justus Pauli How can i reach him i really need help in this bear market now  ,3,
 Justus Pauli His success stories are everywhere ,3,
 Nikmah islahah I will recommend Alex Gomez trading services for you his strategies is working for me at the moment and making good profit from bitcoin trading,3,
How can someone know a professional trader that is trustworthy when legit ones are hard to find this days ,2,
Nothing interest me than talks about bitcoin and now to make money through trading bitcoin,2,
Passive income is the key to financial freedom the time is now you should know you can t achieve your dream off paycheck,2,
Bitcoin trading is one good way of paying bills which also create opportunity for crypto believers,2,
This is very correct and good to the newbies you should also note that this data is worthless without an existing understand of data analysis,2,
Bitcoin should be transparent and it is not as as people thinks it is  there are so many strategies to be learnt and unfolded about bitcoin trading,3,
