Comment,Likes,Reply Count
Use my special link to start your free 7 day trial with Blinkist http   blinkist com techlead and get 25  off a premium membership  sponsored by Blinkist       Million Token  https   milliontoken org ,114,4
Yo  tech lead  get rid of the bots on your comments sections and spammers  Is better to get it more tidy since is your personal YouTube channel  is the least you could do  if YouTube or Google do not take care of the issues  Do a bit of sweep and report for goodnes sake ,1,
What a shame that you are sponsored by anybody these days ,9,
MM at 2 bucks is great news     ,1,
Even with the return dislike feature  this video almost has as many dislikes as likes  btw the extension is showing values that are way less than they would be before the removal   Goes to show just how hated he is now  Edit  oh also  MuLtI MiLlIoNaIrE ApP eNtRePenEUr,1,2
I love crypto  but Exchamges like Coinbase  charge criminally exorbitant fees to buy Crypto and place restrictions on the amount customers can withdraw or even deposit  Plus they enforce intrusive KYC  Coinbase is just like my goddam bank  So where can I trade move my crypto without restriction Mr  TechLead ,1,1
its hilarious how this channel started with some hot takes about the programming career  working for big tech companies  etc and is now pumping crypto scams and complaining about his ex wife in public lmao,4,2
Making fun of a guy making money from an actual tangible product while you pulled the rug on your viewers     Scaaaaaaaaaaamer,2,2
Scamer,1,0
Bro you pulled the race card on him  Im sorry i lost respect for you then  He doesnt need to know how to code to have an opinion  He isnt wrong  Scams often are profitable ,1,0
i used to like your videos    but now  you are dizgusting,1,0
How million token doing     ,1,0
Maybe your million token is irrelevant     ,3,0
Man you re just a joke channel now      ,1,0
 Jason Song Techlead knows what he s talking about  He has a better reputation than most ,1,
Is someone born now   without a cryptofolio  a stupid late adopter  If you play monopoly but don t get any start money  will you win  Does TechLead really understand  or is he just a greedy opportunist  Does a hyena understand the circle of life  These are all rhetorical questions   that means  any answers are immaterial  ,1,2
Close your channel dude  You ve lost all credibility  You use to have a pretty neat channel for what coding is concerned  You put your rep on the line and the line snapped,2,2
1 17 million Subs but less than 60k views    FAKE SUBS,4,3
