Comment,Likes,Reply Count
   Going to the Moon  Check out MILLION Token  https   milliontoken org ,9,8
 Ooo yea   ex husband    should have put that on  there     resum               funniest tech lead ever     lol,1,
      v   he is trolling,3,
Bro I m following your advice  hope you are serious about your reviews and not just trolling  ,2,
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,2,42
GOOD VIDEO  EVERYONE NEEDS MORE THAN THEIR BASIC SALARY TO BE FINANCIALLY SECURED  THE BEST THING TO DO WITH YOUR MONEY IS TO INVEST  MONEY LEFT IN SAVINGS ALWAYS END UP USED WITH NO RETURNS ,71,92
  Ethereum is a company  It s token is an unregulated security,1,0
Vitalik unknowing describing the better Eth is basically describing Cardano  Except cardano is already proven to work and is scaling hugely this year ,1,1
The end of the video where he starts to brag about his CV destroys his credibility ,1,0
there s sharding and there s sharting you decide,1,1
Maybe he invented somthing you didnt imagine despite working in google and facebook   ,1,1
Thanks for uploading this video   I m serious  I m doing my research on Ethereum  trying to figure out if it s worth it  and this video gives me a lot of counter arguments to consider instead of just hearing all the ways for which ETH is good ,6,1
TechLead is crying now because ETHEREUM is soaring to the moon now ,1,1
Do you have a problem with Ethereum or Vitalik  If you have some basic blockchain knowledge  its pretty easy to see that you dont know much about it  Some of your statements are basically just not correct  Do some more research and put out some real critics if thats your agenda  I think you are more intersted in bashing Vitalik tho  And sorry to say but Ethereum is scaling right now as we speak ,2,1
if the history isnt enough to show you how ridiculous  eth  is you have there future plans  what was covered here is funny too  eth has stacked so much garbage on top of its blockchain  the simple concept of sending eth gets exponentially higher  the past upgrade and what i heard about the new eip update makes this blockchain even worse  eth has grown to big for its own good ,1,1
Please make more videos like this  What you think of Cardano project  ,1,1
You found a spot between comedy and good information  Thanks for that ,2,1
There s always a butthurt crypto junkie in the comments trying to counter TL  What a useless effort ,3,1
What is your view on EOS ,1,1
Why is Techlead becoming so negative day by day  used to love the videos  but not now,2,1
From a personal point of view I feel crypto got to be best thing that has happened to the financial market for awhile now  it continues to open room for bulk gains whether in holding or most importantly trading  looking closely at Ethereum it started a fresh rally above the resistance zone against the US Dollar and it seems there is high chance for more upside  and the current trend would reveal the amount of institutes that have embraced the use of the crypto assets to optimal results thats why i will say ETH is only just in the early stage of a bigger surge  Considering the the bulk return one get from trading than just holding it might be too late buy an asset while holding but its never late to buy in while trading crypto and with trading crypto i have gained  170K in my portfolio but i didnt do it all by myself but with accurate strategy and signals from an expert trader Chen lawrence   With Adam help I no longer have to worry about the rise and dip of Bitcoin  you can easily get to Isaac  on  Teleg  ram   chentradingi   1 724 228 4787 on whatpp ,2,0
I think vetalick created   Shiba Inu  You talk about quadratic Sharding   Shiba Inu has a Quadrillion  tokens     ,1,2
