Comment,Likes,Reply Count
Ah this episode was pure gold   Good one  Patrick   hyperclap ,1,1
 DBA is for you  obtain yours ,1,1
I got mad at my credit union and withdrew all  210 000 I had there   All that filthy U S  currency is here at my house and I am getting worried someone might steal it   Can anyone here recommend a financial advisor   I prefer a person who can invest my money in crypto currency   I am not concerned about the fees  as long as I am getting a quality product to HODL for a long time  unless the advisor thinks it best to trade them all the time to maximize profits    Thank you ,1,1
DBA will be huge  grap some now,1,1
WhatsApp               More updates on XRP  NFT s BTC  Whatsap               More updates on ETH  SOL BTC      ,1,
I started watching your videos earlier last year as a beginner before giving stocks a trial and I ve been able to scale from  120K to  580K  I did get an advisor for supervision and accountability as you recommended Thanks ,20,10
 Chris Millson It s incredible to come across Ann related comments on  Just a small note of gratitude to her  I was down  down  and downer before I started working with her  After reaching her online website on the web  I have already increased my little portfolio last year with her platform  Currently at  163k Q1 2022 Crypto users could top 1B by 2023 as nations continue to adopt Bitcoin  Buy the dip  and HODL for the long term  Bitcoin ALWAYS comes back ,3,
 Chris Millson she really seem to know her stuff  saw her educational background and qualifications on her website  thanks for sharing ,1,
 Ivy Theodore The advisor I use is Nicole Ann Sabin  she s quite known  so you could just search her ,5,
 Chris Millson nice one man  more info on this advisor please ,1,
 Ivy Theodore well about 50  of my portfolio profit was from TSLA  GME and NIO  my FA was able to get me in early on most of these stocks and I exited just at the right time  her analysis was really on point ,2,
Interesting   how did you pull this off mate ,1,
Predicting  a reversal of a trend is risky  and even worse  I believe there is more to this market than we understand currently  When people are losing  they don t aim to increase their average  but that can only change if you have a personal trade guide and signal provider like that of  Anika Hobson which has made me almost 9 5 on a 2 btc Trade capital over the last 3 months  Make the wise decision  Markets fluctuate in cycles that can last anywhere from a few days to several years  In the case of B  TC  it s difficult to make a bullish case simply from looking at the charts ,51,7
Buy  DBA token,1,1
WhatsApp               More updates on XRP  NFT s BTC  Whatsap               More updates on ETH  SOL BTC      ,1,
I m just going to win the lottery       ,2,1
WhatsApp               More updates on XRP  NFT s BTC  Whatsap               More updates on ETH  SOL BTC      ,1,
 DBA,1,1
WhatsApp               More updates on XRP  NFT s BTC  Whatsap               More updates on ETH  SOL BTC      ,1,
I was at face  forkkk also they tried to stiff me the wrong way so I just let it all out  And got fired   Now I just make sammies for a living,1,1
WhatsApp               More updates on XRP  NFT s BTC  Whatsap               More updates on ETH  SOL BTC      ,1,
finally  old real techlead is back  previous versions were wack,4,1
One of your best videos yet  Thanks Mr Millionaire,1,2
Bro  I don t need 100000  I just want to play videogames and do stuff I want to do  So   no thanks ,2,1
Thank you for the perspective sifu     Biggest money lesson  passive income creates time freedom ,2,1
totally agree  I realized after 3 years hardworking as a software engineer  People should work for a salary just make living and earn skills to build their addition income ,1,1
