Comment,Likes,Reply Count
FYI  the app in the video is Webull  Get 2 FREE Stocks on Webull valued up to  1850  when you deposit  100   https   act webull com k S4oOH2yGOtHk main,77,34
Leave this up even after bitcoin breaks new highs ,2,
As a millionaire tech lead  you may want to look more into the tech code behind BTC and what the protocols offer before jumping to conclusions  Well designed crypto like BTC is extremely hard money    similar to gold except easier to transact with amongst other many other things that make it better  Imagine it s like the dollar when it was backed by gold  Something that can be trusted by all parties and not manipulated at the whim of a central entity  Which CBDC will USA and China use to transact between each other  I m sure either will be glad to use the others without question    right   The world really could use something like this right about now  Dismissing it by comparing to CBDC is like comparing gold to the dollar  Yes  we use the dollar now but only because most don t realize the FEDs ability to manipulate and how much it has been manipulated  That is all coming out now    I could be totally off base  Curious to hear your thoughts to these remarks ,1,
Yet still shill s for garbage platforms,2,
Everyone and their grandmother is saying BTC will go down to about  20K and that they what to buy there  That means it will not happen  The whales and institutions will be snatching the btc right before the retail investors get to buy   Many whales and institutions have been buying around  30K  I think that is our new floor now ,1,
CBDC s sounds like dystopia ,1,
Wait   don t we elect the regulators  Why would people vote to tax crypto ,1,
 JF Beats world equality will not work     there will always be winners and losers ,1,
AMC and GME welcome you with open arms,1,
Good work man  Everyone else is just looking at charts  You are looking at regulators ,5,
 As I millionaire ,1,
Often spitting facts but that  CBDC is the next bitcoin  is real na ve  I guess you are joking but we have a chance at world equality and you think that people will want the same cash they already have but on a different type of computer  CBDC will just make it easier for people to transition to other cryptos,8,
This aged like a fine wine,1,1
Jesus came to me in a dream and said BTC under 10k by Christmas ,2,1
Lol what are these thumbnail postures   ,1,1
As a general rule don t take investment advice from a guy who s not good at it,1,1
I want to appreciate Dr Uroko on YouTube for saving my relationship  You can also reach him by any kind of spell  ,1,1
what is the best way to make money from investing,9,15
   This  current  run looks a mix of the previous two  Currently the PI indicator is about to indicate a Bitc0in top  According to bitcoin halving cycles  there should be at least other 4 months in this bull run  so  if the PI indicator  and Bitcoin  might repeat a similar bull run to 2O13  That would mean a local top relatively close in time and then another top to end the bull run towards mid year I was able t0 grasp the knowledge of tradlng crypt0 assets early enough  but I was still limited due to my lack of technical understanding of how to analyze the digital market  all this changed when I encountered Felix  s service   although I have been into numerous services but Felix is t0p Notch with experienced expertise in the field  I must confess it wasn t an easy task learning the routes on trading but with her assistance I earned a l0t   Felixtrades0 on lG,77,1
Good luck buying in at 18k  If it happens I ll eat my hat and of course buy more   Not likely though is it ,1,1
If you want to trade  crypto and stocks  with no fees at all and at the real spot price  use Quantfury and get  30  with my referral code XSFZ6516,1,1
 it s essentially digital gold   no it s NOT  forks can be expanded when blockchain agrees  more Bitcoins    bitcoin has no uses while gold is used even in space  gold was extracted with a long  capital inte se and painful process where everything can go wrong  gold is everlasting  bitcoin will be useless come quantum computing  Digital  gold    ,2,1
Bitcoin is not finished yet I just bought in heavy I will be out before 50000 ,1,0
Bitcoin has seen massive momentum that has enabled it to erase much of the losses caused by the recent slump  This sell off was a surrender among investors  and many clearly feared that the multi month uptrend that led BTC to its all time highs was over and a deep regression was imminent  Nevertheless  the bulls have now gained full control over the price development of the crypto and are now able to record a clear further upward trend in the short term  i do say it s outrightly wrong to just sit back hodl and wait to contnue incur more losses along the line  instead find away to grow up your portfolio I was able to grow my through the help of Raymond Anthony Sammak which I have made about 10 btc lately  you can reach out via tele gram raymondsam01 for more info,29,4
Bro  how come you never mention how digital fiat currency is still fiat currency    and how fiat digital currency or fiat pegged stable coin  is just as vulnerable to hyper inflation economic collapse ,1,1
That s not where the neckline should be ,2,1
