Comment,Likes,Reply Count
Want to work at Facebook  Join ex Google ex Facebook engineers for my coding interview training  https   techinterviewpro com ,68,16
Facebook is a stolen company   i have no sympathy for them or Twitter as well      Kick they a zz    APPLE        ,1,
Part of my heart want flex like you  Not by sport car  not by gold necklace  But by sell stock of big chip  So cool so cool  Mister give me charity  1000 coz im poor,1,
when will we have the  TechLead Gaming  channel ,2,
 TechLead Please share some light for a beginner to get in Multi platform software development     NET MAUI   you already told us Flutter is doomed   Java  Ionic  Qt ,2,
I ve been keeping up with you quite a bit recently  You have some very detailed analysis and some really good take s,1,
Hell yeah Go Apple   ,3,
Facebook going down the drain acc to video  but advertising shudnt stop  TechLead Hail  ,15,
He was right lol,2,1
this video aged well  facebook tanked 22 ,1,2
Apple is the most profitable hardware company since the old IBM   But the world is moving away towards 5G and cloud computing  Apple will NOT be that valuable by comparison ,1,2
This made me swap my fb for apple   Cool,1,0
Ok  so far you sold all of your bitcoin  eth  Facebook  if you had it  but own Apple and Cardano       As a millionaire ,1,2
if Facebook stops spying  i will create a new account  ,1,0
as a millionaire why are you selling keyboards ,1,1
This video is really an Apple infomercial  Bait and switch ,2,0
INVESTING IN CRYPTO NOW SHOULD BE IN EVERY WISE INDIVIDUALS LIST  IN SOME MONTHS TIME YOU ll BE ECSTATIC WITH THE DECISION YOU MADE TODAY   ,2,105
Although he s sometimes trolling and joking  he is super solid arguments and clear vision of the tech business world  Thanks for that  I m learning a lot,1,1
give me 1 million and I will walk away,1,1
 Google   devs  take notes,1,0
HE s LITERALLY ADMITTING THAT HE DOESNY EVEN OWN THESE ASSETS HE IS  SELLING   But your click pay for his dinner ,1,1
 Sold all my Facebook stock  I don t have Facebook stock but if I did  I would ve sold it  lol,3,2
Hes shorting Fb lol,1,
maybe you should change your channel name to  Former Tech Lead  so it s not so misleading,2,1
 as a millionaire ,2,1
Oh man this felt like a really long commercial for apple,1,1
Are they coming after Spotify too with their Apple Music    Huh  TeamLead   ,1,1
Android Devices don t run Apple so Facebook will be fine if it has talented people ,1,1
What  you ll regret this  I m hodling all my FB shares until I m stone cold dead ,1,1
