Comment,Likes,Reply Count
  MILLION  Crypto Moonshot  OFFICIAL  https   milliontoken org     Buy MILLION on Uniswap  https   app uniswap org   swap outputCurrency 0x6b4c7a5e3f0b99fcd83e9c089bddd6c7fce5c611    Buy MILLION on Pancake Swap  https   exchange pancakeswap finance   swap outputCurrency 0xbf05279f9bf1ce69bbfed670813b7e431142afa4,171,45
U the General now and I m a loyal soldier hope to be promoted to a captain one day  so I ma put in as much work as possible even inspire to start a YouTube  podcast and on my Facebook page pushing the MILLION ARMY   till we win or lose   ,2,
Could you make a video explaining how to buy Million  MM     A video for a newbie                    ,7,
I want to join MM community,3,
 SkedgySky I hold 1 billion safemoon and it hasn t made me 10  of what million has  More tokens just depreciate value ,2,
Hey Tech  I m an average dev getting paid 60k a year but I m from MM fam and I ll be a millionaire soon    I was just wondering technically what can we add to MM coin to make it more different than others  Is anything doable you think   Cheers ,1,
Could you show us how to get a MM token step by step please ,5,
Yea but what is Other Accounts in the holder chart  Is that someones account ,3,
This video is one big ad ,4,
lol tokens been alive for 2 3 weeks  like how your like ahh such a hard journey   ps missed it xd,1,
Can t wait to see the Earth from space   ,1,
I think we should also go more professional and hire CFA and professional marketers for Million to effectively leverage the traction we have right now ,3,
Check out the low market cap coin Trillion Token  It s community driven  unlike MM and you hold way more tokens ,2,
Stocking tequilas for our Jacuzzi Bar     Btw can only buy using MM,2,
 ,1,
We got this     ,4,
See you on the moon   Drinks on you    ,3,
Surprised the disclosure does not contain the typical  this is not financial advice  wordage from your lawyer ,4,
   I sold at  62  Crypto winter is coming and it ll hit ZERO ,1,1
This didn t age well ,3,1
Nice keyboard  Sell it before you get into jail ,2,1
omg  the thumbnail is graphic  haha,1,0
Million      its a very fun thing     I wanna see how it ends up  once there are no greater fools left ,2,3
Why do you talk about Million token like it s not your project  ,1,1
This man is a Chinese spy  The Chinese government is using million token to infiltrate American households ,1,1
Million token that it is his token  He is front running  Techlead has gone off the rails ,1,1
Do you believe the s    coming out of your mouth right now ,1,0
Click bait from hell man  This is a ad,3,1
I see a salesman ,1,1
techlead seems similar to upshod,1,1
The crypto market has been unstable  People ask themselves if this is the right time to invest  Before jumping into conclusion I think you should take a look at things first  BTC price fall means analyst remain divided over whether it is entering a bear market or is just suffering a brief correction on the road to more record highs  Investors who bought early are still in profit despite the recent price crash and they also earn by trading  I m still an investor and still I m winning by applying the same method in trade  you can also become a winner today  We should follow the way of earning more regardless of the current market  bulls or bears  which is trading  Buy the dip and trade    I have made over 7 btc not just by buying the dip but also by applying to my trades with my signals I have been using for a long time now ,7,5
you wasted your million dollars on dogecoin   if not then why your title don t have  as a millionaire  XD,1,1
definitely sponsored,1,1
You are schilling  million because you created it    ,1,2
I ve been waiting to hear in your video what use is this token anyway   Just because of scarcity  The next big thing would be 2 million tokens   Someone else will create 3 million and so on   The rich get richer ,1,1
Million token is the perfect store of value on ethereum blockchain,1,1
Are you a founder of million ,2,1
EVERSAFEMOON,2,1
Million Token   Meme stock generation 2 0    ,1,1
Bitcoin Killer    u stupid ,1,0
no videos   ,2,1
I love you TechLead  Jokes are better than reality indeed  Million and Hex baby ,1,1
That dude is a top troll ,2,1
Your crypto is tanking hardcore dude  Looks like we aren t going to the moon  we are all going to the center of the earth to implode more like it ,9,2
Million is just a token  not a crypto,1,2
 I m pumpin    I m pumpin    I m dumpin    I m dumpin      TechLead  fired from FaceBook and Google divorced former Millionaire and now YouTube Carnival Barker ,9,0
Tech Lead really sold out to the crypto fad ,2,0
I know this guy is a funny troll  but this a real pyramid scheme   the fun its over   ,2,1
When will he upload video  I want to hear what he will say about mm token,3,1
I do the opposite of whatever he says  nfa,1,1
Million has been crashing   its all over,3,1
Oh  the video is actually about shilling his own token that recently crashed and is on the way out  Pass ,1,1
Wow  how did you get your video editing skill to be so good now  ,1,1
The moment you realise last tech lead video will be called  ex youtuber   ,4,1
Dogecoin to the moooooon   ,2,1
Nice video  but what about the info on doge per the title  Did I miss it   ,2,3
hey millionaire get a hair cut and stop streaming from this s  hole if you r that rich,1,1
Did he say his token is totally decentralized  Hahaha,1,2
All the paper hands crying here now  they will die from crying in future when Diamond hands like us makes millions   ,1,1
I thought you were going to talk about Dogecoin ,2,1
Here to gloat because I took my money out when it was at its highest     I just wish I did the same for GME ,2,2
Hi can someone tell me how much Ethereum do I need to buy one Million Token ,1,3
 MuCuS Of WaNdErHoMe i think so too  but I think he s very carefully calculated this before going in  It must be very profitable enough for him to wreck his YT career  Also I m pretty sure they won t catch him  took a look at his wallet and he was smart enough to not decrease the price through that one  still holds 14   Almost certain he has done it through many smaller wallets that don t carry his nametag,1,
 Felix no joke  I can just see the lawsuits coming once this goes to zero  What a way to destroy everything he s built   as a millionaire  smart but not very smart ,1,
Also he literally talked about  why doge crashed  for 1min max and didn t even provide an extensive reasoning beyond  first Generation is over   Pretty bold to put your personal brand on the line like this,1,
It s going down just like the rest of them,2,0
Bezos  I am going to save for a new Lamborghini   10 secs later Bezos  Boom Done   ,1,0
I bought a little bag of million token because I like listening to this gentleman,1,0
Dumped,1,0
How much do you profit from pumping its price ,3,1
Why is MM crashing ,1,1
Take a bold guess  ,2,
I can t wait for the phase where the pitchforks and torches come out   I give it about a week more   Already 75  off ATH in 4 days ,1,3
Lots of red ATM ,1,0
Had enough of your nuisances   sadly you are no longer the same tech lead whom you once were   I sense that you are just creating content just for the sake of creating there is no class  if this is the case your channel will no longer grow people will stop subscribing   what is the point of making this kind of thrashy content  you are making them as if there is no other source of income for you  absolutely disgraceful  Please stop producing crappy content  youtube is aleady having plenty  of them ,3,0
Now lost  395 and counting   It s only gonna keep going down  I m starting to think buying into this was a very naive idea,2,2
Opportunist,1,0
Million coin in crashing,3,0
Why is Million  MM  down by 45  in 24 hours   ,3,2
Because it shot up just as fast ,2,
Why would it not be ,2,
I used to like this channel,4,0
Don t worry Doge will rise again ,1,0
If he rug pulls this everyone is f    ,2,2
Here after he scammed all of us  He took our money  He sold all his coins    ,3,4
 Poppers NFT bro yesterday it was  100ish now is  50 someone sold half the coins   He just scammed us,1,
dead  JUST LIKE MM,3,1
bought for 1000  when the prize was 200  and now 4 days after it is 50  prize  You are a lier ,4,1
You need to unmute the Telegram in order community to grow   no chat voice    no army,1,1
Techlead  as a general fan of yours and now an MM hodler I think you should provide some transparency on your current position across any or all your affiliated wallets to the YT community  Maybe a livestream to answer MM investor questions would be best business practices and the moral thing for you to do for us fans staking money in your project  A general advises troops through good times and bad  Stay cool  Thanks ,5,1
Now  crypto cartels are in already  It will never going to be same  what they are doing is dumped then accumulation then repeat until it will hit   25  So be careful guys  they did exactly same thing to bitcoin and other,1,1
What s happened to million coin   Why has it crashed also  ,2,3
techlead just made the easiest million bucks    as a multi millionaire ,1,
LOL  Million token just lost more than 80  of its value in 4 days ,3,2
sky is the limit xd im poor    I can t even afford 1 coin  But I wish the best for this project  It s a great man  Faithful Fan,1,1
techlead s advertising skills amaze me  maybe this is what he does best,1,2
Bye bye little jimmy and your  600 usd steamy   no lambroogini for you  ,2,1
It already dumped,3,1
IMHO anyone buying investments to show off in front of their friends  is going to lose their money ,1,0
Lol a paid ad,2,2
Million down 70   ATH explain that,1,1
Monopoly money    ,2,1
it s time for baby doge,2,1
Inbox me privately,1,
Lol love the MLM pitch,1,1
And the rug pulling begins,4,4
 McPuffenstuff nah   more likely a bounce to 0 usd  ,5,
Im waiting for it to come down below  10 again to buy   It went up as fast as it came down ,1,1
Each million will be worth a million ,2,2
i get it making a vid about making a token but to drag it out like this in every video is getting boring  I am close to unsubbing if i see another one of these vids done subbing  gl with your token though  but its kind of obvious people are tired of this  825 thumbs down and counting ,2,2
Crypto s are just a modern day internet raffle  Be first in line and the more you buy the more likely you are to win ,2,1
Show us dummies how to buy mm because it is quite confusing for new crypto newbies ,2,1
million coin crashed too didnt it ,4,1
His videos don t have as many views  I think Youtube is shadow banning his account now  Shame,2,1
Whata weasel,4,1
People are so greedy the coin drop dramatically      ,2,1
Selling hopium to poor,6,1
Be so good they can not deny you    I really got that,1,1
No matter what you gave me  freedom with my paper hands        Cant catch falling knives   but your still awesome     CKB,1,1
Bro stop it with the million Token your  entire Channel is getting boring,5,2
You created a monster   ,2,1
Burnt again  FML ,2,1
This is stunningly crashing,2,1
I m waiting for the video on why MM is crashing,5,3
Patrick shyu  Open a new channel  delusional garden tool lol,1,0
Patrick shyu  Brazil has no extradition agreement with the us wink wink,1,1
How many people have lost a ton of money on this  h T coin    65 to  229 strait back down to  64 54 at the moment ,2,1
you need to insist how bad people need to invest ONLY what they are comfortable to lose cause right now your token is crashing hard  and so far ive lost half of my value invested  im ok cause i only did what i was comfortable gambling ,1,2
This video sure aged well ,1,1
my MM million is crashing  why    i putted in 27 000   3 days ago  Wft ,1,1
This video should say sponsored video ,1,1
Million Token is going to the floor    weeeeeee    ,1,2
Non of these people are your fam   most of your subscribers are totally fake   you are the worst crypto  analyst  on YouTube  Million token is total GARBAGE,5,1
This guy making crypto vids is the funniest thing ever   buddy has no actual knowledge of what is going on he just looks at the percent change in the market and relies on it lmao,2,1
Could you add English subtitles to your videos  It s very helpful for like me who is not a native English speaker  Thank you   ,3,1
IRS coming soon,3,2
Can you please tell us what you think about Safemoon crypto    ,1,0
Tech Lead now   140 000  coins isn t really decentralized,1,2
Yeh and he says imagine you own a coin where only 1 million owns 1  this guy is a joke techfollow,1,
If it keeps going like this its 1 dollar tomorrow,5,2
Based on his holding of 130 000 that I saw in the video and the list price of around  122 during this video and one day after  today   It s at  66  Did Techlead assets drop  8 5 million dollars if he is still holding  He hasn t really lost it until he sells but that s a steep drop  Wasn t sure if this was correct about his drop in assets ,2,2
Can you please stop shilling your coin and get back to normal programming  Thanks  Bye ,4,2
dude I love your token  but please you simply cannot put in the same bag doge to shib  actualy shibaswap has sustained the price better than most tokens  including MM   and its a genius masterpiece on its own  MM so far looking great  but is just a baby that might grow fast  depending on the future milestones ,1,1
