Comment,Likes,Reply Count
Get  250 of FREE crypto https   blockfi mxuy67 net 4e5XXZ  Million Token Official  http   milliontoken org   Lion Run Million NFT Metaverse  https   www lionrun io ,33,9
 TL is giving up the crypto game for FREE  This is a must watch ,1,
U CREATED A DECENTRALIZED TOKEN  AND NOW YOUR PROMOTING CENTRALIZED COMPANIES  NOT YOUR KEYS NOT YOUR CRYPTO What are u doing ,3,
 El Hexican    message me if there is question to ask ,1,
you forgot to say hex its the best passive income crypto,2,
MAY GOD CONTINUE TO BLESS YOU FOR ME  247WINNERSTECH TECH  YOU GUYS ARE THE BEST Web  ,1,
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,78,160
 Nice video   Very engaging from the beginning to the End   I m new to crypto trade and I have been making huge losses but recently i see a lot of people earning from it  Can someone please tell me what I m doing wrong,34,25
     ,1,
Feedback appreciated    Wanting more info and insight  WatsApp the number above  Endeavor to reach out   ,1,
Investors make more money every year than CEOs  I didn t start crypto   forex because I wanted to make a lot of money  I started because I didn t want try do a stupid job that I hated every day ,4,5
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,45,130
Please I need someone to help me trade or invest the forex or crypto market because I m tired of trading in losses myself  I ve blown my account twice and it s frustrating   ,72,43
I m new to cryptocurrency and I don t understand how it really works   Can someone guide me on the right approach to investing and making good profit from cryptocurrency investment    ,1,1
mate  your content is something u CANT found on youtube  i wanna thank u for the help and the info  all your experience  are worth tons of gold  or bitcoins  V  im from colombia  and here money isnt easy to make  and u are giving me all the weapons i need to finally defy poverty,1,1
The best decision I ever made in my life was investing in financial market  Trust me guys  it pays  ,3,1
I HAVE BEEN WATCHING SO MANY VIDEOS ABOUT CRPTO AND FOREX TRADE INVESTMENT BUT YET I M STILL MAKING LOSSES TRADING ON MY OWN  PLEASE CAN YOU GIVE ME A GOOD STRATEGY OR AT LEAST ADVICE ON HOW TO MAKE GOOD PROFIT THROUGH INVESTING,3,0
GOOD VIDEO  EVERYONE NEEDS MORE THAN THEIR BASIC SALARY TO BE FINANCIALLY SECURED  THE BEST THING TO DO WITH YOUR MONEY IS TO INVEST  MONEY LEFT IN SAVINGS ALWAYS END UP USED WITH NO RETURNS ,26,71
Would like to see risk analysis with each investment technique  Thank you,2,1
Thanks so much for this info  definitely adjusting my portfolio for something similar  one recent thing I ve also made a lot of profit with Titano  but this was mostly due to getting in early  was wondering what you think of them and their forks ,2,1
What platform for you use to do these,1,2
pancake swap has very high inflation,1,1
I would really appreciate a video where you explain what determines the price of a coin,2,1
I d be curious to hear your thoughts on Elrond  they offer staking around 17 ,1,0
I doubt you ll read this comment but I just want you to know your content is really helping me  I m binge watching all your stuff  Thank you,43,3
Meeee toooooooo ,2,
Thanks for your feedback  Require more info or insight  Do reach out    ,5,
USD USDT is safest say,1,1
Thanks for the good explanations on DeFi  Looking forward to seeing you cover rebasing DAOs such as Olympus DAO and some of its forks ,6,0
Thanks I ll pay it forward,1,0
I have to study more  Great content ,1,0
werent u the bearish crypto guy from months ago  get out of here ,1,0
You are awesome   Thank you for all the info ,2,0
He created it  so he s probably going to push it hard until it s finally worth  0 in the near future,1,
Thank you for all your videos ,1,0
So you can pair in a liquidity pool  then deposit said pair into a liquidity farm   Also  Curve confuses me with the 3 tokens   do I have to buy all 3 tokens or just 1 of the 3   If I have BTC  seems I have to trade out of BTC into wBTC ,4,1
lol how many of comments are legit bots,1,2
thanks for the unexampled vid  But could ya share your point of view on Apidai  I m an investor here  and I d like to know if I m doing it right ,1,1
thank you for the new content  But could u give yar point of view on Syncronauts NFT  I m an financier here  and I d like to know if I m doing it right ,1,1
Is the apy monthly  So would it be say for example 6  a month or a whole year ,1,3
whats the A in APY,1,
I M NEW TO BTC AND I VE BEEN MAKING LOSSES TRYING TO MAKE PROFIT MYSELF IN TRADING    I THOUGHT TRADING DEMO ACCOUNT IS JUST LIKE TRADING THE REAL MARKET   CAN ANYONE HELP ME OUT OR AT LEAST ADVISE ME ON WHAT TO DO    ,2,3
In the staking strategy and all the tokens you mentioned do they actually leave your wallet or are they like staking in Cardano pool where your Adas NEVER leave your wallet ,1,1
What about staking in a Cardano pool ,1,1
 you only live once YOLO     I swear this my favorite channel,14,1
Wow it s great to see Defi  nfts and gaming coming to MILLION TOKEN   ,4,1
 Maybe just don t put all your life savings in here   LOL  Wise advice     ,9,1
Techlead becoming the defi guru,1,1
Daily   weekly trade                         A S A P  ,1,1
My whole life depends on crypto investment  I honestly congratulates techlead for his persistent personally   honestly you gave me courage which leads me to high profit    ,3,1
Is investing package on company better and faster earning then invest Crypto coin alone  Can explain with a video,1,2
Yes  Defi is king ,1,1
I came here to learn how to invest after listening to a guy on radio talk about the importance of investing and how he made  460 000 in 4 months from  160k  somehow this video has helped shed light on some things  but I m still confused  I m a newbie and I m open to ideas ,53,32
Hello,1,
whatever advice that guy on radio told you  DON T DO IT ,3,
Bots,7,
Don t watch this guy  He preys on newbies and takes their money,3,
Having monitored my portfolio performance which has made a jaw dropping  370k from just the past two quarters alone  I have learned why experienced traders make enormous returns from the seemingly unknown market ,1,
It is possible to produce superior performance provided you do something different from the majority  However most of us tend to pay more,1,
Investing in stocks is a good idea  a good trading system would put you through many days of success ,1,
EVERY TIME ITS THE MOMENTS AND MEMORIES WHICH WE LIVED FOR I JUST GOT MY SECOND MTCN FORM THE SERVICE THANKS YOU FOR GIVING SUCH MEMORIES TO ME ,2,0
EVERY TIME ITS THE MOMENTS AND MEMORIES WHICH WE LIVED FOR I JUST GOT MY SECOND MTCN FORM THE SERVICE THANKS YOU FOR GIVING SUCH MEMORIES TO ME ,2,0
I just purchased another building with the assistance I got from this service thanks for the referral and good work keep just it up sir  ,3,0
I just purchased another building with the assistance I got from this service thanks for the referral and good work keep just it up sir  ,3,1
actually personally feel that appreciation would just be less because they are so an adorable as well as much an humble soul who actually not only understand people problem but also stand to help the site is the best actually ,6,0
actually personally feel that appreciation would just be less because they are so an adorable as well as much an humble soul who actually not only understand people problem but also stand to help the site is the best actually ,6,0
Good info in video after long time   and also this time you forgot to mention your wife in video    thats better    cheers   ,1,0
NOW I BELIEVE THE SAYING ANYONE WHO IS BOUND TO BE SUCCESSFUL WILL SURELY PASS THROUGH A TRIAL AM GRATEFUL I TOOK THE RISK WITH THIS SERVICE ,6,0
NOW I BELIEVE THE SAYING ANYONE WHO IS BOUND TO BE SUCCESSFUL WILL SURELY PASS THROUGH A TRIAL AM GRATEFUL I TOOK THE RISK WITH THIS SERVICE ,6,1
I m praise and honor to   everyday and time remembered he is doing in my life padeda ,5,0
I m praise and honor to   everyday and time remembered he is doing in my life padeda ,6,0
the guy s dweeb voice is a tip off that he s a complete phony,8,2
Wrong  You sound like the type of guy who is easily fooled by a smooth talker  You literally just said  I base my belief in people s credibility on whether or not they can smooth talk me   Lol ,5,
This is actually new to me   Had no idea I could earn that way with crypto ,6,2
Whats happened to MM token  Can t even say anything in the discord group and you get silenced  So much for a social token ,2,1
Good video as always  Love to see the haters crying yet again   ,4,2
are these methods Halal ,1,1
how is this guy still not canceled ,5,1
Thanks for your regular information videos  just keep up the great work going and all crypto lovers informed ,3,2
Boss meme token gonna moon,1,2
 there are so many way to accumulate and stack up ur  portfolio The crypto market has been unstable  People ask themselves if this is the right time to invest  before jumping into conclusion i think you should take a look at things first  BTC price fall means analysts remain divided over whether it is entering a bear market or is just suffering a brief correction on the road to more record highs  Investors who bought early are still in profit despite the recent price crash and they also earn by trading  I m still an investor and still I m winning by applying the same method in every trade  you can also become a winner today  We should follow the way of earning more regardless of the current market  bulls or bears   which is trading  Buy the Dip and Trade     I have made over 6 btc profits not just by buying the dip but implementing trades with signals supplied by Gregory James,49,7
Wtf happened to your coin bro,1,0
Will always be grateful to JUDITH ANN SANTOSUOSSO  I was only a newbie trader when I streamed  her presentation on Forbes Breaking News  Now I m more informed and experienced in trading ,62,3
 I m so happy    my life is totally changed  I ve been earning  10 250 returns  from my  4 000 Investment every 13 days ,14,20
I m surprised the banks and the FED are allowing this to happen ,8,7
They want to but they can t that s why they want to make their own cryptocurrency  new world order coin  where people are on social credits ,1,
The reason they don t stop it is because they can t  They would have to shut down the internet  Just enacting a law prohibiting it would be as efficient as the war on drugs or alcohol prohibition  It would just call attention and generate faster adoption,3,
 Amani Channel its like big smoke that cant be touched,1,
