Comment,Likes,Reply Count
  MILLION  Crypto Moonshot  OFFICIAL  https   milliontoken org     Buy MILLION on Uniswap  https   app uniswap org   swap outputCurrency 0x6b4c7a5e3f0b99fcd83e9c089bddd6c7fce5c611    Buy MILLION on Pancake Swap  https   exchange pancakeswap finance   swap outputCurrency 0xbf05279f9bf1ce69bbfed670813b7e431142afa4,74,13
Hey man  it seems you still have some followers left  May I suggest creating a second coin  You might be able to capture some of their money too  Just a thought ,2,
I don t see a white paper on the website nor an audit  Granted you don t need them but it does provide validity    Although your reputation is on the line if you mess up so one of the few places where those two might not necessarily be mandatory ,3,
Always enjoy your videos  Am hooked  Amazing some people are born so smart ,1,
bro you made me 50k bro that life changing money thank you,7,
hey TechLead  love your crypto videos but really feeling like I m in a daily briefing at JP Morgan or sth while watching it   Any plans to make some more introductory level content on crypto ,1,
                            Don t need a lot of words to prove that this team above is real because I ve seen it all  thanks for you and may God bless you for help me to clear my Dept,1,0
Create a coin to the mars for those who missed the trip to the moon  ,2,2
MM in a class of it s own,1,1
How do I make my candle colors look different  Like the purple or pink colors on Webull  ,1,1
Misleading title ,1,1
Happy to donate if you open a GoFundMe,1,1
PoorLead,1,2
What is the best way to make money from trading ,11,6
SELL BITCOIN   BUY SILVER ,1,1
Can I buy million token in Binance ,1,1
How can we please get listed on one exchange  Uniswap has a learning curve and fees   ,1,1
UH     YOU REALLY ARE GOING TO PRISON DUDE  YOUR EGO HAS GOT THE BETTER OF YOU  THEY KNOW WHERE YOU LIVE   ,1,3
 Replied by TechLead get a lawyer with that 400 grand who will claim that narcissism is a mental illness  You should get a reduced sentence  As for the numpties who invested     well the hive has a tendency to defend numpties  But as a narc you would forget that lol    hence the need for a lawyer  dont try to run dude ,1,
yes seems like it  he is selling it pretty well  hope regulations coming for this and some ppl got to jail,1,
Buying and investing in Bitcoin now should be in every individual list   ,1,1
Despite all the economic crisis this is the right time to start up an investment  ,1,
well done to the guy making 400k ,2,1
Poor fucking fakelead,1,1
I don t know how people don t see though this     TL bashes legit crypto projects but makes his own coin and you people think you are going to the moon     Clearly he is doing this to make a point and show how easy it is to make your own crypto and how  gullible the crypto community has truly become at the prospect of becoming rich overnight  The whale did the smart thing to sell his position  The rest of you will be holding the bag ,1,0
They re all just tryin to make everyone dip out on BTC right now,2,2
dude you know the banks can print as much money as they want  Doge is more stable than the Dollar   ,3,1
That  Stratton Oakmont  Easter egg lion background for MM page         TL  what do you want to tell us  LMAO,1,1
Never trust a pencil necked geek who lives at home with him parents   supposable a millionaire  and tries to sell you a crypto he created  Something seriously wrong right there ,4,1
The funniest part is peoples like you still believing that this is some type of troll   Regarding the absurdity of the market well we ve all been seeing all these dog coins doing x10000 in the past few months so TL didnt need to release his own coin to show anything  everybody was already well aware  He is serious about this project ,2,
I guess you talking about crypto all the time will be bad for the niche marlet who are here to see you talking about about your wife,1,1
The fact that someone earned 400K doesn t it imply that someones in the community lost 400K  Shall we still congratulate then ,3,5
Get  Whackd John McAfee s dead man s switch,1,1
she is JAMES PATRICIA one of the best and trustworthy crypto broker ,1,1
Wow I m glad I invested with JAMES PATRICIA I did withdrew my first profit two days ago now I have another ongoing trade with her,1,1
no more moon in logo RIP,1,1
This is starting to become a cult   ,2,1
That whale has paper hands  Million coin to the MOOOON   ,2,2
If you missed babydoge  don t miss Robindoge  the robinhood of doge coin holders  Just 12 hours after launch and its going boom   Check it on coingecko  and copy contract address from there to buy on pancakeswap  Thank me later  ,1,1
Investing make up the top notch hemisphere of the wealth  That s the more reason one should save and invest to secure profit and ensure success ,2,1
Im poor now  as a millionaire ,1,1
Title  I m poor now  as a millionaire ,1,1
Ikr,1,
The whale that sold his tokens was nobody but himself  y all too dumb to realize this ,1,0
As a millionaire has gone from the title worrying,1,1
The ripple comment hurts my heart,2,1
Isn t the wallet concentration of Doge due to most people keeping it in the exchange  not their personal wallets ,1,1
I m still very bullish on MM  I also like how this project is just growing it s own legs among the community   We all have an incentive to make this token successful   TL  we all know you didn t have to start this project at all   Thanks for giving us the opportunity to be a part of something big   I believe MM will be one of the exceptions not the rule when it comes to meme coins ,2,1
From today I am a proud HODLer of 7 777 Milliontoken  waiting to go to the moon  as a millionaire   D,1,1
Great video     Many people are seeking for stability in this unstable crypto space and a lot of people are wondering if now is a good time to buy because of where the price is at right now  I d say it s out rightly wrong to just sit back Hodl and wait maybe incur some losses along the line  that s a wrong mindset for an investor because as an investor finding ways to always increase and stack up more coins thereby making profit should be the way of life that being said  the market is still all BTC at the moment and  I ll advise current investors and newbie to take advantage of the expert Charis Gault program  an establishment that handles people who lack understanding on how to maneuver the crypto space  to help them recover loss from the crash and also accumulate more positive returns  with their program I went from having 1  4btc to 10btc in just 9 weeks  David preston can be reached on  eleqram  Chris Trade11,1,5
It is a great logo,1,1
Imagine earning  10 million in just three days,4,1
6 16 This is actually the best startup model I have ever seen  Everyone just gets in the right place  contributing however they can  every skill used where it is required  there is no employer  no paycheck  we get paid by investing in ourselves  The Dreamstartup  The Million moonshot startup ,2,1
5 58 Do you want to learn more about crypto  Jump on board  we have a great supportive community  and then you can maybe become a holder too   ,1,1
OK  I have a question now   What is the usability of this project  instead of a risky money investment    Store of value   What will happens when the hype disappear  and a lot small people stay locked inside with 50 80  loss  in investment   Until next whale came in all investments are on hodl ,1,1
Title should look like this   I m poor   as millionaire    ,1,1
I have 25  bitterly sore I didn t buy more the moment I heard about this,1,1
I envision a day when we all create our own cryptocurrencies and can live like billionaires,1,0
What stops the  whales  selling at a high price then buying straight back in and causing it to pump again    Sorry if it s a silly question but I ll ask anyway,2,1
Anyone still needs a class for Uniswap V3 on how LP works  Well explained TL ,1,0
I want to buy it through trust wallet bit i cant  But why on eth to pay so high fees man  ,1,1
HODL and educate yourself about crypto in general  Crypto ecosystem is so exciting     Million Token to the moon   ,1,1
The logo reminds of some Stratton Oakmont Inc ,1,1
Tiger King is still poppin off       Get in while its still early  check the charts   ,2,1
I can see why you were so excited about MM  This community is amazing ,5,0
I like the new logo   absolutely this coin will go to the moon soon ,1,0
Configure the SSL Certificate on your subdomain  Didn t expect this from you   ,1,0
This coins is going only up,1,0
If ETH does bad then this token fails  But ETH is strong so good luck on MM ,1,0
  There s no doubt in my mind that we are not only going bull with little sign of stopping  I know people hate saying  this time is different  but the amount of banks  institutions  and companies who have in vested hundreds of millions of dollars with the intent to hold long term  how can we refute that this may be the  super cycle  everyone is talking about  The conditions of this bull market are unlike anything we have ever seen  BTC still has a ways to go in terms of growth  I have been in the crypto world for just over a year now and I have been able to make 30 BTC following the reasonable advise and trade signals from Dennis Berg  a pro analysis that is always one step ahead of other traders  he runs a program for serious minded investor newbies  if you are look for a way to increase your portfolio or investment  Dennis TELEGRAM   dennisberg  ,139,11
All the crypto noobs  please research Impermanent Loss and understand what rug pulls are  Denome has an excellent channel and a video that explains how not to get rekt   Ive been LP farming since day 1  Highy lucrative but it has pitfalls  Uniswap addressed IL with the range feature  I would suggest educating yourself on why it was a necessary implementation ,1,1
There is a dogecoin millionaire who brags about being a HODL er  Poor guy will lose his life savings ,1,1
Welcome back to Google ,1,0
Welcome back to Facebook ,2,0
When you know you know     milliontoken,1,1
I m poor now    As an ex millionare,1,1
I want to get in on your amazing opportunity but the gas fee is way too high  I guess the point is to donate you tons of Ethereum since you are the liquidity provider  hahahaha ur the man  I own 9  in ETH now  cool,3,0
Im poor now    As a millonaire,1,1
As a millionaire,1,1
You only lose when you sell low,1,0
Very informative  Thanks bro  You re my mentor  Filipino citizen here ,1,0
Congratulations  everyone  I  myself  don t own any MM but I love seeing people progress  I have a coin on the Stellar network  It s definitely a ton of work  I enjoy it though  There s plenty of space on the moon for everyone   ,4,0
You seem happier  That s good ,1,0
I kind miss  I m poor now  as a millionaire   You had an opportunity   ,46,1
Million Token is the King of Cryptos  1 000 000 limited supply  This is the coin of the millionaires ,2,0
I imagine Ripple owning 60  is exactly to prevent whales  Or at least a cartel of majority stake whales,2,0
I found it funny that you are an amazing tech lead  and yet your website looked like it s from 2005   ,2,1
I think he is more a back end engineer  not an UI designer ,1,
156 dislikes from dogecoin holders lol,1,0
i still cant tell if we re in a twilight zone where he s trolling,5,0
well   at least you re onboarding ppl to crypto    ,1,1
Love you man  I owe you a drink as well  One day ,7,0
Gambling when the stakes are high,1,1
I m not savvy enough to know if this is a Colbert style parody channel  but I like it anyway in spite of my investment incompetence ,5,0
I mean someone had to try the berries to see if they were poisonous for the benefit of the tribe  Way it goes ,2,0
I saw this wallet when it was  40 and sold most of my stack thinking this guy will surely unload his bags for  2M profit  Bought the dip at around  4 and pretty glad he s out now  I don t mind whales but it s best to get the paper handed ones out as early as possible,13,1
Im poor now as a millioneer ,1,1
I honestly believe in this project with the experience and connections Techlead has in the biggest Tech companies and knowing probably some of the most amazing people in the industry Techlead can really turn this into something great ,4,0
Congrats on your 400K   ,12,2
Thanks it was great     ,1,
remember when this channel was about tech and programming  peperidge farm remembers,7,1
We have a literal ex google ex facebook developer creating our token and the code is open sourced   how can you not jump on this,1,0
I didn t know about liquidity pools   This is real valuable knowledge the Techlead is dropping,1,0
He needs to add   As a poor person  to his titles now ,52,6
 MrCatsFather no he is still a millionare lol the title is just click bait,1,
as a poor millionaire,2,
 Ex millionaire ,8,
 ,1,
MM what an opportunity crazy less than 5000 holders    that s less than 0 5  of the subscriber count of this channel  It s the time to buy   If you are reading this see u in the moon bar  ,2,0
genius,1,1
I own BTC  ETH  DOGE  MM  DGB  SHIB  ADA  and the one that is making me money the fastest  TKING   Tiger King is poppin off    ,1,0
You made it onto my Google News Feed on Cointelegraph      my boy the millionaire,10,0
TL The Legend,1,0
That Million token logo does make me think like the Stratton Oakmont logo  And we all know where that led to   ,13,1
You forgot   As a Millionaire  ,1,0
Love this video tech lead,1,0
Hi TL  if you get an audit done  and list MM in some exchanges  we can all go to the moon  just saying   ,7,1
Bitcoin was up he never talked about it rather talked about million token  now it down boom hes the expert that predicted it   ,1,1
the 400k whale will buy back in on a future dip so don t worry about him,1,1
Given the FAZE CLAN pump and dumb what Techlead did on his channel might be investigated by FTC  I am surprised he s opening himself like that ,1,2
I think we have listings on major cex this week,1,
a guild is what you re talking about   decentralized communities that used to build huge buildings and works of art,2,2
Bitcoin is inflationary  New coins are still coming from thin air mined by miners  It is just less inflationary over time ,1,5
No  it s not  You re misinformed  Read the original Bitcoin paper to understand the economics behind it  You have no clue what you re talking about ,1,
No the max amount of btc cannot be exceeded    not all btc has been mined,1,
Hi  I m new to this  I looked up XRP and it said there will be 100 billion  ever created so do you think XRP can rise in price to 5 euro this question is for the techlead fans ,8,1
in crypto anything can happen  don t look for any advice  It can rise to 5 euro  or in a year it can be 5 cents ,1,
