Comment,Likes,Reply Count
 NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev ,86,45
 Karl Lentz yes  one can leave  child support hell   No men should go there in the first place  But some men are too dumb or just unwilling to avoid it  Instead they try to solve it  by just working harder  wich makes things even worse  I really struggle to understand this male behavior ,1,
i can show you how to get you out of  CHILD   Support  quasi  court,1,
 M  L  man that s scary   definitely getting a prenuptial agreement   if not life is gonna be a mess ,1,
 pran 666 Only if her new partner adopts the child  He has no reason to do that  and real dad probably wouldn t agree to  Because then real dad irreversibly lost his child ,1,
if the ex wife gets a new spouse the child support is void right ,1,
Stop listening to religion and see the world for what it is  Marriage is not in your best interest ,4,
 Griffy DZ Yes  I hope we will change laws  not just in the US  It s about time  I just had to  wake up  another guy  real life friend  as he got separated by his wife TODAY  He was totally unaware and unexperienced to his new  challenges   Ordenary men are so illusional and unrealistic  when it comes to marriage  children and divorce reality  So  nobody cares  until he gets affected  That needs to change  along with the laws ,3,
Sending u my thoughts and some  good vibes  my friend   you  point out one of the MAJOR and  although widely known  yet  unfortunately persisting  flaw in this  system   RE  the paradox  that an abducter or witholder of the child  i e  the party acting in bad faith and or with the intentions of keeping a child away from the other party  infact BENEFITS by their bad faith and ill intent  due to the fact that courts defer  or at the very least  grant greater  scores  to the party that the child 1  is CURRENTLY WITH  and 2  WAS WITH THE LONGEST from the start of the period of separation   regardless of the circumstances that lead to the resulting product to those calculations      btw  you are LUCKY none of those  business  considerations were allowed or deemed legit etc  If they were  it would have only meant  more  monetarily and additional aspects of your life that is now in the  tarnished  silo and under the scope of the  arrangement   Regardless of the current impact and the other party s supposed disinterest  that can change from potential to  kinetic anytime in the future   ,1,
My daughter was kidnapped by adoption    baby mama sold her   ,1,
 Hidden Dragon Going to school each year or years to different country make friends,1,
Parents seperation should default to 50 50 shared care  If you want 100  you need to go to court for this  Simple ,4,
Once I got good at trading  women were throwing themselves at me  Fellow traders I know are now paying huge child support  Kids need to be taken care of of course  but be careful out there  There are all kinds of traps out there ,3,
wow the system sucks so bad and here in the UK is the same tbh   sad really,1,
Change your nationality   Example BUY a citizenship from another country like Dominica   St Lucia   Vanuatu   etc  and then   that would mean you don t have to pay  child support under American laws   Just give your son whatever amount you want like  2000 month,5,
I just finished your video  nevermind what I wrote  you seem to be doing fine  Great,1,
 Hannah Dargan I can get behing this message ,1,
Hello Techlead  I feel for you and respect the struggle  you intelligence make you KNOW FOR A FACT that things are going to be BETTER  I aslo feel for you because I know what Child Support did to other men  such as the men in this very intriguing video about a criminal described in a video called  The Disturbing Case of the House of Horrors Killer   Documentary   finnaly  in my religion  unliving  is PROHIBITED  meaning  inliving  HELL  so that s a shame for some  But i Believe in you  keep it up  Maybe even make a movement about child support  you have a voice and maybe can get your cause and all other men together and change the US laws  Cheers,4,
I m Brazilian  single mother  3 weeks ago a woman came up and said I was going to make a lot of money  i am new to cryptocurrencies  i believed in it and lost my savings  it was a thousand dollars  everything I had  I m sick and if I don t pay for school and rent I m going to take my 9 year old daughter  I am very sad  I don t trust anyone else  People are bad ,3,
Spiritually you have to accept it and try to put all pride aside and find your son  Don t get revenge  Get him to love you and meet you  Forgive his mother she will have to see the consequences in time ,9,
                    ,2,
hello,1,
Great video Scott  The wisest thing that should be on everyone s mind currently should be to invest in different streams of income that doesn t depend on the govt  Especially with the current economic crisis around the world  This is still a good time to invest in BTC and digital currencies  BTC ETH        ,1,1
9 30  I became a monk lol  or  I became a taoist  11 15 Youtube is not a real business  Good  guess I won t be paying any taxes lol,1,2
I m not getting married or having a kid  f that,1,2
Been there   sorry for your circumstances   with time I pushed through and in the long run she has been going downhill   progress and success best revenge   focus on yourself ,2,2
dark joke warning   so if you abduct the child  the other party ends up supporting you until they abduct the child back ,1,1
I am a proud father and believe it s my obligation to take care of my daughter   But the laws in this country are still very much weighted towards the mother and not seeing that it takes two people to make a child and raise them   I have been financially crushed for about 15 years   Living in a one bedroom apartment while the mom lives in a brand new home with cars  ponds in the backyard  etc   While claiming she is living in poverty to have child support maximize her benefits  Most of which do not go to my child   The system does not recognize the fathers trying to do good   This video really resonated with me   I am still hopeful that crypto maybe will help me one day in getting ahead while I continue to advocate for real changes to family law ,1,2
child support   federal tax   judge pay,1,2
      Text for proper mentorship and tips   ,1,
    ,1,
Even your child support story is monetized  ,1,2
Someone needs to start the ball in fixing the system  Feminist laws have made it so that no one even wants to risk trying anymore  They act confused why men don t want to have kids or get married   This is why      ,2,2
You have more similarities to Nikocado Avocado than you realize    people are just tuning in to watch a trainwreck of a guy who has far too much money than he needs ,1,1
You have my sympathies  man  I myself have never gone through this situation  but everyone says it will financially kill you if you have to pay child support  Unfortunately  it seems to be that the only way to escaping this is having no children and never cohabitating  Sad world to live in ,3,1
 TechLead  you are just saying my story  you are very valid  when they know your weakness mostly knowing how so much attached you are to your son  they will take advantage of that just to get at you  But the real thing is that they are been selfish not to consider the feeling and welfare of the boy    But don t worry my friend  in the end  you will win  patience is the weapon and game here ,1,1
What if his son grows up not giving a dam about him because how far away Japan is in order to sustain a strong bond  ,1,2
     ,1,
Bro I did drigs to get over that pain  Please try to find a legal way to get your son  You look like a cool dude  She trying to take advantage of the fact that you get money  Let the lawyers do the work homie  I did my divorce lost my kids and just please,1,1
I AM SORRY TO HEAR ABOUT WHAT YOU ARE GOING THROUG OK PLEASE STAY STRONG  ,1,2
Hello  I m new in crypto trade and I have been making huge losses on my own but I recently see a lot of people earning from it  can someone please tell me what I m doing wrong,3,1
What a lot of these women don t get is  these same children will have to grow up and experience the same things that they were put through as children but now adults and realize everything their mother did was for what ,1,1
   ,1,
Get me directly       ,1,
Feedback appreciated   Wanting more info and insight   WatsApp the numbr above  Endeavor to reach out    ,1,
Obviously  she s trying to rob you  You did contribute a child support in a different way but she was greedy and asking for more  In this case you have to use asset protection  Good luck ,1,1
Sorry to hear about this  Lawyers and courts are something I despise and would never want to get back into ,1,1
Divorce court and child custody court always favors women and financially destroys men  Men need to band together and get these laws changed  Complaining online won t fix this ,1,1
My God  one of those abduction by Japanese parent stories again  This is a problem so big that it even has its own Wikipedia page https   en wikipedia org wiki International child abduction in Japan,1,2
               trying to talk to your wife during divorce is like trying to tell a brick to move  at that point it ll be nothing but spite,1,2
  Let s talk ok     ,1,
Msge me      ,1,
This guy can t ever be taken seriously,1,2
Hi TechLead  I ve watch several of your videos and this one struck me the most cuz I m in the beginning of a divorce   Not be able to see my children daily one is nearly 1 year old and the other one is 2 5 year   is devastating and sure takes something away inside you as a man and a provider   Stay strong brother and awesome that your doing your videos  as the internet is so traceble and your kid will grow and able to see his father in the end  I m going to take your course to earn more for my living and my kids as well  hope not to go similar path and ending that they be abducted as well   Regards,1,2
I will never get married in this freemason satanic western world are you crazy     ,2,2
In a similar situation in UK  Family courts are barbaric  anti male and   because they keep fathers   kids apart  they are also anti children  So much for the  legal system   So much for the so called  patriarchy  ,2,2
Never ever get Married in USA  All true ,1,3
Just stay strong  I have never thought that the child support is fair to anyone ,1,2
He offered her 1 million dollars  but can t afford  5000 mo  Seems to me investing that money at a modest rate of return  6   would easily pay the  5K monthly  smells like YouTube BS ,1,4
Women end 75  82  of marriages  win 92 94  of custody cases and men have to pay the child support  Around 50  of marriages in the US end within 5 years  Men are more prone to suicide after divorce  These are just a few of many other terrible statistics affecting men due to divorce ,1,1
Moral of the story  don t be a cheapskate in life like this guy   Had he afforded more than a  25 gift card for his wife on his 6 figure salary  he probably would have still had 2x his net worth now  his son by his side and some semblance of dignity from his viewers ,1,1
This was RedPill content for me again  In todays world  there is no benefit to get married ,1,1
    ,1,
The best investment you can ever make is a vasectomy ,1,1
yeah  the system does not care who you are  9 10 the woman will win the case  let this be a lesson to you men out there  steer clear of marriage  the odds are not in your favor ,1,1
This is mind blowing  So much for equality ,1,2
No wonder men are staying away from marriage,1,2
The justice system is a joke  A Pure bureaucracy moneymaking machine   Utterly corrupt ,1,2
nightmare fuel,1,2
Always have children outside of western borders,1,2
lets change this flawed system,1,2
   ,1,
      ,1,
When he said  eventually one of us has to say that this is too expensive  that s actually not accurate  the man is stuck footing the bill  they take the woman s case pro bono so they can squeeze everything out of the man  There is no one of us has to stop this  because the woman pays nothing from the start ,1,1
You didn t just lose your child but loss your case  Sad ,1,2
Oh me this is a nightmare for you  I hope you come out okay   I hate solicitors   greedy barstewards ,1,1
Wow  I feel for you man  I know it hurts  They all did you wrong   Stay strong and live to your life the best you can     Me  as an average joe ,1,2
hypergamy  if ur wife marries u because of your fortune  ur basically a beta provider to her  She ll cheat on u whenever she has the chance with an alpha male alpha doesn t mean money but the position in a relationship   Example  the relationship of Tupac alpha   Will beta  and Jada ,1,1
3 6k comments   Can I just ask why doesn t he leave the US  go to another country  ,1,2
Nope tech   you re not a dead beat dad  You re a victim of western culture where women are never accountable  Red pill moment,1,2
thats fucking garbage,1,2
Wait for a while and u will see this selfish wife crying in belong scared straight program for teenagers because of her bad attitude son daughter while she prevent him from being with his own needs with fatherhood that s why I don t empathy with these mom s many of them are liars,2,2
Wow  I am sorry to hear this  Subscribed  liked  and following your content  I have seen your videos before but now I want to support you more man  As a dating coach  I often see terrible situations come out of divorce for men such as this lack of rights for child visitation child support etc  It is really harsh treatement based on outdated civil law ,2,2
Wait  wait  wait  how can they say that it s not a true business expense because it s YouTube while at the same time include the money generated from YouTube into your child support calculations ,1,2
My heart aches for this boy who will not have a father in his life who actually wants to be in his life    the lies he s going to grow up hearing  I pray for absolute complete healing in this baby s life ,1,2
