Comment,Likes,Reply Count
   NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev    Million Crypto Official  https   milliontoken org  Get up to  250 of FREE crypto https   blockfi com techlead Web 3 Social Network https   metafora app ,20,10
Tking coin check it out,1,
How many tokens can 1 person purchase ,2,
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,74,156
keep buying and investing in stocks or crypto soon Bitcoin will hit  100 000,9,9
Hey  TechLead  This video is interesting  Learned a lot from you  Opensea is really centralized   How about Starlight NFT  Any ideas  guys ,1,0
Investing in the stock market is the best option to make a passive income   Virtually all the markets are crazy  most people pay more attention to the shiniest position on the graph  I m keeping a diversified portfolio ,189,8
Remember  diversification is an approach to help manage investment risk  It does not eliminate the risk of loss if security prices decline  Because investing can be complicated  consider working with a financial professional to help guide you on your wealth building journey ,1,
very good,1,0
Came back to watch this again after Opensea has been hacked and millions in NFTs stolen ,1,0
Very nice synopsis  The hype of the current market is simply that    hype  No one really knows these intricate details and are simply walking into a trap with many centralized services simply pushing the hype  I would add that Open Sea also scrapes the blockchain to see what NFT are minted to the blockchains  This allows users to buy and hold 721 1155 in their Web3 wallets as well  So it s not entirely a closed off system  That adds a huge benefit because it uses two contracts  the blockchain contract and a marketplace contract  A hybrid service  Like ours ,1,0
Damn this is one of the best crypto videos I ve watched in a while  I d be curious to hear how NFTs work on other chains  IIRC  NFTs on Solana are tokens with a count of 1  Makes me think that NFTs are associated with your wallet address and not vice versa ,1,1
I M NEW TO BTC AND I VE BEEN MAKING LOSSES TRYING TO MAKE PROFIT MYSELF IN TRADING   I THOUGHT TRADING DEMO ACCOUNT IS JUST LIKE TRADING THE REAL MARKET    CAN ANYONE HELP ME OUT OR AT LEAST ADVISE ME ON WHAT TO DO ,3,2
Wow scary  Great content again,2,1
So let s DDoS OpenSea maybe ,2,1
NFTS are Here to stay  No matter what your opinion is ,1,1
This is the same as you bought any Token  Coins  at Binance  The Token never be yours  They belongs to Binance  Its the same to all CEX es  Just saying  Do your own research ,1,0
I feel that only the government can pull of blockchain technologies because they invented them and they are basically a government algorithm  they replace the complicated bureaucracy of governments and someday blockchain and government will be interchangeable terms,1,0
Until a single central blockchain exists none of this matters  I guess this is kind of what etherium and bitcoin try to be but they just aren t  I don t think it s possible ,1,0
I have been saying for a while  until an actual nft blockchain exists  where the image is stored on the blockchain only and can only be sold on the blockchain  a single blockchain which does not even exist yet ,1,0
NFTs  from an investment standpoint  feels just like the beanie baby bubble  99 9999999  of them will be worthless soon   People will only buy NFT s because they like the image not to make any financial gains ,1,0
bloomin heck   your right,1,1
Your findings are welcome and not surprising     A related question  why do geeks waste their time and money with fake ownership of fake scarcity   We should know better ,1,0
Why your videos are not divided into playlists  it will make it easier for me to watch your videos related to specific topic ,1,1
i ve vaguely heard about full onchain projects like crypto punks  and avastars   are the ones that will never disappear even if opensea shuts down  is this true ,1,1
Nft spec should require the metadata and it s image url be hosted using ipfs or  a decentralized blockchain storage service  Anything else is useless ,1,0
I guees   this how u right off your taxes  And in crash  Its just disappear ,1,0
How does work when there are projects like Guzzler that allow you to mint a NFT Car in their game to use in other Metaverse games   Perhaps what you are mentioning here will be the downfall of Opensea  while this makes sense as well for cross chain NFT marketplace projects and how they may operate ,1,0
What about Altera AEN  Smart project  low supply,1,0
What s that thin black device on top of your rightmost monitor   ,1,1
Solana and solana NFTs are the future,1,0
If I wanted to license some Apes for an animation   who did I need to enter into a contract with ,1,0
NFTs are a massive bubble  They will find their use cases but enforced scarcity is not one of them ,1,0
Loopring    ,1,1
LOOKSRARE overtake Opensea,1,1
Additional post actions You think its funny to take screenshots of people s NFTs  huh  You think its funny to take screenshots of people s NFTs  huh  Property theft is a joke to you  I ll have you know that the blockchain doesn t lie  I own it  Even if you save it  it s my property  You are mad that you don t own the art I own ,1,0
so glad i found your videos again  your bluntness is always appreciated,1,1
I disagree on when opensea down u can t access your nft  because you can still check your nft in your wallet using etherscan or even metamask  maybe i dont get your point ,1,1
I ve stopped doing any work in blockchain,1,0
I noticed these as well so I stopped doing art work after I noticed  Not to mention nft has a flaw with people only buying nft s from certain groups are buying for art but rather from certain groups ,1,0
can i steal ur brain or does opensea own that too,1,0
This whole effort to legitimize NFT assets is moot if I can just take a screenshot  There s no true ownership ,1,1
Open Sea are faking it until web 3 0 is capable  They want to be the market leaders  Once web 3 0 is available we wont need websites like open Sea anyway as the whole internet will run different  where individuals have control and not over hyped corporate money grabbers ,1,1
Cardano FTW with its native assets,1,1
LOOPRING L2 WALLET    solves this problem,1,0
Glad loopring made a nft wallet,1,0
Arguably  the need to loop through all NFTs to determine someone s collection is a privacy feature  not a flaw  The user can still keep track of their own NFTs and easily prove to anyone they wish that they own them  Of course  many of the people buying NFTs want everyone to know without the need for technical know how   ,4,0
Bruh  Cant you just check contracts the address has interacted with  Then you can check balanceOf function  assuming it is erc721 ,1,0
You should simply not use it for NFT creation  The proper way for NFT creation is to deploy your own ERC721 contract  or let a dev do that for you  and store your images on IPFS  most people pick pinata to do so  ,1,0
I own NFTs only from Elrond blockchain  They resolved this problem in a way more elegant maner    ,2,1
Same way NOBODY ever owns any of  their own  money this trick has been around since the beginning of  asset ownership  nothing new really  We re all being and have been played since the beginning ,1,0
NFTS are crap they shouldn t never exist ,1,1
Not news  OpenSea is a centralized platform    NFTS do not equal OpenSea  There are tons of other blockchains  ,1,0
What do you think of cryptocomnft platform ,1,1
Doge coin 2tha moon,1,2
NFTs and Crypto are basically they stock market now  1st it was influencers dictating the market  now the banks are in they dictate the market ,1,2
You forgot to add  As a Millionaire ,1,0
 The NFT doesn t belong to you    YOU belong to the NFT ,1,0
Hey good video  but I d like to offer some opposing points and possibly a topic for you to cover in a later video so that readers aren t totally swayed against NFTs in general   I think you re right in some respects  but I don t believe its fair to imply that all NFTs on OpenSea are centralized    Ill start my argument by saying I think you were mostly right about touching on the Media storage URLs  A good portion of NFTs you find  the actual artwork  is stored centrally on company run services such as Google  etc  where if the company stops service then you lose your digital assets reference  making it pretty much useless   But that was early days  even though its still in practice  Now to touch on my main points   Firstly  There are very cool purpose driven services out there that were created to solve this  centralization  problem  One of them being  The Graph   As with any database  indexing is how users can get information quickly and reliably  by creating cloned sets of data and sorting them in ways that make sense to the service provider s architecture  The Graph does just this but with the block chain  and not only do they allow you to index Collections on the blockchain using GraphQL  but they are focusing on decentralization  Users can actually host their own nodes storing indexed blockchain data for blockchain data of their choosing  called  subgraphs   Anyway I highly recommend you look into this as it solves a big problem of what you re referring to   The second problem you referred to was the storing of the digital asset itself  While a lot of NFTs are being stored on services that are centralized  IPFS file system is actually being used by a LOT of NFT collections now as a decentralized way of storing media and metadata  Its still being adopted and growing  but it is growing fast and helping solve the very problem you re talking about    I think you bring up some good points  but I don t think everyone should read this and think that their NFTs are all centralized because that s just not true  Labeling OpenSea as 100  centralized isn t so far from the truth  but many readers will see that and get the wrong idea  Just think you could  I m curious about your thoughts on this   EDIT  I realized that you mentioned IPFS so thank you  but still important to look into The Graph   ,1,0
To be honest  I m surprised NFTs AREN T stored on centralised databases  After all  a unique token is still unique  whatever type of database  like a blockchain  its on,3,0
Bored Ape Yacht Club  copy ,1,0
Gotta a friend who work at OpenSea as a software engineer      She said if you wanna make a lot of  money with NFT You have to someone on the inside    Because how this works is that the NFT companies select a particular NFT NFT artist that they will create a Huge buzz about through social media   so if you really wanna make money with NFT you gotta know which NFT these companies wanna create a hype about ,6,7
Yh she can  but is not gotta be for free though   But trust me it s gonna be worth it  ,2,
Unfortunately this is far from a beginner s enquiry  I m new to the DeFi and crypto system,1,2
You didnt complete the video   It looks like your knowledge is half baked here    read some of the comments   you will understand why you are wrong   Opensea does not build a Contract until your NFT is Bought by someone   So your NFT starts minting only after someone has brought it with Crypto     How can they publish it on a Crypto Exchange before the Art is converted into Crypto Value     You seem to not understand what Opensea is   first understand that and then come back with a more logical video    ,2,2
Welp I can t wait for GRT network to pay someone enough for them to develop a slew of trustless APIs,1,2
Can you do the same research vid for NFTs under other L1s  Tezos  Solana  BNB   ADA  etc  NFTs ,1,2
 please answer this  I am using opensea  In my first collection i could auction my art for as low as 0 001 ethereum  But in my later collections i am unable to go below 0 05 Ethereum  What is the reason behind this  How to solve this issue ,1,2
Amazing video    The fundamentals of the technology exposed  I do think NFTs are going to become a thing  but now most of the projects are worthless ,4,2
lol  who s gonnna tell him   ,6,1
Reason it s not centralized is trust of 3rd party like a  government majority of people especially blacks have trust issues  guys like you are far ahead of the game but blacks in this society are NOT especially when you talk codes  NFTS and future problems of these platforms  not knocking what you saying but most don t want the future to be centralized mainly cause of trust issues ,1,2
I take your opinion with pinch of salt ,1,2
Try ICP,1,2
