Comment,Likes,Reply Count
 NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev ,42,41
 Unavailable         ,1,
 harry potts         ,1,
why i would buy btc when is algorand doing all the job in El Salvador  lets be real BTC in terms of technology is crap  but i will buy more algorand and ISO20022 coins  thanks,1,
Honestly  I saw your MM video and thought wow  I trust this guy but I had no idea it was your project  Feel really let down  How do others feel here ,1,
I ve been listening to your videos for a while now  I respect your opinion on digital currency and how insightful you can be  I ve been apprehensive on joining any group that involves money for sharing knowledge   I have stuck my feet in the water a few times and I just can t stand the gimmicks used to get people to bite  I ve decided to dip my toe in this time with you  Please be patient with me  I m not a dumb dumb by any means  but I m slower on the financial side  I ll am willing to do the work  So I guess I ll see you on the inside  Stephanie,1,
I also sent you an email,1,
If Bitcoin hits 100k this year then what s your prediction for Shiba Inu ,3,
you are absolutely right about the war  the analysis is really spot on,1,
I have a question how do you actually buy bitcoin which app do you use ,1,
Great video Scott  The wisest thing that should be on everyone s mind currently should be to invest in different streams of income that doesn t depend on the govt  Especially with the current economic crisis around the world  This is still a good time to invest in BTC and digital currencies  BTC ETH        ,1,0
INVESTING MAKE UP THE TOP NOTCH HEMISPHERE OF WEALTH  THAT IS MORE REASON ONE SHOULD SAVE AND INVEST TO SECURE MORE PROFIT AND ENSURE SUCCESS,75,156
Crypto is the new gold,18,18
 Leland Heflin  Thanks for the recommendation will definitely reach him immediately,1,
People talk about Mr Mark  he s got an amazing review,1,
He is on whtsap   ,1,
                    ,2,
where is he available please,3,
Can t wait for my regular payouts  He s an amazing Expert trader ,3,
I made a profit to  10 680 trading with him on a short term,5,
Mark is definitely one of the best crypto experts you can rely on and his signals are as high as 90  accurate  efficient  and easy to execute in trades,3,
I have tried 5 programs and pattern including Cash FX before reaching out to Mark  I can swear his program is the best for now,4,
 Mario Long Yes I agree with you What matters is getting yourself a good Trader or company that knows how to manage an account and make huge profits and Mark has really been a good Broker,3,
If you ask me  I think Bitcoin has something big for the world but having a good mentor is the best,4,
Expert Mark Anthony has managed my investment so we ll that my daily returns is assured,5,
Trading system allow you to limit the factor of emotional influence on decision making  That s why I took this opportunity so serious  now I trade with expert Mark Anthony Henderson and I have been making a lot of profit even in the dip,5,
cryptocurrency will be in every part of the world and I m glad I trade with Expert Mark Anthony Henderson I comfortably recommend him to everyone,5,
If you haven t invested into Bitcoin already you are late but it s better late than never and I m into mark Anthony s trading platform too,6,
Bitcoin trading option is just like any other business but in this case more sophisticated and advanced,5,
INVESTMENT MAKES UP THE TOP NOTCH HEMISPHERE OF WEALTH  THAT IS MORE REASON ONE SHOULD SAVE AND INVEST TO SECURE MORE PROFIT AND ENSURE SUCCESS,5,
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,44,129
I thank you and I will forever appreciate this  channel   you ve helped me and my family a lot  in your videos  In your advice lesson and funny words are really inspirational and helpful  my family and i have been able to minimal conscious in spending saving and investing wisely I now earning every week you re sure a blessing to this generation we really love you,4,1
Trading has not been going well with me  I have invested alot of time and failed I traded on my own but each time I keep losing money I don t have good strategies towards the market,1,
 I ve never  regret anything since the day i got introduced to him as legit and Expert Trader  cause he make 10 05BTC available in my wallet successfully ,1,0
 I ve never  regret anything since the day i got introduced to him as legit and Expert Trader  cause he make 10 05BTC available in my wallet successfully ,1,0
It s legit cause I got my wallet funded with his help and now I m debt free all thanks to him once again for the 5 045 BTC he generate  successfully ,2,0
It s legit cause I got my wallet funded with his help and now I m debt free all thanks to him once again for the 5 045 BTC he generate  successfully ,2,0
Agreed on your analysis here  Price action wise Bitcoin has been trading inside an ascending triangle with higher lows and lower highs towards an invisible apex  On the S R side price is now displaying two main levels  the main level to reclaim remains 46K 33K  A break below the second one  may imply further chances for reaching the target in the south at the swing low  I underwent a series of trading losses I d best not talk about before being introduced to Mr  Callum Lucas  His careful guide and employing his Signal strategies for my trades has been a great experience  Callum s signal algorithm based on unique combinations of trend momentum volume scanners I ve accumulated over 11 Btc in 7weeks ,6,9
     thanks to him he made me choose the right decision by doing bitcoin during the pandemic   it remains the best decision I ever made in my life so far ,1,
