Comment,Likes,Reply Count
  Get 5 FREE Stocks on WeBull valued up to  3000  https   a webull com i techlead Also  I highly recommend Interactive Brokers stock app for the low margin rate strategy  https   ibkr com referral patrick277,27,13
High quality content dude  Appreciate you sharing and keepin it real,1,1
you re the ONLY HONEST youtuber out there  thanks for your advices     ,1,1
Starting early is the best way of getting ahead to build wealth  investing remains a priority  The stock market has plenty of opportunities to earn a decent payouts  with the right skills and proper understanding of how the market works ,72,25
Buying opportunity  This will sake up and make inexperienced investors sell off everything  The experience led investors will make tons of money and get much richer  Personally still going hard on this crazy market and I m doing just fine  My portfolio currently up 19  from Q1 of 2022  I am going to sit back and observe how this all plays out  adding more stocks at a time  the market will remain a money den for those who know where to look,87,5
 James comb Are you giving out your money or copy manually  And She must have fees for this service right  ,1,
 Fred Gallag Get a diversified portfolio if you can  I did  using copy trading system from a US regulated broke r   CNBC contributor   Alexis Georgeanna Herman   It s been a huge relief  Good earnings and little to no engagement at all on my part  Her stock picks are top notch  my aggressive port folio still kicking in huge figures     I can tell you she s quite the genius in trading and portfolio diversification ,2,
The FED knows  They aren t committed to  attacking   inflation  I been trying to stick with index funds  I feel this new interest rates hikes could crash this economy  I m looking out for a better investing strategy  I have a lump sum in a savings account yielding next to nothing  you seem to be doing well yourself I m open for any good recommendation on how to tackle this volatile market ,1,
loved this episode  thanx TL,1,2
Hit the digits for more info Buddy  ,1,
What s app              More updates on XRP  NFT s BTC  What s app              More updates on XRP  NFT s BTC    ,1,
The incoming bull run together with the looming recession will be both interesting and exciting ,98,6
 John WesYou can of course  look up her web page on the net and decide whether to flow with what she offers or look elsewhere for someone just as good ,3,
 Anthonio Rodriguezhow can I reach pls  my TD account needs resuscitation,1,
 clarkVery true  One can never overestimate of these precautionary steps  especially using the services of a pundit  I ventured into stock with less than  100k and now my portfolio worth is almost hitting half a million dollars  Just in 2 years  Credits to  Stephanie Priscilla Bonillo  ,5,
As for me  it s a mixed reaction of excitement and fear,2,
 Rozay NellyAs with any big financial decision  it s important to keep your guard up for economic risks and uncertainties  However  smart planning  time management and following guides from a financial adviser can help keep your investmnts safe ,3,
How s the recession going to affect the market positively  I have a lot of concerns about it and really hopes my portfolio survives through it all,1,
I m no longer waiting for the GRANT LOAN because I earn   50 000 every 7 days recently,40,20
I met Mr Jeffrey Louis last year for the first time at a conference in Manchester  I invested  25 000 and traded in one month making close to  45 000 ,3,
Thanks for the insight  I remember friends calling me crazy when I started investing in Bitcoin now  shut them up with my 4 figures weekly returns,2,
 Rose Sarah Hey  i trade with Jeffrey Louis too  Truth is  a lot of YouTubers don t actually care if you loose money  they just want more views and traffic  this is why i respect him Mr Jeffrey Louis actually takes his time to coach you in steps ,4,
I m also a proud beneficiary  I ve built my portfolio massively and still building  Started with a YouTube referral just like this and a few thousands  I m way up to the profits now   ,3,
It s four months now I started investing with Jeffrey Louis and it s been a good experience ,2,
 Emily Amber Wooo that man his good work has  been everywhere  Been seeing a lot of good comments about him on several places  I feel more confident investing with him  I ve been on the train for over two weeks now    best Broker for life,4,
I m enjoying working under a platform that brings good return in my life  I ve been making my weekly return s without stress all in crypto currency,7,
