,ID,Likes,Dislikes,View Count
0,etrBno7mUE4,7771,732,235126
1,dN2OogPSmqw,4552,272,77040
2,zkBQF9QJLHY,3836,519,88853
3,L3RZlibefcM,5564,990,128551
4,vUCWNmu8MMU,2732,405,68399
5,P0sufgentrk,6312,1249,211900
6,6Sxb2dKRi08,10225,2964,309558
7,Q9aXfjE8SNs,6614,621,174980
8,DTy7IaggUjc,7608,862,139675
9,15sU1jyHQ5U,2801,423,63297
10,cIpgI3rxk20,8584,453,185463
11,jYagqQ5trMU,3329,474,94035
12,jdCRAl1uQhk,14884,866,406850
13,etbhj9iOdsU,6428,730,167876
14,BBbrLjcrTlw,5590,556,92078
15,eAxWylM-zXQ,4207,724,93575
16,yZSatlqk_0s,3797,1015,108584
17,5X43XRF0qoc,13805,2677,373746
18,j9kseiQmjEY,17265,4800,591031
19,IEmpYqIAivw,7895,22871,182968
20,1zJJy-I6aDw,4967,459,100158
21,8f9n5AVpVlw,13153,866,358082
22,_1PSvqho8UE,8059,301,164561
23,i8B2yLS0UgA,9311,878,222785
24,EWtTdD2Ifmw,4437,953,103217
25,dyRNKo8GqK0,5327,424,135031
26,eAr8ReEUhM0,5602,525,164454
27,CMpjg1-PEwM,6700,378,256163
28,Z1u-FmzTIQE,10724,1163,162684
29,bT-oDTcjL0o,10077,1121,219982
30,Bu1R1aslj1k,5535,384,155393
31,9tAemoKKCpo,13325,968,390703
32,F1kQmeIsCVs,6334,1255,110587
33,gwIhDdGwXxI,3361,593,112658
34,shwOqeTAoKA,3422,238,89946
35,BerMWd8cjJA,4355,1619,91495
36,IgDVCm8p-Fw,3918,2068,81601
37,IBV-k9E0eHg,2697,2534,70488
38,xBSEMJDwvXk,6680,3722,265816
39,V8nNpVjpn_w,5503,1497,153908
40,V_hBEY17i54,3806,715,96144
41,stcbKCsxkf8,6276,506,103074
42,SGO6IE4btSI,4906,1564,111043
43,qCdQiVd93AA,4467,1452,84646
44,oMif2tJs5q8,26604,5208,562864
45,MzQblqLzSF4,17253,2406,499781
46,mKZjDmaNtaE,10587,1211,181915
47,IG8LfZoMd_E,13792,999,254516
48,gwiAdCliK14,6730,1285,229606
49,DGvP3uIo7IE,8726,437,119302
50,DEZGr4ix9So,2905,1889,63142
51,7n2-fVixIMc,4953,740,105327
52,6PL5JDh6gG4,8176,469,144458
53,4DOy5ybBHdM,4142,1608,102209
54,0DNZp5yGjDs,4177,827,76563
