Comment,Likes,Reply Count
 NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev     Million Token  https   milliontoken org ,33,29
TechLead  because you are honest  you are one of my favorites on Youtube  Sadly I cannot afford your courses  but I do like your videos  You are welcome to stay with me in Mauritius if you would like a break from your worries in USA   Sad to hear about the trouble with your ex wife    Hope you have better luck in any future romance ,2,
lets collaborate  I will be your Million Coin Community Manager to help with community growth and spreading the word  If you need quality people on your team  stop working Solo and bring in some Culture ,1,
I bought into million brother  lets go to the moon,1,
If the moon if full tomorrow  with the chi coming from the mountain    I feel the energy flow from the sea  it s time to buy Bitcoin,1,
 My Music he replied to your emails  ,1,
Thank you for your videos and replying to my emails  L L ,1,
Investing in bitcoin is the best investment anyone can do this  because it has made a lot of people millionaire  I pray that anyone who reads this will be successful in life,2,1
Saving bitcoin is not a bad idea but trading bitcoin earn you more    I have lost over 5k worth of bitcoin with the current dip,51,29
Haha   Get ready to pretend to try to raise rates   4 30,1,0
Please can you reply I have a serious question  when is the right time to buy FTM  Now       Or a few months from now as theres a chance it goes much lower      ,1,3
How would you grow  2 000 in 2022 ,2,1
I just found your videos and I am so confused  I can t tell what is real advice and what is pure sarcasm  Super hard for me to decipher the two xD,1,0
 INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET NOW ,63,84
I can t buy  million token  on crypto   have you made a video on how i can buy it  I am new to this  so forgive me for my ignorance ,2,1
Tellor crypto is future open your eyes before too late  dirt cheap  it s has only 2 3 million supply and 50k every year add this way better investment than bitcoin  it s a oracle technology  do your own research ,1,1
I just wanna buy MM on Kucoin man I only have like 10  on there,1,1
Hey  do u have the direct link to buy that Nike Hoodie u have on ,1,1
Love your videos and you re definitely my new go to sifu for information  However  most of the actions you recommend are not for new investors with small amounts of money   1000  looking to leverage crypto  Your advise seems to be focused on established investors with lots of money to play with  This isn t a slight on you  again  I love your videos but I want to know how to participate in crypto as a  normal  human who doesn t have thousands of dollars laying around to play with  Just a regular person  working a decent job trying to squirrel away some money in different assets including crypto ,1,1
First time watching your video You re very well articulated  Subscribed,2,0
Thanks a bunch mr seafood tech lead   ,1,1
 I feel those who would allow the market dynamism to determine when to trade or not are either new in space in general or probably just na ve  the sphere have seen far worse times than this  enlightened traders continue to make good use of the dip and pump even acquiring more equities towards trading sessions  I d say that more emphasis should be put into trading since it is way profitable than hodling  Tradlng went smooth for me as I was able to raise over 9 2 BTC when I started at 1 5 BTC  in just few weeks implementing trades with signals and insights from Jayson Elwood  I would advise y all to trade your asset rather than hodl for a future you aren t sure about  ,187,7
Subscribe,2,1
