Comment,Likes,Reply Count
Dudee why is there a blood splatter on your other video pic   ,1,2
   ,1,
He ll be bragging about being a millionaire in every video  ,1,1
Come and live in Bali  I moved here since pandemic  The best decision ever  Many crypto traders just like you here  Cost of living is cheap  people are easy going  You have both mountains and endless beaches whenever you need to refresh yourself  No one needs to go to the mall here  No one needs fancy cars or clothings  Love your videos ,1,2
This guy is so lost in life  He sounds like a barely functioning adult tbh and keeps bragging about being a millionaire and being lonely at the top  Ok bud whatever makes you sleep at night  but seriously reconsider the priorities of your life  it s not all about the money,1,2
Fuck n million token,1,1
Finally now you have a place to take a women   bang ,1,0
next video   I m Moving Back In With My Parents ,2,0
Are you a millionaire ,1,1
a multimillionnaire doesnt have time to play games,1,0
As someone who recently moved back in with their parents and living a trash life   this video speaks to me,1,0
each time he bows his head  he s about to laugh his head off,2,0
Buddha    Why I left my palace as a millionaire   ,1,0
I don t know why is it so common  in Asian cultures that kids can t really figure out what they wanna do with their lives and keep hovering here and there to find what we really want  It s hard to talk to parents cause they can t really suggest much other than getting married or getting a job  kids keep wandering with limited options and thinking and look confused about their lives the entire time  This guy even after being a Multimillionaire keeps struggling with divorce and parental issues so you can imagine what it s like to be completely on your own and have no one to understand you because many people can t relate  me being a 23 year old Asian dude can somehow understand what he s talking about  Basically after doing everything our parents or society tells us to do we learn that it was all for nothing but a show just to fit in or prove to people that we re better than them but in the end you end up choosing what  you really wanted  but it become such a hassle to find that about ourselves as all our lives we re told to follow guidelines  without asking questions and it takes a long time to build this perception which he s talking about ,1,0
I don t want to spoil the party for landlords but so called executive suites cost about one fifth of Californian rent  and they only request very reasonable VAT ,1,1
Is there even such a thing as leaving your comfort zone once you have a cool mill in the bank   Furthermore  it would never enter my mind to live with my parents who are both extremely annoying in their own right   I appreciate his need to grow and explore  though ,1,1
Oh this made me laugh  cuz it s exactly what I ve been feeling about WFH and needing to get out of my comfort zone   Office and dim sum lunches  that s exactly what Silicon Valley living is like     ,1,1
This is usually the the time when you seriously start projecting a out of your comfort climbing route ,1,1
2 50 a person can actually view this video from so many angles  the thoughts he gettin is like a teenager who loves i  parents basement with no aspiration whatsoever but if you look at his he has even crossed reitrement stage of his life       ,2,0
8 17 isnt being in auto pilot good if you have programmed your autopilot sccording to your will  ,2,0
Wondering why  YOUTUBE does NOT block this  as a millionaire  guy  ,1,0
why are people so mean to him ,1,0
this channel is pure toxic,1,1
The most underrated comedy channel on the internet,1,0
Just remember tech lead the same guy so does not want to use the race card then uses it,1,0
Thank you  After watching this I finally decided to move out from my dads basement and move to my grandma s place  She definitely knows how to get me out of my comfort zone ,77,4
   ,1,
 ,1,
 ,2,
 ,1,
