Comment,Likes,Reply Count
Buy Million Crypto  http   milliontoken org   Sign up for CryptoCom and get  25 free  https   crypto com app y7cw5y7xvd   Tech of the Day  RoboTime Wooden Puzzle  https   www robotimeonline com   Use code TECHLEAD20 for 20  off ,34,10
What are the total cost to move 2 MM coins from MetaMask    Try it out and then start to cry      ,2,
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,50,160
Investing in crypto now should be in every wise individuals list  In some months time you ll be ecstatic with the decision you made today   ,1,2
How about Catcoin BSC  CATS   ,1,2
 NOBODY BECOMES MILLIONAIRE OR A BILLIONAIRE S BY WORKING FOR OTHERS AND DEPENDING ON THEM  GOOD INVESTMENT BRING MILLIONS OF DOLLARS  AND CONSISTENCY BRING BILLIONS  THE MARKET IS ALL ABOUT BITCOIN AT THE MOMENT NOW   ,69,95
And I can t say he s the most sincere broker I have known ,1,
That is why I had to start forex trading 2months ago and now am making benefits from it,1,
You re right sir,1,
STARTING AN INVSTMENT IS ACTUALLY VERY EASY THE ONLY HASSLE IS FINDING THE RIGHT ONE FOR YOU  THE FUTURE IS CHANGING WE ALL NEED TO CHANGE WITH IT,6,5
Please I need someone to help me trade or invest the forex or crypto market because I m tired of trading in losses myself  I ve blown my account twice and it s frustrating   ,32,15
The above name I mentioned helped me got my money back    23k successfully recovered   Thanks to him  I survived that depressed feelings,1,0
The above name I mentioned helped me got my money back    23k successfully recovered   Thanks to him  I survived that depressed feelings,1,0
Recovery is posible  I m proudly saying this because I just got my money back  Thank you  GRINDTECHIIE,2,2
Recovery is posible  I m proudly saying this because I just got my money back  Thank you  GRINDTECHIIE,2,1
Hello  I m new to Biticon trade and I ve been makin losses but recently I see a lot of people earning from it  Please can someone tell me what I m doing wrong,6,3
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,29,60
Crypto is lucrative people are just confused because of its volatility,118,42
tanks my friend ,1,1
Hi mate big fan,1,1
Your the best my friend  would love to have a chat with you one day     Thx for the real good info,1,1
Who can beat ethereum ,1,1
 When it comes to investing  nothing will pay off more than educating yourself  Do the necessary research and analysis before making any investment decisions  ,3,3
bttc bit torrent hold  ,1,1
SHIB is dead ,1,2
Shiberium      ,1,1
You know what man  thumps up for this updated view on bitcoin ,1,1
I really need the digital goat  ,1,1
Tectonic,1,1
we love you man         ,1,1
Shiba Inu FOREVER    ,1,1
El dinero es un problema que todos tienen para una vida mejor y lujosa  la vida era dif cil para m  hasta que comenc  Bitcoin y ahora estoy ganando   9 500 por semana ,33,30
Successful people don t become that way overnight  What most people see at a glance wealth  a great career  purpose is the result of hard work and hustle over time  I pray that anyone who reads this will be successful in life,2,1
YOUR SUPPORT AND ENCOURAGEMENT CONCERNING MY PROFIT HAVE ALWAYS BEEN THE DRIVING FACTOR IN MY LIFE  THANK YOU SO MUCH SIR ,2,1
No hate here my friend     Thanks for sharing your knowledge,1,1
What are your thoughts regarding Axia coin and the Axia Capital bank project   Not to be confused with Axie Infinity  Seems to offer quite alot  but is it to good to be true    Would greatly appreciate a more knowledgeable  opinion of the project ,1,1
So if bitcoin doesn t move then alt coins won t move  Very confusing  All this great news yet we fallow what bitcoin does  Whales are the Fed or Wall St  If they don t like all the money coming in they sell  Tell me I m wrong ,1,1
 I HAVE BEEN MAKING LOSSES TRADING MYSELF    I THOUGHT TRADING ON DEMO ACCOUNT IS JUST LIKE TRADING THE REAL MARKET  CAN ANYONE HELP ME OUT OR AT LEAST ADVICE ME ON WHAT TO DO  ,5,2
Life is so precious  when you know you own a property or an investment to always keep you go  I have no regrets starting my journey in crypto  It s been nothing but perfect ,56,20
When it comes to the world of trade  most people don t know where to start  Fortunately  great invest or of the past and present can provide us with guidance,1,
 peter wojcik Gabriel Excellent how good are your earning and do you have any recommendations or suggestions,1,
Best thing that happened to me last year that I can attest to is the progress I have made so far on trade  Venturing into Crypto was my best decision ever I know more is yet to come 2022,1,
you seem to miss HBAR which is the fastest among the rest ,1,1
RYOSHI TOKEN  is the next Shib   ,1,1
I HAVE INCURRED SO MUCH LOSSES TRADING ON MY OWN   I TRADE WELL ON DEMO BUT I THINK THE REAL MARKET IS MANIPULATED    CAN ANYONE HELP ME OUT OR AT LEAST TELL ME WHAT I M DOING WRONG  ,1,3
The best strategy to use in trading crypto is to trade with professional who understands the market quite well that way maximum profit is guaranted,10,4
Who s the best professionals ,2,
  7 56  7          ,1,
Shiba will make the poor man rich in 2022  It will become a very important coin and no I do not own any ,1,1
Mate you have ok content until you sprook your own coin above all else  Zero credibility,1,0
hey man  what is your thought  about the Saitama token  thanks,1,0
UFO Gaming ,1,1
Great picks  It a little bit odd looking your prices and mine today 21 01 2022  your grass it deffo greener than mine   ,1,0
whats the easiest way to buy cro ,1,0
I HAVE BEEN MAKING LOSSES TRADING MYSELF   I THOUGHT TRADING ON DEMO ACCOUNT IS JUST LIKE TRADING THE REAL MARKET    CAN ANYONE HELP ME OUT OR AT LEAST ADVICE ME ON WHAT TO DO ,4,1
Pulsechain  PulseX,1,0
The stock market has been a really tough one this past months  but I watched an interview on CNBC where the anchor kept mentioning     SOFIA RYAN      This prompted me to get in touch with her  and from October 2021 till now we have been working together  and I can now boast of  540k in my trading portfolio ,1,8
 ShibaInu Coin all day baby ,1,0
Cryptocurrency is now on the rise I m new to Crypto trading and I find it difficult using these strategies well  Where can I find a legit broker  than will manage my account and also teach me how to trade ,21,7
The world will move towards a token  A coin that will be use daily  I believe Shiba Inu will be the most popular coin in the crypto world in less than a year ,1,1
What about SafeMoon  They just partnered with BIFI,2,1
 Trying to make sense of cryptocurrencies can be a bit overwhelming for investors  It s a nascent but promising asset class built on technology that has the potential to disrupt a wide range of industries  For investors  what s probably most attractive is the possibility of life changing returns  Don t worry  you re not late to the crypto party  We re likely still in the very early innings  leaving you with lots of time to put money to work and learn about this burgeoning market  If you re new to crypto then my advice is that you trade with the guidance of an expert  I have learned from a lot of YouTubers especially my mentor Mrs  Kathy Lien  who taught me how to make a trade and increase my portfolio to 17 BTC lately,42,13
 Rashid Mehmood                  ,1,
My life has improved from watching some of your content  thanks TL ,1,1
Sir can you help to have more ideas about cryptos and can I start small amount   since pandemic no work   More Power to your busineaa  Miss Eleonor D Jaymalin from Philippines,1,0
I HAVE BEEN MAKING LOSSES TRADING MYSELF   I THOUGHT TRADING ON DEMO ACCOUNT IS JUST LIKE TRADING THE REAL MARKET    CAN ANYONE HELP ME OUT OR AT LEAST ADVICE ME ON WHAT TO DO ,9,3
  Strongly recommending Mr Edward Richardson for those who have had losses trading on their own,7,15
 Keith Reyes let him know you were referred by one of his client,1,
How can one reach an expert in trading   cos I have lost alot of money trading with a wrong trader  ,2,
Trading with Mr Eward Willie was never a regret to me   All thanks to him  he is the best I have ever seen ,3,
Knowing the right source guarantees winning and profit  Mr Richardson has been my money making machine,4,
JACY is the next SHIB token  Remember my comment come December ,1,0
Amazing  how well you explains things  ,6,0
Talking about stocks  Forex and cryptocurrency trading is the most profitable venture I ever invested in  I reached my goal of  120k monthly trade eanings  Wondering if viewers here are familiar with Doriana Ndele trading strategy  ,1,0
The shibax was already launched and it was a success and now I am benefiting from the 14   reward in shiba inu for holding it  join her community that still comes many listings and launch from Launchpad  to the moon  ,1,0
Babydoge     ,1,0
Shib and NFTs   combo plus games will go to the moon ,1,0
After watching several videos on YouTube tutorial about trade I m still making losses,68,21
Best thing that happened to me last year that I can attest to is the progress I have made so far on trade  Venturing into Crypto was my best decision ever I know more is yet to come 2022,1,
Wrong about     CARDANO ADA to the MOOOON         ,1,0
 Sharting will solve the gas  ,1,0
Reef finance ,1,0
