Comment,Likes,Reply Count
The Next SHIB  Million Token crypto  https   milliontoken org      Million Metaverse https   www lionrun io   Million Coffee https   millioncoffee org     CryptoCom  get a FREE  25  https   crypto com app y7cw5y7xvd   Nexo  https   nexo io ref z5tgg6hhlp src ios link    BlockFi  get up to  250 bitcoin   https   blockfi com techlead    Zapper DeFi Dashboard  https   zapper fi     TrustWallet  https   trustwallet com     KuCoin  https   www kucoin com r rJTF7ZM    Curve Finance  https   curve fi ,19,11
Sandbox  Ethereum  Polygon  Solana you welcome,1,
Check out the outragious fees to stake your millioncoin         Screwed up da A  ,1,
what about safemoon ,1,
 techlead how about a video on detailed plan for the million coin  I already like the cap at 1m which is sufficient to sustain pricing  But also  what does the future look like for it   I am buying anyways but it will help to know there is a future plan ,3,
 TechLead Voyager   ,1,
how can i get mm on binance  ,1,
I m getting it after watching your video,1,
I feel  those who would allow the market dynamism to determine when to trade or not are either new in space in general or probably just na ve  the sphere have seen far worse times than this  enlightened traders continue to make good use of the dip and pump even acquiring more equities towards trading sessions  Bitcoin is a volatile asset  and in times of uncertainty  harnessing that volatility which is usually a feature  not a bug  Bitcoin price usually undergoes long term consolidation phases  Although trading range bound price action can be rather tricky  the longer the stagnation period  the more bullish Bitcoin gets  Trading went smooth for me as I was able to raise over 8 4 BTC when I started at 2 7 BTC in just a few weeks implementing trades with signals and insights from Rico Alan  I would advise y all to trade your asset rather than hodl for a future you aren t sure about or hold it and risk losing all   ,176,1
Ric0 tradingfx on  in gram,1,
Great video and some nice tips  This is a scary time for new investors but the best thing you can do is not to make decisions based on emotions  This could actually be a good time to buy more of your high conviction stocks or crypto on a discount  Wealth is created during bear markets  not bull markets  If your portfolio is really effecting your mental health then delete the app and go for a walk  Let the market do its thing and have a long time horizon  I buy and just trade long term more than ever  I have made over 16  btc from day trading with ALEX VALENTINE in few weeks this is one of the best medium to backup your assets incase it goes bearishyt,237,15
No one  NO ONE  can argue ALEX VALENTINE at least currently  the best out there  even when Bitcoin is looking bearish with the market sentiment swinging low  But they kept us grounded with their real analysis  just the facts in the charts,1,
 Elizabet Avila It doesn t matter if you are a current hodler or a newbie  you can capitalize on the fluctuation of bitcoin by trading with good strategy signals ,2,
Building a good investment portfolio is more complex so I would recommend you seek ALEX VALENTINE support  This way you can get strategies designed to address your unique long short term goals and financial dreams ,3,
Great skills and knowledge about the market  I enjoy full profits and easy withdrawal with no complains  trade with the best ,3,
Investors hate uncertainty more than they hate bad outcomes  And that s exactly where markets stand today  Since markets are forward looking and have long memories  investors had already priced in a 3 year tightening cycle before it even started  Looking beyond that is a world with much less unknown  That s a good thing  I ve been able to learn a lot from Trading with Prof  Daniel Ward an expert Analyst and CIO at digital asset management  While Using his Mentorship and Signals  I have been able to grow my portfolio from 2 5btc to 14btc within two weeks of trading using his signals and upgraded trade Software  Anyone interested in reducing losses to ensure growth in the Market  You can reach Prof  Daniel on  eI    m ProDanielWard,100,5
STARTING EARLY IS THE BEST WAY OF GETTING AHEAD TO BUILD WEALTH  AND INVESTING REMAIN A PRIORITY  THE STOCK MARKET HAS PLENTY OF OPPORTUNITY TO EARN A DECENT PAYOUTS  WITH THE RIGHT SKILLS AND A PROPER UNDERSTANDING OF HOW THE MARKET WORKS ,25,38
keep buying and investing in stocks or crypto soon Bitcoin will hit  100 000,6,6
 GOOD VIDEO EVERYONE NEEDS MORE THAN THEIR BASIC SALARY TO BE FINANCIALLY SECURED  THE BEST THING TO DO WITH YOUR MONEY IS TO INVEST  MONEY LEFT IN SAVINGS ALWAYS END UP USED WITH NO RETURNS  ,62,95
i am sick of these paid promotions ,1,0
As a newbie about to invest  you must have these three things in mind 1  Have a long term mindset    2  Be willing to take risk  3  Be careful on money usage  if you re not spending to earn back  then stop spending  4  Never claim to know   Ask questions and it s best you work with a financial advisor   I made it as a newbie by working with Alex Valentino and today I can show alot of my achievements ,211,8
 Steve Tarah Thanks I will text him now ,12,
  Orr What sapp 14089060227        Phyllis larisa,22,
Alex has been trader and his signals works  his techniques are marvelous  he made me see crypto trade from another angle  I keep making profits weekly with him ,13,
You don t have to be shocked  Alex Valentino has helped so many newbies become millionaires through crypto trading ,13,
Wow  i m shocked you mentioned Alex Valention  he is also my current broker  i started with over 1 2 BTC and it s been very profitable for me so far ,9,
I would recommend you get started with a professional trader that will guide you or you trade using his signals,13,
How does this crypto stuff really works and how do I make good profit from it  I m willing to invest in it but I need guidance so I don t lose out ,13,
Investing in bitcoin is the best investment anyone can do this  because it has made a lot of people millionaire  I pray that anyone who reads this will be successful in life,2,1
totally new at this   im so interested on ur Milliontoken project   but how  or where do i start or how to sart investing   pls tell,1,1
Began trading cryptos late last year  my portfolio is at   25k from starting with   2k  Mr Arlo eric  A strategic trade analyst handles my trades with his strategies I still get overwhelmed it is this lucrative enabling me learn while I earn,20,5
This is excellent content and a well concise video  I liked every bit of your explanation  it shows there s lot I must do if I want to be proficient with my trades ,26,17
I ll always pick crypto over stock because the stock market crash is simply inevitable ,2,
The best way to earn from bitcoin is by trading  while some choose to simply buy and hodl  trading earns much more and it s easier ,2,
Trading with her is awesome  she has managed my investment so well and my weekly returns is mind blowing ,1,
What    sApp,4,
 Delight Moss It s good you didn t put in a lot of money as you would have incurred a huge loss  before you can become a good trader you have got to be a follower first  So I advise you get your strategy right and discipline should be of utmost importance so you don t get greedy on profits ,4,
I want to take trading as a side hustle  but I don t make any income  I don t invest heavily because I don t trust my ability  Any tip will go a long way for me ,1,
Whenever I watch his videos  I  feel the motivation and drive to learn how to trade  although am taking gradual steps towards understanding the market ,5,
Last night I saw your video  And after analysing the chart I bought Glimmer today 1hours ago and it started a great move Thanks a lot,1,1
Wish I could buy the million token without using the eth network too expensive,1,0
I laugh everytime when you say  moon   lmao,1,1
Down to my last  10 000 grand any hope on 10 X  25 X  50 X  1000 X gains Tech Lead ,1,0
I got so much to learn about all of this 101         ,1,0
Investing with expert Nora has been the best step I have ever took in my life  may God bless that day I meet her,23,12
im once again down the techlead rabbithole  lad of inspiration  very cool ,1,1
I m actually tired of working about stocks   it s driving me nuts these days  I think crypto investment is far better than stock  ,8,5
