Comment,Likes,Reply Count
Join my crypto Discord  https   discord gg BEqJkuEfqG Loads of fun     Get  250 of FREE crypto https   blockfi mxuy67 net 4e5XXZ,35,16
Your crypto analysis is superior to the other youtube hacks  Interestingly  I can t help but notice 1000 3 200 dislike like ratio  in contract to the crypto hacks who get  say  10 dislikes for evern 1000 likes or more  To me this is a good sign that TechLead is less biased  more objective  and has provided his consumers with descent  sound crypto advice  as much as crypto can be   Thanks for making this video  refreshing  ,1,
 Jonathan Digay Inbox me let s discuss     ,1,
hello im one of your million  suporter    can you sponsor me a laptop i want to be software eng  like you,2,
Don t miss Quant Network   ,1,
I realized that the secret to making a million is making better investment   I always tell myself you don t need that new Car or that vacation just yet and that mindset helps me make more money invest   ng   For example last year I invested 70k in blue chip stocks and crypt0 s   with the help of my advisor of course   and made about 380k   but guess what   I put it back and traded with her again and now I m rounding up close to a million   Delayed gratification always pays off,113,21
Hello what is the best way to get started with crypto trading I ve been making my personal research for a while now ,118,33
keep buying and investing in stocks or crypto soon Bitcoin will hit  100 000,6,6
 INVESTING IN BITCOIN NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ,60,96
LOOK AT METAPETS TOKEN   ,1,0
The guy is so smart  it s actually impressive  The way the delivers and organizes information is always spot on ,1,1
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,51,76
Crypto is lucrative people are just confused because of its volatility,101,37
Thanks for recommending her to me earlier,1,
I can guarantee everyone that you re legit     this profile above generated huge profit into my wallet without any complaint or errors,2,0
Hi i really want to learn  which coin  to invest,1,0
I got into cryptos late last year  my portfolio is at   25k from starting with   2k  Mr Benjamin ravies  A strategic trade analyst handles my trades with his strategies I still get overwhelmed it is this lucrative enabling me learn while I learn,24,5
I HAVE INCURRED SOME MUCH LOSSES TRADING ON MY OWN   I TRADE WELL ON DEMO BUT I THINK THE REAL MARKET IS MANIPULATED    CAN ANYONE HELP ME OUT OR AT LEAST TELL ME WHAT I M DOING WRONG  ,1,1
Good analysis brother,1,1
hello how can i invest,1,5
Money is an issue that everyone has for a better and luxurious life  life was hard for me until I started Bitcoin and I m now earning  9 500 per week ,2,0
Helpline  ,1,
Investing in bitcoin is the best investment anyone can do this year 2022 Because bitcoin investment has made a lot of people millionaire,1,0
So happy bought  12k OXT when was at 32 cents last week I think it s gonna go up to  6 68 this year maybe a lot more though that is a 20x,1,0
Algorand,1,0
Legit and trustworthy website     ,1,0
Legit and trustworthy website     ,1,0
My sincere gratitude to this team  for being such a blessing to me and my family we owe this happiness to you  thank you once again,3,0
My sincere gratitude to this team  for being such a blessing to me and my family we owe this happiness to you  thank you once again,2,0
My sincere gratitude to this team  for being such a blessing to me and my family we owe this happiness to you  thank you once again,4,0
I can t stop loving   you  for another successful of 2BTC into my blockchain you guys are legends,3,0
I can t stop loving   you  for another successful of 2BTC into my blockchain you guys are legends,3,1
I can t stop loving   you  for another successful of 2BTC into my blockchain you guys are legends,3,0
TO BE HONEST I DON T KNOW HOW YOU MANAGE TO DO SUCH A GOOD JOB EVERY SINGLE TIME VERY WELL DONE 20BTC,4,0
TO BE HONEST I DON T KNOW HOW YOU MANAGE TO DO SUCH A GOOD JOB EVERY SINGLE TIME VERY WELL DONE 20BTC,4,0
TO BE HONEST I DON T KNOW HOW YOU MANAGE TO DO SUCH A GOOD JOB EVERY SINGLE TIME VERY WELL DONE 20BTC,4,0
This is the best website       ,5,0
This is the best website       ,5,0
This is the best website       ,5,0
Thank you Ser for telling me about Million Token  Awesome to be part of it,1,0
You are so good and fast  I couldn t catch up with you         Always like your video,1,0
   GLAD I GOT INTO CRYPTO WHEN I DID BECAUSE IT S BEEN A TURNING POINT FOR ME FINANCIALLY  BEEN MY BEST DECISION SO FAR    ,8,2
An Awesome Video  Everyone needs more than than a Basic Income to be Financially Secured in this present time that there s an Economic Decline,9,10
Congratulations to me   i just withdrawn  10000 in to my account ,1,0
God bless you sir for your great services I just got my coin  ,1,0
Where do i invest in crypto 1500 usd ,1,0
08 57 thank me later  ,1,0
I have been trading for about 6 months and now just about every trade slaps me in my face  Nearly impossible for me to catch more than a few points  I try to do top down analysis and MTF analysis  It doesn t work for me  I say to myself clearly I m in 90  that lose money  so I open demo account do my analysis then take the opposite of what I would normally take   I Know  it sounds crazy but I was desperate  and get the same results feeling hopeless ,76,20
Well I earn  9 740 at the end of each trade cycle depends on what I put in and it has been good so far ,1,
Growing in cryptocurrency requires time and Patience,1,
Never knew cryptocurrency could be so challenging  Kept running back to these YouTube videos to learn more about crypto is indeed helpful  Thanks,1,
And Don t just buy meme coins with huge amount,1,
Take my advice  Don t Trade  buy or hold for years then get retired  You don t want all the stress and crazyness involved in trading  Don t believe the is formula ,3,
Self trade is dangerous if you don t have the right knowledge and strategies on how to trade and read margins ,1,
Investing cryptocurrency is the best way of getting ahead  to build wealth Investing remains a priority  the cryptocurrency market has plenty of opportunities to earn a decent payout  with the right skills and proper understanding of how the market works   I pray that anyone who reads this will be successful in life   ,3,1
U r so funny like watching u,1,0
Thank you fro not giving us textbook information and confusing lingo  Cool stuff mate ,1,0
