Comment,Likes,Reply Count
   Diamond Hands   Get Bitcoin and 2 FREE Stocks on WeBull valued up to  1850  when you deposit  100   https   act webull com k S4oOH2yGOtHk main My other video on  Why I Sold All of My Bitcoins  https   www youtube com watch v jFp86n7QCf0,131,132
 Mark Yap It won t be enough to cover fees  Getting money tied up is not fun ,1,
Trade with professional trader the best and advisable way one could be a millionaire is by spending less and investing more  e g Cryptocurrency investment  Bitcoins  is really the best way to make ,1,
I m still waiting for bitcoin to become 0   ,1,
 Ed Ca i will if you give the 100 first      ,1,
no F one will give you  1800   for    100    Do Nor Believe that BS,1,
And just like that you lost all credibility lmao    ,1,
 Pastor TT he is the show for the masses we go to mars  etc  while the elite continues their schemes and agenda ,1,
You just made a video where you claim all Crypto is bullshit but now advertise this  do you believe anything you are saying or is it all just a way for you to make more money ,1,
Sorry but your analysis is very vague bases on guess if  You didn t convinced me  Bitcoin won t go zero my friend but you got a view and a comment on your YouTube channel ,1,
At some point the FUD becomes reality and reality drains your life savings  Lets be smart about all this  China has basically banned all Crypto  Let that sink in  Other countries might follow  The US is hinting some form of regulations  At the end of the day  BTC is still exchanged for Fiat and without the ability to easily exchange BTC for Fiat it kills the entire Crypto experiment  I m not saying people should sell but people should be well aware of the dangers lurking on the horizon ,2,
I think this is the best part of this video  Shows where this goofs real beliefs lay,1,
You are wrong and inconsistent ,1,
Huh    This seems kinda hypocritical  ,2,
Diamond hands on Bitcoin going to ZERO  Let s go     ,3,
So you are suggesting that cryptocurrencies cannot further develop anymore to be better and safer  You think the programmers won t try to solve all these issues you are talking about  I think that is bullshit to be honest  This technology is just in its infancy  too soon to make these kind of conclusions imo ,5,
Are you joking   ,1,
Definitely  he s pissed  when there s no time for   Welcome to Coffee time    as a millionaire  and  as Ex Google  Ex Facebook  Ex Husband tech lead      O,2,
 edward starling and i found him because he got fired by google and saw the video  He should go back to Google other than that I ll pass  ,1,
 Katano Martinez i actually found this guy lopking upstock videos  That 250k video was the first viseo i watched and thought the same thing  He doesnt make sense and seems like he panics regardless hes funny and really love his videos  As far as taking market advice     ill pass  Lol,1,
