Comment,Likes,Reply Count
 update  Follow up video here   Why Bitcoin is going to Zero    https   www youtube com watch v iomRREashI0   Still in  Get 2 FREE Stocks  and pick up some DOGECOIN  on WeBull valued up to  1850  when you deposit  100   https   act webull com k S4oOH2yGOtHk main,151,119
 Katano Martinez I agree  my thoughts are the BCH will be  50k within 5 years when they run out of BTC ,1,
 Cathy Lake Cathie Wood has a prediction of a 500k Bitcoin this year at a 7 trillion markertcap  Bitcoin had a 2 trillion Marketcap and peaked at 65k  So if you 3x 1 2  65k that will get you a  227 500 Bitcoin  That s where i think the approximate all time high will be at for Bitcoin this year  That being said  Bitcoin Cash follows the same exact pattern as Bitcoin  Bitcoin Cash all time high this year was about  1 600 and so 3x 1 2 that price will leave you with a  5 600 BitcoinCash   Regardless of the energy consumption it doesnt matter  Miners will adopt solar panels for mining  It reduces the cost of electricity while increasing their revenue  Mining Bitcoin already used a lot less energy than anything else  Look at the comparison charts on google    The 4 top coins on every exchange is Bitcoin  Ethereum  Bitcoin Cash  and Litecoin  That s what the fund managers are going to offer at the banks    meaning at some point more money will flow through those coins before anything else  Bitcoin Cash has halvening just like Bitcoin during the same year as BTC  I expect in future for Bitcoin Cash to be the next Bitcoin  Once Bitcoin is too expensive for the average person  people will look at Bitcoin Cash as the alternative ,1,
 QT LOL We are laughing all the way to the bank ,1,
Bitcoin is a joke,1,
 Katano Martinez I think you are right 100k BTC this bull cycle is likely  How do you think BCH will do since it is capped at  21 million also  uses way less energy to mine and had an all time high of  4k but is now on bargain sale price for about  600  BCH is being used by paypal and bitpay ,3,
 IE Ok you won t say that when you  have to wheel a wagon  full of fiat to get a loaf of bread and everyone who has 1 bitcoin is a millionaire in 10 years  my opinion not advice   You do not understand hedge against inflation  so I am wasting my time debating you  Bitcoin has proved itself  to institutions to to be a long lasting currency or their advisors would not have gained the ok to sell bitcoin to investors  Once you have institutional buy in that is my signal to buy a coin based on price history and use case  so I don t have any doge coin or any other such risky coins ,2,
 M C Don t close yourself off to the amount of opportunity out there  If you like ADA which I love myself  then you love Hedera  They are backed by Industry Giants like IBM  BOEing  Deutsche Telekom  and you ready for this  GOOGLE  Dotcom Bubble Veteran Google has chosen to jump into the Crypto space while it s still in it s Bubble Era and chose Hedera out of several THOUSAND projects  That tells you everything you need to know right there   Follow the smart money    And the Bubble surviving Industry Giants ,1,
 JCT343 Cardano is the only crytpo I am comfortable with ,1,
 Cathy Lake Crypto is the biggest risk  Riskier than fiat  It s also unregulated  Fraudsters galore ,1,
After thinking for  while  you have a serious point ,1,
 DeathSleep Not sure what you are doing but with most stable coins you earn 12  interest  Depending on the crypto currency one has can also earn interest on it  I compensate by buying the dip  trading when its convenient  and leverage  Leverage can be shorted or long  So a person can make money regardless of the direction the market is going  Don t panic sell  I have inside info on the situation  You will be seeing a 100k BTC soon,2,
 IE Stay broke you had your chance  Bitcoin stopped being a casino gamble and became an investment this year  when the investment banks and corps added it to their portfolios  Bitcoin is a hedge against inflation  Like a rare piece of artwork  but fractionally spendable  You know what is riskier and more of a gamble    Keeping all your assets in worthless paper they just keep printing with no end in sight  That is why i have also invested in physical platinum   gold  silver and land with a pond and spring  Diversification is key  but all the smart money has at at least 10  of their assets in  capped big name crypto ,1,
 IE Scared money don t make money  To make money in anything you have to risk money  I wish I had put a  1000 in bitcoin when my friends told me to when it was less thank a  1  I ended up investing when it was  10k  Although I am not a whale and neither is Tech lead he can afford to make an educated  gamble  on one bitcoin  Look at the price graphs there is clearly a pattern now and it is being adopted for purchase by investment banks and states like Wyoming ,1,
 IE The Federal Reserve isn t run by banks  It is the largest PRIVATE bank  Most people think it s a government bank because  it holds the word  federal  in its tittle   Certainly this bull cycle as the last was orchestrated by a large institution or collection of  but why do you think it was bankers and not an institution like Ark investment or even Tesla or both   Elon adopted Bitcoin for Tesla to make one of the big 4 pump legs  Then he put out negative news to cause a drop  Then when Bitcoin and Ethereum already pulled back and found crucial support  he put out another negative tweet causing a drop below that support level to the next level of support  Cathy Wood from Ark is always putting out bullshit propaganda about how Bitcoin is going up to some astronomical number  And she is close with Elon  A so called former Ark analyst  an Asia fellow  says Ethereum is going go 40k then 120k   The evidence is pointing to Ark Investment and Tesla working together if you ask me ,2,
 revo1974 I bought Ethereum when it was somewhere 285  Just Increasing my position ,2,
 IE hahahaha ok mate  Did the US Fed sell 4 Trillion dollars of Oil to fund the expansion of the M2 money supply this year  Nope didn t think so  Try again,1,
Lol isnt that what the US Fed does  ,1,
 IE Except in some countries they are already being used to purchase goods and services so they are not worthless outside of the casino  Paypal is taking bitcoin and bitcoin cash also  He is being paranoid selling ALL of his bitcoin and he will regret it in both short and longterm  It should hit at least 100k by EOY and  500k in 5 years in my opinion ,1,
 GoofTuber But sell all    Why not just take a little profit above what he invested so he has no losses    People who have completely withdrawn are being paranoid ,2,
 John Elly Calipusan long term this meme coin is probably going to nothing  It s bs,1,
I own crypto because I know the us dollar is going to inflate into our death  I own my bitcoin  etc regardless of what its usd is worth  Because to me the tech is brings more value than the literally nothing the usd brings ,1,
The only thing that has always had unquestionable value has always been gold  Simple  Gold that you possess and take care of ,2,
You are not for stock or crypto   Do what you are good at     Coding ,4,
Normally one can t sell their position in a ponzi and tether news like China ban is 3 years old  re packaged as new news ,1,
 Captain Seal No but I do have a background in statistical analysis and you are wrong ,1,
BUY BITCOIN WHILE ITS CHEAP  IMO ,4,
 Neil Meleo The whole financial system and this world is fake anyway ,6,
Doge to the moon ,3,
Complain about crypto and promote a crypto affiliate link    hmmm  ,5,
Similar to the Dogecoin at the beginning  I recommend the Gulden Coin  Website   Anycoin ,1,
 Satoshi Analysis it s a good price right now,1,
Thank you so much I thought I have lost it all but you came to my rescue get all my investment back was a work of genius never could have believed it ,1,2
I can guarantee everyone that you re legit     this profile above generated huge profit into my wallet without any complaint or errors      ,1,0
I found bitcoin in 2011 while i was kid  I lost opportunity to buy 200 BTC   it was around 0 5    Thanks to my dad  he didnt want me to buy that  useless   think  Now i am poor  he is poor and i am planning to live in jungle and die alone ,3,2
u can still make it mate i hope u will i beleive in u,1,
Investing with expert Nora has been the best step I have ever took in my life  may God bless that day I meet her,9,5
She is the best broker I have ever seen,1,
I m glad I did Invest with her and I still reinvested and the trading is going,1,
I m from Germany I used to take loan from bank for surviver but after trading for real expert Nora She changed my financial status for real,1,
 I got to believe this Guys immediately after my     was recovered by them   ,1,0
Feedback appreciated   Wanting more info and insight  WatsApp the number above Endeavor to reach out ,1,
 Thanks to everyone out there for introducing  this life saviour to us AI can t stop appreciating his thrustworthiness in my life am sure many will have been helped and saved  me and family are grateful to you once again Sir   ,1,0
 Thanks to everyone out there for introducing  this life saviour to us AI can t stop appreciating his thrustworthiness in my life am sure many will have been helped and saved  me and family are grateful to you once again Sir   ,1,0
Hello  I m new to forex trade And have been making huge losses but I recently see a lot of people earning from it  Can someone please tell me what I m doing wrong,4,1
This aged poorly  ,2,1
This didn t age well,1,1
