Comment,Likes,Reply Count
 NEW  Join me in DeFi Pro and make passive income with crypto  http   defipro dev     Million Token  https   milliontoken org ,57,29
Pump Df coin  Best way to make your money 2x  3x or 4x     dollars  ,1,
 Madie Zancanellatl Kamilia S  Woods,1,
I m new to crypto investment  how do I get started with a professional ,1,
Can you do a video on strong block  I d love to hear your thoughts on it ,1,
My guy do some fundimental analysis on Elrond  since you re a developer you d be pleased to hear that they have automatic smart contracts royalties  And imo its the most scaleable L1,3,
Can you explain what 24  APR means  If I invest   100 in USDC MIM does that mean I get  24 per year  Per day  I see you don t answer comments but can answer this please ,1,1
Starting early is the best way of getting ahead to build wealth  investing remains a priority  The stock market has plenty of opportunities to earn a decent payouts  with the right skills and proper understanding of how the market works ,3,2
INVESTING MAKE UP THE TOP NOTCH HEMISPHERE OF WEALTH  THAT IS MORE REASON ONE SHOULD SAVE AND INVEST TO SECURE MORE PROFIT AND ENSURE SUCCESS,15,66
Curious if anyone here has tried copy trading   What was your experience  I m relatively new to trading and I am looking study some traders and copy their open trades rather than investing myself and lose money emotionally ,84,4
 clark  I usually go with registered representatives  Nicole Ann Sabin  for example has the best performance history  in my opinion  and does offers 1v1 consultation to her copiers which I think is amazing  You can check her on the net if the need be  ,1,
 Ivy Theodore  Hi  where can I find traders to copy  ,1,
 Anthonio Rodriguez  I also have copied the trades of some experts in the past  Tbh its the easiest money I made on the market  plus you also get a learning opportunity while you earn off their expertise  Unfortunately  I still haven t gathered all the knowledge I need to DIY trades  but I m on my way  As long as you do your homework on who you re copying and what their strategy is  it s a nice hands off way to invest ,2,
I successfully trade in my own portfolio  and also follow others because I m interested in their strategies  I realized I ve got better at managing the trader s strategies too  There s nothing wrong at all with having someone far more dedicated manage some of your portfolio ,1,
My top Cryptos for march  SHIB  XMR  POLY  ADA LUNA SOL  HBAR   XRP ,100,4
 Ivy Theodore Nicole Ann Sabin  she was in the news when she revived Grumac in 2018   You can look her up online  there isn t much I can say here so it doesn t seem as if i am promoting an agenda,1,
 Smart Uther Hi  please could you share more insight for someone who is just starting out and  how do I reach the expert that assists you ,2,
 Anthonio Rodriguez I d suggest you look into passive crypto investing like liquidity farming  Staking and DEFI  Buy tokens which you know have huge potential to grow   good use cases  For me  I am under the guidance of a digital assets stock pundit and she provides entry and exit points on the security I focus on while I go about my other businesses  Investing has no one way to do it  eyes on the prize    Mistakes are expensive ,2,
A lot of stocks are down as well as crypto  Buy gold  30  in crypto  Investing is a long term game  don t worry about the short term As long as you invest in strong blue chip companies that you have conviction in  they will recover in the long term  DCA if you can ,3,
keep buying and investing in stocks or crypto soon Bitcoin will hit  100 000,9,10
Getting a way to make income without having to leave home isn t exactly as easy as you all think it is   talk is cheap and it s sure easier said than done   I have my source   and I would rather stick to that  it pays well  even my stepdad quickly joined before it s too late,173,2
Starting early is the best way of getting ahead to build wealth  investing remains a priority  The stock market has plenty of opportunities to earn a decent payouts  with the right skills and proper understanding of how the market works,112,2
Its never too late to start from somewhere   I am lucky to have found this source  it s the future,177,2
I m honored to have this team around in this hard time Thank you for always supporting and helping me with your investment plans  to the fullest ,180,2
Wow this is really on time THANK YOU FOR BEING YOU AND YOUR KNOWLEDGE     your videos are perfect for motivation and ideas and we enjoy and learn so much from them Thank to this professional Investment team below for your assistance and being helpful ,179,2
Bitcoin and other cryptocurrencies are a form of money that s a stable field that the government can t destroy and can t distort  Because its creation is governed by the laws of mathematics  It can t happen any faster or slower than a certain rate  and it all sort of self adjusts ,33,2
Big thanks to this great investment and passive income team below for your consistent work in assisting my family out off debt and I believe they will keep on doing so,184,2
In 2019  people have realized there isn t going to be one crypto to rule them all  You re seeing vertical solutions where XRP is focused on payment problems  Ethereum is focused on smart contracts  and increasingly  bitcoin is a store of value  Those aren t competitive  In fact  I want bitcoin and Ethereum to be successful,178,2
This passive income and bitcoin miming team below         of professionals are experts who loves to take on challenges and mostly working on providing quality services to their customers,178,2
It hurts so many people end up in debt well shout out to this investment and passive income team below for saving me and my family from a huge debt,183,2
Keep your positive attitude alive  and never let the enthusiasm in you fade  this is your strength to make that money through passive income keep thanks too this team below   ,186,2
The way this team below    handled my  investment and passive income project showed resilience  experience  Knowledge  and critical thinking  I would love to get his perspective on our next project,182,1
Thanks for this kind of info man  Anyway  off topic I just wanna ask if have you heard about Mercor  I d love to hear your toughts about it ,2,0
 I will forever be in depted to you    you ve changed my life I ll continue to preach about your name for the world to hear    you ve saved me from a huge financial debt with just little investment  Thanks Mercy Greg,47,7
I invested  1000 and I made  13 500 weekly trading profit with her  I always trust Mercy Greg  I am now able to send my kids to a great school in LA ,1,
You are right because my first investment with Mercy Greg was  1000 and I earned profit worth  16 400,1,
I remember when I just got into crypto back in 2017 but later in 2018 I ended up selling it because I was dumb and I didn t understand it  I studied and learned and now I know how it works  Got back into crypto early in 2021 and looks like we have the same mentality  I admit that seeing a  50  hurts but it s not a realized loss until you sell  Now   I buy and just trade long term more than ever  I have made over 23  btc from day trading with kathleen rife Signal in few weeks  this is one of the best medium to backup your assets incase it goes bearish ,60,11
INVESTING IN CRYPTO NOW IS VERY COOL EXPECIALLY WITH THE CURRENT RISE IN THE MARKET  ACT NOW ,71,78
I ve lost quite a good number of coins in the current dip I Just hope I find a way to recover from such a massive loss,9,7
I have been trading for about 6 months now and just about every trade backfires and slaps me in my face  Nearly impossible for me to catch more than a few points    I try to do top down analysis but it doesn t work for me   I say to myself  clearly I m in the 90  that lose money  so I open a demo account  do my analysis  then take the opposite of what I would normally take and get the same result  I m starting to feel hopeless  any advice for a struggling trader ,194,13
 Adam Jerome I m actually doing a long term investment with him  which I realize more profits at the end of the trade  I m not really going to state my earnings here but yes  his services are really good I recommend him,1,
 Marko Aidan I really don t do much  I have an account manager Alex Valentino who handles me trading  His trades are top notch and realistic  it s been a year now and he is still beats my expectations ,2,
