Comment,Likes,Reply Count
   MEMORIAL DAY SALE  Save 50  off ex Google ex Facebook coding interview training  https   techinterviewpro com deal Land that dream job to experience the trappings of wealth ,53,27
 Dravida Kumar Good try,1,
Finance a lab to construct a new genetic wife  Cat girls could exist ,1,
Jesus said its very hard for the rich to enter heaven  Give some of that money to people that are dying or poor,3,
Dude  for the sake of your kid or future kids you need to shed the ego and find a way to reconcile with the wife  Move closer to her  beg  plead  be persistent  It may take a month or 6 months  eventually she ll come around  There s a reason you guys married each other in the first place  Old age is not something to experience by your lonesome  Btw  that process would make a great story to tell the grandkids one day  All the best man ,3,
Next video   Why I have to promote affiliate deals and courses as a dude who got fired at Facebook   Google  received several sexual harassment claims at my workplace  while I still live at my parents house as a grown up who didn t get anything done and was divorced for that reason      Self reflection videos are the best ,1,
I don t believe in divorce   But how hard is it for an influencer to get a female nerd who likes Apple  Star Trek  and coding   She would understand and appreciate how you spend long hours in front of the computer screen   What was your ex wife s major in college or former place of work in Japan  How did you first meet her  If she was homesick  did you allow her to travel back to Japan whenever she wanted  so she could visit her parents ,2,
you should teach all the teenagers on tiktok that money and fame  will not make them happy,2,
Since you don t seem to be enjoying money       why don t you give away half of it to someone who desperately needs it          i e  someone like me    ,17,
 these days I can t be bothered to deal with anything anymore      Satire or reality TechLead is a silver bullet of molten consciousness ,1,0
Lol  You sound like a stay home mom ,1,0
Here are some things you should consider  as a millionaire   honesty  integrity  empathy  compassion  truthfulness  You ruined your own life ,2,0
You need to move away from ca ,1,0
Dude  looks like money didn t ruin your life  your ex wife did    As per your story  she just complain about everything and didn t help you do anything ,1,0
I would hate to think of my life or my happiness in terms of economic value,1,0
What a maroon  smart but a maroon   If you have money you worry about a home in the country not in the city   Travel well take the heli sir ,1,1
 all of these tedious taks  bro   doing laundry is part of everyones schedule    its called looking after yourself and it gives you balance and humility  Thats important no matter how important you are and how much you are managing    No matter how much money I have one day   I am going to wash my own fucking clothes and clean my own house ,1,1
He is simply a person who lost his values  assuming he had them initially  He is right that he is probably smarter than most people because of his experience  but he fails to see that one can be intelligent on paper  and lack complete self awareness    its quite unintelligent to constantly think you are right and everyone else is wrong  Not only that  but putting yourself in this position where you wake up always believing you are above others  it almost guarantees unhappiness  I am completing my degree in Economics  but I work at a grocery store  I have learnt more from my conversations with the janitor and the dishwasher than I have from many of the students on campuses    Perspective is key,9,1
his content is half satire i thought this would be somewhat obvious,2,
Let me help you mate  I am willing to sacrifice my life a bit for you by taking some of the cash from you and taking that burden   Secondly  demonetise the videos so you don t make your situation worse  Thirdly  stop taking the mickey out of everyone LOL,1,0
I d rather have millionaire problems than the hardships you have to face in poverty     ,1,1
I see the point you are trying to make  to an extent  After watching a few of your videos  it seems to me that your perspective on life as a whole is really bitter  I hope you can find peace and contentment in life ,3,0
It is hard for many people  particularly successful ones  to admit what they are working for  sucks  But this guy did it anyway  I root out for him  TechLead I hope you become free and happy  or happier  ,1,1
First time I see someone validating my own thinking  thought I was alone    Thanks TechLead,1,1
Just forget about your businesses for a year  I think you have too much responsabilities  and that s not freedom  Let go everything you can  you can store your money of course but don t bother with it  Take a loss of a year in businesses to promote you mental health   If you really want an life changing adventure  just go to somewhere where no one knows you and know one knows your rich  Go live there for 6 months   1 year  Find a mediocre job   mc donalds for example  and try to live there with ONLY the money of that job  I really think that in that tuff situation you would make friends that don t really care about if you have money or not  because they will not know ur rich  so the people who comes friends with you will not be because of the money   and it would be an really crazy and life changing adventure   What you loose for trying  Perhaps you will find a new girl that is not with you because of the money   You will struggle a litlle but it would be good for your soul  Your welcome ,2,1
Money just buys freedom  The freedom to help the ones you care about  The freedom to help the ones that are trully strugling because they have no inteligence to succeed or to have a nice job  The freedom for you to enjoy your time  The problem is that when you achieve that freedom  you don t have anyone to enjoy freedom with you  That s because some people are strugling  others are competing for more money  etc  It s in our most difficult moments that we build strong connections  because in that moments we really see what s important  Not the cars  not the houses  not money  What really matters are the people and every soul  We all have been dropped here on earth by ourselves  Everyone is trying their best to survive the best they can  We should focus more on other people and less in ourselves  Try to help someone who is really on a bad situation because they could t do better than they did  I think you would feel happy in the end ,1,0
He could still get a normal job  Nothing is stopping him    ,1,0
i love how can u contradict yourself in every video and people still watch u   It doesnt matter the reason of the video  Awesome storyteller  u are 50x smarter than the people who follows u  Well played ,1,0
Start travelling again  Techlead   get amongst it,1,0
Money doesn t ruin your life but the people around you and your own reaction to it ruined your life  Money is just a tool ,1,0
As a wise man once said   mo money mo problems ,2,0
When the pain of a relationship ends  more fulfillment begins ,1,0
Love his segways into his promos   ,41,2
Segways maybe smooth  but you meant  segue    Yeah  he s getting very professional sneaking in for his sponsors ,1,
I feel you  I live in an hyperinflationary hellhole and while I had a job I would be forced to invest in real state and foreign currency in order not to see my worth vanish by itself  Not I have quitted my job and I m practically homeless  Life is simple and good  Blessings ,1,1
This video is like the perfect example of what we call  Suffering from success  ,1,1
Wanna know ,1,
 When I was working at Facebook at least I had sexual harassment claims against me  which is a start compared to now when I have nothing   ROFL,10,0
Maybe try to push in a little spontaneous energy into your mind  That money isn t gonna be buried with you ,2,1
I would like money to ruin my life as well,1,2
One of the most underrated youtube channels out there  hats off to your knowledge  I am hooked to your videos  Thank you Sir   ,1,2
TechLead  I say this in total seriousness   you need to be screened by a qualified doctor for clinical depression  Please consider doing so ,1,1
Are you serious   Still writing the heading  as a millionaire  Mate you re simply obsessed with money even though you pretend to get ruined ,3,0
send me your money that  will solve your problems ,1,0
just started following you yesterday  I watched 3 or 4 of your videos  and I all I can say is that  you are an IT talented guy  therefore  you achieved smthg relatively easy  other than that  you are a beginner in 95  of other life areas  and what it takes to live a fulfilling life  maybe if you spend as much time learning about life as much as you spend learning about bitcoin or playing videogames  you will learn a thing or two  and definitely you will be happier and less judgemental ,4,0
Spring 2007,1,0
if money ruins your life  then you can give it to me,3,0
Hey  if money really made your life worse  I can help you out  Send me your money  problem solved ,1,2
Ok let s deal,1,
As for me I work normal job 8 to 16 30 UK   Some time ago  rather long time ago I realized that money mean nothing to me besides keeping my family financially safe  I do not need to leave much to my children as they are smart and already very responsible so they will be able to go their own ways  My wife thinks the same  Since years I wanted to decrease amount of things I own  and currently we are getting rid of them   finally  Being owned by things is nothing new but I agree   I do not earn much  and since I felt personally insulted by my boss in the process of trying to get payrise I do not want any more money from the company I work for  Yet I am there for a long tine so I have stable job and that I value a lot   I am a happy person  yet suffering from some mental problems  currently trying to get proper help with the help of my wife  I have what I need  I hardly ever need something new really   Money are not my top priority  that s for sure   Take care ,1,0
4 57  LMFAOOOOOO ,9,0
