Comment,Likes,Reply Count
  MILLION  Crypto Moonshot  OFFICIAL  https   milliontoken org     Buy MILLION on Uniswap  https   app uniswap org   swap outputCurrency 0x6b4c7a5e3f0b99fcd83e9c089bddd6c7fce5c611    Buy MILLION on Pancake Swap  https   exchange pancakeswap finance   swap outputCurrency 0xbf05279f9bf1ce69bbfed670813b7e431142afa4,92,28
Don t shill silly meme coins Tech Lead  You re better than this ,2,
So MM token is not promoted as an investment but it is promoted as a social experiment where investment in it and return on investment are being the main selling point  I really do not understand nothing here,2,
 Marco Silva which part looks good  patrick   i mean marco  The part where MM is down 60  over 7 days or that the volume is down 90   Which looks better to you  Think Binance and coinbase will want it more now that volume is only 10M a day ,1,
Long live our Lord and Saviour  Tech Lead    ,5,
How am I just coming across this channel  This is fantastic ,1,2
It was basically Elon exposing them with a smile on his face  ,3,2
Her brain exploded after she found out about blockchain tech   you can def  see and hear that ,1,2
I love every single videos    ,1,2
 I respect your work mate because you are pointing people in the right direction   the FOMO August is over and we expecting an incoming dip this September  It is manipulated but that can be a good thing if you understand it  We should all know that when these reports are bullish take some off to the side lines  when news gets bearish start buying   Keep it simple  that bear correction was the best thing that happened to me  but all thanks to Michelle Rene Lucy for her amazing skills for helping me to earn 8 BTC through trading chart  I believe we are in the spring phase ,129,6
 To make the world a better place     total missed opportunity,1,1
Am I the only one getting billion token ads taking shots at million ,1,2
Pump that million token  Ha I actually believed this guy,1,1
This aged well  Damn I thought this guy was legit,1,1
I did not subscribe your channel for bitshit   ,1,1
I don t know who the 16 year old girl with the beard is but she just said some currency  i e  money  will bring world peace ,14,1
lol,1,
I just watched a 12 min commercial ,1,2
Obvious Cathie Wood is clueless and has just got lucky  Dorsey is just scary  looks off his head on drugs ,1,2
Sell all your crypto it s going down boiiiis,1,1
This look like Billions in that chapter when axelrod use boyd to affirm his position against nigerian coin ,1,1
So shilling Million coin then ,1,2
Pancake hunny  HUNNY   smoothly running gambling platform with certik audit done  thank me later,1,1
Hi What do you think is the Bitcoin price going to 40k    and what do you think about the gaming   nft token  WAR  it s has max supply only 500 000  with market cap of only 555 000   thanks best of luck  ,1,1
haha love how you plug million token all the time  I ll see all you million holders on the moon,2,2
Techlead sucks,2,0
Great that you are exposing these virtue signalling frauds ,1,1
Hello again Genious DUDE  Can t Stand the Crying and Negatively on your Y TUBE Channel   ,1,1
This didn t age well  ,2,1
MM million is the chosen one people     ,2,1
I love this guy  Just the kind of straight forward dickish cynic that I tend to get along with ,2,1
How to enter for a Million Token ,3,0
All good points  Now we know what the  B word is   B ullshit   They all came off as duplicitous  The awkward non response of Jack was funny  Elon s Dodgecoin support has been nothing but an attempt to attract millennials to buy Teslas   World peace is what you expect to hear at beauty pageant not a Bitcoin conference  How embarrassing ,1,0
This guy only makes comedy videos,1,1
you are the only bear i follow,1,2
Can t wait for your next video  TechLead   Million needs you buddy ,1,1
The one and only techlead,1,1
lol one of the few intelligent people around  i like this techlead guy,1,1
this guy need to stop      he is promoting a scheme ,2,1
Elon musk is trying to be nice with Cathie woods obviously  Cathie helped him during the tough times when tesla ran out of cash ,1,1
What exactly does he mean by   social experiment    To interpret  is he saying if it goes up  i win  If it goes down  its ur fault  is that what he means by social exp  Or does he mean that if it fails  we will close this coin down and ull lose all ur money I wish he s clear on what that means ,1,1
I sold ALL MY DODGE to buy Million Token    ,2,1
He knows tech can change at anytime   a kid in a garage can do a game changer ,1,1
BSV solved already all the issues he talked about ,1,1
They don t know what they are talking about   but TechLead does     Buy more million token  ,1,1
Guys  million token is a joke  he talks badly about crypto  then says buy million lol ,2,3
LOL world peace  Honestly Thanks for the laugh,1,2
Bitcoin is irrelevant to future infrastructure  what is the the coin at the forefront of web 3 0  Its not Million and it sure as HELL isn t Bitcoin ,1,1
Glad to be in crypto because of you ,1,1
This million token propaganda is getting so overdone  you re losing your best asset which was your integrity and genuinity to full on support a  self troll project instead of being real as you used to   Even towards the growth of your token it would be a much more powerful joke if you bash it rather than shilling it   Point out the flaws  joke about it  dogecoin is not winning because of the  community   it s winning because it was never at all meant to be serious   You are instead jokingly taking this serious and losing the sacarsm irony in the process ,1,0
Every video you make is just an advertisement for your million dollar token  I m out this is starting to get annoying asf,2,2
Once the coin MM Million gets listed on more exchanges it will attract even more investors  yet I think for a good future more things need to be developed with the currency  like creating smart contract loans  or using it as a source of collateral in  business contracts   Something novel created and tied to this coin may even push this coin above Bitcoin ,1,1
You are a liar   Elon holds billions in bitcoin   Notice he doesn t hold any Million Token shitcoins ,2,1
Million token dropping like crazy  Hype over boys and girls  you are all going to lose your money ,4,1
TechLead are you still talking to us  as a millionaire  or have you lost it ,1,1
Techlead thank you for breaking this down I thought I was the one who doesn t understand the 3 people now I now can confirmed my assumption that they are all UNDER CIVER LIES ,1,1
stop pimping and shilling your million coin   its getting irritating,3,1
Kook wood koo koo lol she paid them to b there,1,1
 MillionToken,2,1
 MillionToken,2,1
 MillionToken,2,1
SOCIAL TOKEN S NEXT BOOOOM,1,1
The way you break down their conference is just priceless    FUCKING wild west out here brother,1,0
Arrogant man  trying to sell token with no utility,2,0
SpaceX is a real asset ,2,1
You re always bearish on btc  Don t be a negative motivator,1,2
I don t understand if tech lead is for or against crypto  ,1,3
He s indifferent   he s a serial entrepreneur void of morales with the ability to manipulate his following at will to pad his pocket   Million token was an example of this  ,1,
why in the fk do your videos pop up in my recommended feed  ugh ,1,2
Thanks for this analysis    Uncovering all the fluff and BS ,2,1
i still dont know if techlead is a comedy channel or for real ,1,1
Algo,1,1
Everyone of these videos are now 10 12 mins advertisements for million token ,1,1
Well  at least Elon Musk didn t sell  all  his bitcoin twice ,7,2
Ark has high fees  This guy is talking so much trash it s getting rediculous  Is he on purpose misleading you guys ,1,1
Bitcoin is doomed  Million coin is the future  P,1,1
Although I m not a fan of your  social experiment   this video was a Token of Truth  Best post you ever made ,2,1
Hang on  At 34s what you say it s wrong  He does hold crypto   Btc ETH   doge   He goes on to say he is bullish on btc   Are you trying to fit the discussion to your own sentiment  ,1,4
I find it funny that you say that they are promoting themselves when litterally use this video to promote yourself over and over again  And proof of work is much more decentralized than proof of stake,2,1
Million coin down to  48   its all downhill now   ,3,2
 Pinned b  Forex V s t Its a dead duck I m pretty sure it s all over for million coin  ,1,
Do people still watch this guy  With a million subscribers he is not a millionaire making 50k a month max without a chance to ever work for FAANG ever again lol sad,1,2
Did you loop your video ,1,2
SCAMMED ALL YOU GUYS HAHAHAH  withdraws liqudity dumb the lost on his followers  Proceeds to claim that it was a social experiment  Why didn t say that in video when he first posted about million token   THIS NERD BEND OVER HIS FOLLOWERS AND PUT HIS PEE PEE INSIDE  Now he is trying to district what he did with Elon musk,2,0
Bro plz leave crypto come back to tech,1,2
You nailed it     all the woke talk by these entrepreneurs is to make money for themselves and their companies    millennials are daily used as sheeple based on this method of virtue signalling  It is always not about  peace   only market dominance for their business ,1,1
You said Crypto is bubble  But now you created MILLION   What a joke ,2,2
What is the use of MILLION token  How is this crypto different from the thousands others ,1,2
Million Coin  blablabla  Million Coin  blablabla  that is is blablabla  Million Coin   ,1,1
They don t know what they are talking about  Kinda true  But you will never be as rich as them hahaha  ,1,2
I think Million Token is amazing  I m talking about what you and the online community has done to make the Million Token successful  That s not to say I believe in cryptocurrencies  I believe it s a junk investment  product  or whatever the product is supposed to be  I m a spectator and obvious skeptic that is fascinated by it all ,1,2
Cardano ADA has low fees ,1,2
 Community is the real value of crypto    TRUTH,1,2
LOL Crypto MOONSHOT OF 2021  MM TOKEN IS TRASH LOOK AT THE CHART,1,1
Anyone buying MM token deserves to lose all their money  O Wait  they have    it s going to 0,2,1
What s up with MM      Edit  you can t even comment these days without these guys spamming every channel,3,0
MM is TITAN Coin 2 0  Look it up,2,1
Is that million coin thing still tanking ,2,1
This is just one long commercial for million token,1,1
Yes  the solution is already here  Cardano  ADA is the solution  Cheers ,1,1
Your MM coin is down 77 ,2,3
imagine a coin that does nothing but go down in price when listed on an exchange  not 1 but 3  LOL,1,2
6 people so 6x complete disappointment  i literally cannot believe that no one can do first principles reasoning on these topics  everyone seems to have their own agenda  go back to the drawing boards all ,1,0
Is vitalik the lead singer or the Smith s,1,0
why you never looked into this technology that can do 50k tps with superlow fees  Bitcoin Satoshi Vision    ,1,1
No TimeStamps,1,0
When Elon accepts Bitcoin as a transactable currency  pigs will fly ,6,9
 CAKES   ART are pigs flying outside   ,1,
 Field Anomaly Do pigs have wings ,1,
Kind of made a bad call  Hugh ,1,
    ,2,
 Field Anomaly oh snap BUY A MODEL S NOW   ,1,
HAHAHAHAHAHAHAHAHA,1,
Great humor  Don t even mind the hard pushing on Million token every five minutes    ,1,1
 The utility of crypto is world peace     ,71,3
 Pinned by BitBoy Crypto shut up spamer ,1,
