Comment,Likes,Reply Count
Try Dashlane Premium free on your first device  http   dashlane com techlead  Use the coupon code  techlead  to get 50  off Dashlane Premium,35,23
When will you upload another video  I want to know when I need to buy high and sell low ,1,
This is funny  did you copy all of the Anonymous video  Haha    ,1,
I think you are a bit liar,2,
The best way to attack the scalability of charging stations is simply to create more charging stations  Imagine for a moment that home chargers could be rented out at individual peoples houses so that no matter where you are it s possible to simply drive in to someone else s yard and use their charger attached to their house  paying them a fee as well as the regular charging fee  Individual people would be able to rent their own house as a charger for certain hours of the day  The individual computers in the car would know who s house was available and for what hours of the day their house was available   The exact same thing could be said about the charges that are located on college campuses  movie theater parking lots and businesses  Ultimately what we need to see is electric vehicle chargers everywhere whether they are superchargers or not  Most people who own an electric car and also have a house will do their best to charge their car at home and only rely on foreign home charges when absolutely necessary ,1,
This guy talks facts,4,
Try supporting small YouTubers like myself  Why sell the stock as a millionaire ,1,
lol you re the worst trader ever,1,0
This did not age well,1,0
This didnt age well,1,0
Lol this didn t age well  ,1,0
This didn t age well,1,0
Hey  Your video didn t age well,1,0
Regret selling yet now ,1,0
I came back to your video   1 000 share now  Trillion dollars boys club  That is all ,1,0
Yeah that video hasn t aged well  D,2,0
Why I regret selling all my tsla stock just 1 month later  as a millionaire    techlead,1,1
Tesla Bulls r fuk,1,1
Your a emotional investor   Long term is key with Tesla no emotion not drama not Bitcoin it s critical feedbacks brotha,1,1
never bet against Elon even if you lost all the crypto life savings  but I have to confess that you did even better than the anonymous video  stupid decision to sell tesla at the bottom of normal hic hup  you re not an investor  you just want to gamble here and there based on market trends ,1,2
good choise to sell   TechLead,2,1
Actually a good question  Why a tech company doesn t support Bitcoin ,1,1
Sucker   Another emotionally triggered  investor    Tired of the BitCoin snowflakes   BTW  none of the regulatory credits are from the gov t  fool    Better do some research  It s money directly from another manufacturer  Not tax money from the federal government   Poor comprehension of reality   Amazing how bad so many are on fundamental accounting   Tsk tsk    Traders constantly lose money   Badly informed  Believing in marketing like a layman   SMH ,1,1
Yeah but the battery swap is going to experience the same issue since the same battery is going to be installed in multiple cares having the same end result  No ,1,1
 I still see cryptocurrency as one of the best digital investment and i totally love the technology when it comes to the largest crypto asset Bitcoin  As a trader  i have been able to understand that there are two sides when it comes to crypto and everyone has their opinions when it comes to choosing sides  though i am not kicking against Hodl  but i see it as an old and odd PICKETT to make profit of the market as when the market goes bearish investors traders loses their investment which is always painful  when you can take advantage of the market by involving in day trading or copying trade alert from a professional trader that understand the market and use PICKETT to generate signals daily to make profit to grow your portfolio as i have been doing with KERRY PICKETT for the past 5 weeks and i have been able to day trade to grow my initial 0 8 btc to 6 8 btc which you will rethink and see that trading is better profitable KERRY PICKETT daily signals are very accurate and always yields a great positive return on investment KERRY can be contacted via               PicKerry  on how to trade profitably  ,33,6
Lol you re uploading so many videos now,1,1
Well this didn t aged well lol  Wow you are smart at somethings but as far as accounting and understanding a financial income statement you need to study hard  That bit about Tesla making more money from the bitcoin sale than selling car is just blasphemy  There was CEO compensation that hurt profit and Tesla has made 26B in Revenue since their inception vs a 100M bitcoin profit  The government doesn t give credit to Tesla other OEM s give money credits to Tesla  so essentially other OEM s and funding the Tesla brand new shinny factories ,1,2
to the regulatory credits  They reinvest these  What would you do with a company if someone gave you x amount of money additionally  Set it aside  do nothing just to say  oh look  i made my profit without this money  or use this money for investments  other car companies are literally paying tesla to expand faster   that money is also NOT from the government  You might maybe want to look into what regulatory credits are   Just saying ,1,1
Its funny how this guy is a techlead and a genius in programming but has pretty much no clue about investing  mostly  my friend if your decisions dont become a bit more informed than you will ask for a job at apple  or google or facebook  in 10 years ,1,1
I think NIO is another money grab,1,1
Lmfao       I mean  I can t afford this   ,1,1
I think the points he made were reasonable ,1,1
Why would they sell bitcoin while they can buy more at lower price and Elon can go and tweet something good about bitcoin then the price will shoot up,1,1
Wtf is this dude ,2,1
Investing in crypto is the only chance and safest way of making Money  ,28,54
Yeah for real crypto is profitable  is the new gold ,1,
 0 14 It is comments like this that keep me coming back ,2,1
please take a look at FISKER  it will beat TESLA   LUCID  and NIO ,1,1
NEVER invest your money in a Chinese company ,1,1
I usually just watch videos like this  and argue with the YouTube guy about how he s wrong about everything  and why he s wrong    I seem to only agree with you  Not only that  I m learning for once    Haha Thank you  I m subscribed after only my first video ,1,1
Starlink is going to be offered into tesla as a free internet  that will dominate the market  keep that in mind,1,1
You got emotional  you sold out ,1,1
