Comment,Likes,Reply Count
Here s my related video on being an INTJ from my second channel  https   www youtube com watch v iKslmHfYYy8 but let me know  do you think I am more INTJ or INTP ,54,49
 N A I think he is ESTJ  INTJ can act like a lawyer and detective at the same time where they like search and argue at a person s weakness  INTP can act like lecturer and children at the same time where they like to talk and talk according to their logic but dislike criticism ,1,
As fellow INTJ,1,
As an INTP who worked with lots of INTJs  my 5 cents   You delivering things indicates INTJ  but might just be upbringing  being millionere  or ex Google FB thing  Your monologue seems to be INTP like   explaining yourself  reasons  INTJs tend to go to the point with confident concise wording  INTJ messages tend to be more simple        and thats all there is to it   If youre INTJ  then youre the softest one I seen  in a good way  ,2,
definitely INTJ,1,
INTP thinks people are stupid  INTJ thinks people can be stupid ,1,
Having used MBTI as a useful too for years  I describe myself as an INTP who values The strengths of INTJs  Having watched many of your videos  you strike me as a clear INTJ who is well rounded and appreciates strengths of INTPs ,2,
 watchvids100 ok  do you know about the cognitive functions  My point was simply that INTPs are stubborn only when they are immature  and INTJs can be stubborn too for the same reason  but each type will be stubborn about different things  INTPs won t listen to other people s reasons  because reason and truth are their responsibility  while INTJs won t listen to what other people want or won t budge when their point of view is challenged  because they feel responsible to define how things around them must be  according to their vision and mostly for themselves   but will nevertheless listen to reason because they see reasoning and reaching truth as something to be done with others  Anyway this just applies in immature people,1,
Absolutely an INTJ  Ni user is all about visualizing what themselves want to do  Te Fi is making decision that is good for themself  being rational  focusing on other people different perspectives and make conclusion based of that  intj doesn t believe there is an absolute truth while a ti user like intp actually think there is an absolute truth  their Fi however belief there is an absolute good,1,
As an INTP I can confirm that you re definitely an INTJ  The big difference is being plan oriented vs being theory oriented  Also  check out cognitive functions theory if you d like to go deeper ,2,
INTJ vibes  but knowing a person from the videos    and also remembering it s all a meme anyway   ,1,
If you didn t sell your cryptos bitcoin  you might save ur marriage  your kid    still working in a big tech company  instead of frustrated   proclaiming urself as a millionaire ,1,
I think you are more of an INTJ,2,
