Comment,Likes,Reply Count
   Buy MILLION on Uniswap https   app uniswap org   swap outputCurrency 0x6b4c7a5e3f0b99fcd83e9c089bddd6c7fce5c611  Official Website  https   milliontoken org ,64,23
 Buy high  sell low    TechLead,1,
why would you give a girl like LUCI a platform ,1,
When is your stand up tour ,14,
GOOD VIDEO  EVERYONE NEEDS MORE THAN THEIR BASIC SALARY TO BE FINANCIALLY SECURED  THE BEST THING TO DO WITH YOUR MONEY IS TO INVEST  MONEY LEFT IN SAVINGS ALWAYS END UP USED WITH NO RETURNS ,70,92
how could y all not see this shake out coming     never take advice from the shoeshine boiiii,1,1
china trying to clean the planet  what world you live on son ,1,3
 P nned b  T ch Lead report computer stocks crimes to FBI,1,
 P nned b  T ch Lead thanks for the IOU insert,1,
and all you clowns voted for Biden your welcome for the crash,1,1
By far this is the funniest video TechLead  has done   He is really getting good with his comedy chops   Keep it up  I love your videos and your sarcastic sense of humor   Thanks for adding a smile to my day     ,1,0
Zero Sum Game   ,1,2
Hello   I m new to forex trade And have been making huge losses but I recently see a lot of people earning from it  Can someone please tell me what I m doing wrong,2,1
With my eyes been on the market and what am seen I will stick to cryptocurrency bcos I see big flash coming  we just have to buy more and hold,39,11
I also trade with him too   I also introduce my wife to him to and today this is our family business you are a blessing to this nation sir,1,
I think I will buy more crypto and gold or maybe the best idea will be to invest more   I just love crypto,1,
 3 58                           Nice one Tech lead ,1,1
Why is this guy so depressed,1,1
Best video so far 6 10,1,1
Remember what Hal Holbrook said to Charlie Sheen in Wall Street   don t fall for the get rich quick schemes  just stick to the fundamentals  Bud ,1,1
You can t sleep with Bitcoin or your ex wife  but you can sleep with a new set of golf clubs  I do ,1,1
Can somebody explain to me what can you do with a mined bitcoin ,1,0
Hi,18,7
Tell her that I referred you  ,1,
How can I reach her ,1,
her method surprises me,2,
I have never heard or seen any of her clients complain of lost    I think she just too perfect,3,
She is the key to crypto,3,
Work with her and remember to share testimonies with others,3,
yes blow up usdc xlm holders hold like its doge,1,0
the moment he said  dont be mad at china  they re trying to save the planet ,1,1
 Investing in crypto now should be in every wise individuals list  in some months time you ll be ecstatic with the decision you made today ,17,16
Crypto is the new gold,1,
This is why I studied Python and R programming in the stock market  So that I could see all the bullshit in advance ,1,2
  What I learned in my post therapy  post divorce      ,1,0
 When looking at previous reoccuring history of bitcoin  all conditions for the bulls to take full charge has been met but for the lowest band of the bollinger band which is yet to constrict the entire band to signal a sharp upward swing  Indications also show that this is about to happen so  bit will definitely keep rising so its right time to get all in but smartly of course  Its either you are great at it and if not  there are quite a lot of services offering signals  the best to my knowledge being that of Isaac Steward s  a well seasoned trader who has proved his worth  at least to me as i made over 7 btc is a few weeks starting trading his signals with just 2  Isaac  Telegram   Isaacsteward   is very adept in TA and FA as well as analysing the markets in such a manner that other top traders should emulate,60,5
Founders of South African Bitcoin exchange disappear after  3 6 billion  hack ,1,0
Dude       You are my Therapist ,1,1
These latest techlead videos are the funniest he s ever released  Thumbs up,1,1
It s a good day when a millionaire posts a YouTube video,1,1
This guy lost so much money on Bitcoin he has to monetise it hardcore on YouTube,1,1
Great video what growth stocks or crypto  I buy amid sell off  i m a newbie looking to secure passive income with digital assets  crypto  I ve over 60k to begin with,9,1
NEVER GET MARRIED ,1,1
do you have xrp ,1,1
You ll buy back in  My guess at a higher point than you sold based on how arrogant and desperate to be right you are ,1,2
People will be kicking themselves in few weeks if they miss the opportunity to buy and invest in Crypto as it s retracing    BE WISE,1,4
The Elite rich want to create their own feudalist State and that includes their own currency     TAX PAYERS WILL NEVER BAILOUT NON FED SUPPORTED CURRENCY   ,1,1
let me tell you a secret  if your salary is your only source of income you are only one step away from poverty that is why I invested into cryptocurrency  Thanks to my cousin who connected me an to expert trader Smith Dorothy,61,31
lol,1,2
When Bitcoin hits  100k TechLead   new video  I WAS WRONG ABOUT BITCOIN,1,2
His humor is getting out of hand    ,1,1
TechLead  you are YouTube s biggest meme and I absolutely love you for that ,1,1
I do not think that applying reasoning and trying to deduce something out of unpredictable is the correct way to go  Few tweets and an army of people that think they will be rich overnight  and things can turn  In order for things to get balanced  some people need to crash hard will scare life savings betting investors    and things should be a bit more predictable  for any analysis to be valid  And alts following different trend than BTC would not hurt for diversification ,1,0
Your time is everything   surely reflection and feedback is part of the healing process and strive to be a better human   It s your life  your time that YOU take for this    Buddha is love    ,1,0
Did she think she s a diamond hand holding 500k          ,1,0
didnt we already had the hs at the 50 60k range  and now following wyckoff accumulation pattern,1,0
Since I am not going to the moon  I am supporting people that stop doing coin mining ,1,0
Watching this channel as ETH moons to 10k  Will be interesting to see   ,1,0
Tether could bring it all down ,1,0
Wrong  Bitcoin is the sea  not another fish ,1,0
Him just got rekt by crypto and now cry,1,0
   ,1,0
OMG   TechLead freaking kills it in this one   Can t stop rolling ,1,0
New daily keyboard   My ADA is so sweet bounced back from 102 to 130 in 24 hrs lol  His reference it s not your coin it s just your turn is from Richard Coopers advice lol  meaning A girl isn t yours forever just for now,1,0
Then again you don t realize what s happening do you  Of course you can take your analysis on a flat and engineered base  and if you follow that path of course you re completely right   But you must realize something when you make a product yourself you think   at least you should   that s the most profitable and most perfect in the world  then comes reality  a neighbor of yours makes a crappie and similar to the one you have and makes a great propaganda  he gets rich and you don t sell even half of he she is selling  that s crypto    Think of it this way this way  for you it s a great loss but for the ones entering now it may mean great gains  it s a matter of perspective  Sorry for my crappie English  ,1,0
I applied to buy crypto  next day daddy elon opens his mouth  I dodged  that  bullet ,1,0
 It s not your coin  just your turn     this guy knows rp,1,0
should rename channel to  ConfidenceLead  at this point   I love the personality of this guy xD,1,0
My bitcoin left me  But you re still a millionarie right      But you re still a millionarie right   ,1,1
These video names are getting exponentially ridiculous   Up next  My Crash Crypto ed Me  My Ex Wife Bitcoined Me  as a millionaire  ,4,0
Patrick is a millennial that thinks like a GenXer  Awesome ,1,1
The Pyramid has begun to fall was never a fan of crypto its just like gambling,1,0
He s hilarious though  He pisses off all the pumpers in the best ways,1,
You stay doing these clickbaity titles  Truly shameless ,1,0
This is became the most hilarious channel on YouTube  Love it  D,1,0
I decided to invest in crypto a month ago and I ve since been studying the tech behind it and the market  preparing to start investing  I m still waiting tho  Can t believe I m so lucky to witness this crash so I get in when it hits rock bottom    It s also really funny to see all the crypto youtubers pretending they re not panicking in hopes of calming everyone else down  ,1,1
Bought the dip that keeps dipping   ,2,0
It s funny how he never even bother to reply to any comments yet ask our opinion in the comment section,1,0
Legendary comedy gold  has me howling      it s not your coin  it s just your turn  GENIUS  ,1,0
 Don t let greed blinds you ,1,0
I love how he called out what we were all thinking   she s already got a boyfriend,1,2
Dude for real   Straight up my thoughts  ,1,
martingale to the earth s core bois,2,1
Careful he s a legend   ,1,0
HI    D Thank you for featuring me in your video  BIG FAN   D peace       DOGECOIN TO THE MOOOOON   P,18,9
I watch your videos everyday Luci  ,3,
Great livestream Luci  ,6,
Doge to the moon ,7,
Awesome  ,10,
 ,11,
To the moon luci  ,12,
Nice   Luci is awesome   love your videos and livestream  ,13,
Luci   I watch your livestream everyday   Keep up the good work,14,
I love your videos luci  ,15,
 It is not your coin  it is only your turn    ,7,0
Great video  I came from  livingwithluci   hahaha,1,0
 As an ex millionaire ,1,1
 As a not millionaire ,1,0
 Oh wait  you guys are going to the moon right  anyway       ,1,1
If fb and ur wife asked you to come back   will u take the package  ,1,1
 it s not your coin  it s only your turn  lol red pill,1,1
This dude is absolutely buying back in at 24k though,1,0
Interesting is for losers  we do boring stuff,1,1
bitcoin already going back up i guess you gonna have to find something else to talk about  I can throw a spaghetti noodle on the wall and make predictions too based on its pattern ,1,1
troll,1,1
1Thing for Sure Dude  I m happier than you with Little Money because I Understand the Meaning of Happiness   True LUV  If I had your Money  I would be On Top of The World  That s Okay Time is on My Side too   ,1,1
Damn bro you literally called it    I hate to say your right but you were    TO THE CORE BOYS    ,1,1
2 weeks ago you said sell FB but its been going up ever since    ,3,1
I was   when he pooped his collar  ,1,1
Yo  DUDE Your Problem is your Negativity is BIGGER than your EGO   You want a Better Life STOP Judging Others for not Being as Smart  As you Think you Are  Remember SMART Folk s don t Need to Hype ,1,1
Nobody     Tech Lead    Let s do my trash technical analysis  ,10,2
Anybody who calls DOG  doje  deserves to lose all their money ,2,1
okay   they were all friends with techlead ,1,1
Kusheen was here   ,1,1
