Comment,Likes,Reply Count
  Trade crypto   get 2 FREE Stocks on WeBull valued up to  1850  when you deposit  100   https   act webull com k S4oOH2yGOtHk main,38,17
Now you started Including videos in your videos to spread hatred against some kind of people based on their culture clothes   how do you feel if someone starts bringing in some of the bad videos about asians and use them as proof to spread hatred against Asians  Thats what you re doind now  You should take Down this video  and take off those parts of videos you included  2 times at 5 30 and 10 00  since you include it 2 times that tells a lot about your subconscious  now i see that you re a racist,1,
Tech Lead check chainlink,1,
Charles Hoskinson  IOHK Charles Just a public FYI   I only have a YouTube channel  a Facebook page and a Twitter profile  I don t have a LinkedIn  Instagram  or any other social account  Anything that you see on those platforms is a fake account   4 00 PM     6 1 21,1,
You should be a cnn fox News  journalist,1,
Do you fight crime at night in a costume ,1,
Hell naw,2,
can you stream playing apex legends,1,
I love your daily videos   ,2,
      i am not sure if HE   Vitalek      even graduated school    NO   he did not                             ,3,
T L      dig your channel        LOVE CARDANO           you are the funniest   most crisp dialog person talking right now ,5,
 Patrick Bateman heck yea ,2,
MORE CARDANO VIDEOS   ,3,
INVESTING IN CRYPTO CURRENCY IS THE BEST WAY OF GETTING AHEAD TO BUILD WEALTH  THE STOCK MARKET HAS PLENTY OF OPPORTUNITIES TO EARN A DECENT PAYOUT  WITH THE RIGHT SKILLS AND A PROPER GOOD BROKER ,78,162
2 38  scrawny brainiac nerd vs fat linux nerd  wtf  ,1,0
Yes  We want the money  ,1,0
 Would you like your life ruined  No you would not   Thank you for helping me realise this TL,1,0
I have not laughed so much in a while  Thank you very much TechLead xD,1,2
This guy is amazingly funny  Thank you for making me laugh even when i have a headache ,1,0
I can t believe that I ve just learned about your channel  I ve been missing out on all this satire accompanied with very good  points  Definitely earned a sub from me  Keep up the great work ,1,0
Why don t you try in Comedy Movies my friend   These dark jokes are so funny  ,1,0
LOL,1,1
Lol great vid,1,1
Wow that started out super rational and turned out really wild and hilarious ,1,1
I mean  he s right to say they shouldn t just wing it  That seems fuckin totally nuts on something as volatile and complex as a cryptocurrency   The rigor of ADA gives me a lot of confidence in the platform ,1,1
