Comment,Likes,Reply Count
Check out the project at Metafora  https   metafora app   A project from Million Token  http   milliontoken org ,60,17
        ,1,
id love if we could make a group chats or something similar,1,
Awesome   crypto users holders will like it ,1,
smooth,4,
  ,4,
Would love a video on becoming a blockchain developer,1,1
Awesome Patrick   this is going to be the next big thing   no doubt ,2,1
Nice    Great job  Thank you very much for the video and all the best with this project  JC  Toronto  Canada  ,1,2
Thanks for all that technical information  TL  very useful ,1,2
Thanks for being a part of a supportive community ,1,
good to have found this     Im in     former Audio Eng      file coding with Protools here   ,1,0
Hello world  ,2,2
Hey Techlead  what was your exact role at Google  if I am not wrong you were in a YouTube team  and Meta ,1,2
 techlead can we have an ansi ui for this,1,2
Wooot  TL is a PHP dev   D,1,1
With 15k you can have 20 50 dollars allocation and we can make More as x20 or x30  and Don t forget this month for exemple is 10 ido and a very big ido when you make in every ido 500 dollars in ein month you refund your investissement,1,1
5 54 gets confusing when he says you need to own 10 million tokens,1,1
I have to know how moderation works on this before I d ever use it ,1,1
Man this is too funny fk me  as soon you connect ur wallet u are fken done and people know it just use a another generated wallet to play in there  not ur real one damn,1,1
What s the benefit of running this social network messaging in Web 3 0 ,1,2
Cool video  thanks for sharing ,1,2
Whatever happened to that million token  I haven t checked it in months but I heard it ended up being a total joke,1,2
Haha  you also like to do   with your hands when you speak lol,1,2
Social Media that cost you money   ,1,2
Thanks for commenting Send a direct msg right away What sapp                   ,1,
Hi,1,
Great tech overview,1,2
can anyone give me a brief detail on web3  ,1,2
I loved the technical overview of how you developed that  Good job ,1,2
yeah not tying my address to anything unless necessary    but good that you re working on moving things forward,1,2
SAVE YOUR MONEY AND INVESTING IT  INTO STOCK MARKET WILL BE THE WISEST THING TO DO TO ENSURE SUCCESS ,11,18
 Julee Rutgers her service available outside of the US  As her broker is registered in the US ,1,
I used to work 3 jobs  full time at Walmart  a server at the night  and did lyft on the weekends  still only make ends meet  This opportunity that was shown to me allowed me to worked away from the rest race  Dreams do come true keep an open mind  opportunities are everywhere don t get stuck in the trap you deserve a life of financial freedom and time freedom ,1,
 Caleb Millbrand My money stays right in my trading account  my account just mirrors her trades in real time that s the idea behind copy trading ,1,
 Julee Rutgers Do you trade on your own ,1,
 Albert Meyer Exactly  the trick is to diversify your investment  don t panic when everyone else is and invest consistently ,1,
Interesting  I have a lump sum doing absolutely nothing at all in my bank account  I wanna get something started with it  You seem to be doing excellent for yourself  how do you achieve this ,1,
Having monitored my portfolio performance which has made a jaw dropping  370k from just the past two quarters alone  I have learned why experienced traders make enormous returns from the seemingly unknown market ,1,
Investing in stocks is a good idea  a good trading system would put you through many days of success ,1,
Just signed up  Was wondering when this was going to be developed  Im buying my ETH domain real soon and legit can t wait to add it to my profile  Wen airdrop ,1,2
Even most kusama parachain Auctions Winners prices Crashed  None successful except moonriver   All rest kusama parachain Auctions Winners Failed miserably  Bcoz KSM  dot r slow   SOL Luna Avast FTM HBAR ALGO KDA flux Etc Etc Etc are super Fast fast   building projects over them without parachain fuss  DOT acting like ADA,1,2
Ex con       ,1,2
Join roe rogan on one of his podcasts,1,2
Reported,1,2
Looks cool I m pretty handy with Figma and web development do you need a intern ,1,2
i would not trust you for telling me what time it is,1,2
Fucking genius,3,2
Does million token staking not work with BSC  only Ethereum ,1,2
Absolutely inspiring ,1,2
Yo this Coin is is an exact copy of APEFUND word for word  What a copy cat ,1,1
I can not understand  should I eventually buy that tokens or not ,2,2
You should have MM on Stellar as well for the Stellar Folks,1,2
Is that REALLY Kathy Wood   ,1,2
Has this shady shadester not been banned from YouTube yet ,1,2
i don t want people poking around my address,1,2
This is a superb indication ,2,2
This is mind blowing ,1,2
What about spamming the network ,1,0
the market tops every time this dude puts out a crypto video,1,2
