Comment,Likes,Reply Count
Join ex Google ex Facebook engineers for my coding interview training  https   techinterviewpro com ,374,70
So you mean it is already saturated ,1,
 rubbercable  Eh  understandable   This hearing those words in this context honestly makes me cringe inside too  even if only a little  I wish you well  dude    ,2,
 Ivory AS I was referring to the video being negative  It s been a tough 6 years  Guess I m a bit touchy  Words like woke and communism triggered me ,1,
 Rama Gakii cool  can you tell us how did you make it ,2,
 Raven Echo am coming,1,
Hell with this guy  I want to know everything ,1,
Kinda sus youre ex company engineer,1,
 Elena Thanks Kat,1,
 Rama Gakii woooo congratulations that s amazing,1,
You must hack GOOGLE,1,
He s saying even though there may be other forms of competition holding you back such as AI or small minded people if you are going to learn to program it won t be all magic success stories  Personally I was struggling just to decide on a language and a ide I could learn with  Some are too much to start with  So all that takes time the right language and a tool the doesn t make you feel too stupid  Now I have made two decisions easier  The other thing he is saying continue if that is what you want to do even if it s on the side in your spare time don t quit the job that pays your bills  while you get established  Also find a real reason why you want to program  Being a programmer is a under appreciated job  Do it because you want to ,3,
Dude this course is way more valuable than any guru tai Lopez crypto course out there,1,
You say working a braindead 60k job in a dusty room full of computers and nerds like its a bad thing when I m used to working a job entailing back breaking physical labor for less than 30k a year  I m like  sign me up ,5,
This dude is funny   I love his videos ,1,
So if you are telling us not to learn coding why are you training others ,9,
Doomer   Funny Doomer  but a doomer nonetheless ,1,
Do you offer tips on how to get a job surrounded by beautiful women ,1,
Thanks  just the video I needed  I can be a nerd  but a hearth I am more business minded the results   use case is the main atttractions    If I may ask or other may answer  probably  for learning to develop in low code with some space for alteration  is javascript suffiencent with some knoweledge on front en back end packedges  or is python or other language a better option to have some basic undnerstanding ,1,
 techlead Are you in Hawaii  ,1,
I have never thought about doing programming as a job  rather a skill to use for other things  I aspire to become a mechanical engineer when I am 26  I am 14 now so that gives me time ,9,
 Rama Gakii ayy  do some charity and give me a job ,3,
With this video   he gave us no good reason to join this training ,29,
Hey techlead  I want to be like you,3,
nice,1,
thanks for making me a millionaire in my country Kenya   am now worth over 110 000 dollars that s over 12 million Kenyan shillings,12,
congratulations  you just crushed my dream through and through  still  i don t regret watching this video ,1,2
i totally liked the video   highly enjoyable chat  TechLead is a wise funny young man ,1,2
Why should I not learn to code   Him  I WANNA FEEL SPECIAL,1,1
yeah that area is expensive  itd be nice if your family could be convinced to move to a rural area and save out with you,1,2
Thank you for putting the relatable show for us ,1,0
Imposter syndrome eats away at you and the time investment to master a codebase hurts your relationships with those closest to you ,1,0
Glad we have a whistle blower on this topic   Coding for the life of me has been a thorn on my side ,1,0
I was learning dart but after this video i closed vscode and stopped and this video frightened me in a way that all the work and hardship i do in this market of tech are already wasted even you dont know yet it was ,1,1
Feedback appreciated hit me up   for advice and guidance,1,
Maybe I just kill myself ,1,1
Sorry but I can t see machine learning doing what you say it is doing  I think that applies only if you code decision engines  I see a lot of creativity needed instead to stitch together various techs and libraries  that is true  I would say the emphasis now is more on architecture than coding itself and I am so down for that  Develop the ability to create patterns and macro algorithms  don t focus only on coding ,1,1
 dont learn programming you will earn 70k  thats good money    ,1,0
Depressing  bubble bursting  and dream shattering ,1,0
Very very intelligent guy  An amazing internet character  I love hate him ,1,0
School constantly reminded us that coding isn t glamours  especially coders that code video games   We had a person from EA come over and basically told us if you go that direction  you ll have to sacrifice having a stable family  and a social life because of the deadlines   Don t think I ever heard a Swede glorify coding ,3,2
Bullshit 500k,2,0
So no need for programmers ,1,0
I just hate how all the schools and colleges in my area praise this software company have them talk come to events   they have internships and programming clubs  yet no one talks about how they fired 100 employees for cheaper programmers in Poland  It feels like all a facade  Then they have university professors coming do talks about problem solving and how you need to be an obsessive 100iq out of the box thinker to stand out  Bro  I spent 4 years repeating whatever the teacher said to me in highschool ,2,1
Usually do the opposite of what successful people say out loud lol,1,0
Damn  this is discouraging now lol  Just started coding  Great ,1,1
Knowing how to code is invaluable because you can always leverage that skill to have a major impact on the internet  All it takes is the right idea or problem you solve ,7,0
You have a lot of great content  but your comments regarding diversity are so stereotypical and just out right off base  as if being Black or Latino will give you a free pass  That never happened for me because I have had to work for every inch of ground that I accomplished  and this is coming from a guy with two masters degrees  You seem to be confused about diversity initiatives meant to address exclusionary practices that disadvantaged my people and minorities for generations  Your content is too good for you to be interjecting inaccurate diversity quips ,1,1
You are a funny dood hahaha    ,1,1
Feedback appreciated    Wanting more info and insight  WatsApp the number above Endeavor to reach out  ,1,
10 17 so true  ,1,1
gotta love the   reverse   racism nowadays   smh,1,1
dang asian and white alike for diversity efforts lol,1,1
Remarkable video and channel,1,1
Great Video TechLead     You have a great sense of humor  I lived your dream     love it    I think your experience and advice is very realistic and people would be wise to watch this before choosing their path   and yes I agree it is best to combine coding with creative and marketing and or other skills ,1,0
Feedback appreciated     Wanting more info and insight  WatsApp the number above Endeavor to reach out  ,1,
Brutal comedy but spot one ,1,1
