Comment,Likes,Reply Count
  Here s the crypto trading app I use  Get 2 FREE Stocks valued up to  1850  when you deposit  100   https   act webull com k S4oOH2yGOtHk main,73,41
Hell naw,1,
OK here is an argument for you  how is a central Bank Digital Currency different from the mobile banking that you do on a day to day basis  The answer is there is no difference  Governmnet would just sell you the same thing in a new package  The maximum of what can be achieved with central banking currencies already exists ,1,
 Doro Jessy nope you don t loose your money if Ur e HODL people who loose money are the panic sellers,3,
Plot twist   I bait y all and bought your crypto when you panic sold ,2,
Don t buy crypto    But there is an app to buy  ,2,
Nowadays these random institution  news  not even make sense with stocks  Seems that whales are trying to fooling people away lol,1,
Half your audience are bots it would seem,2,
Stable coins would not hurt btc  it could help,1,
starting a video with  you know I really do hate being right  is      you know up yours,2,
nobody goes straight down without at least a dead cat bounce on a 1 Trillion cap,1,
 10 14 Lmao,1,
You re so intelligent  calculating  and manipulative  It s really hot  So attractive and sexy   and I m a guy lol  There s no reason why this link wouldn t be a method of you reclaiming some money back  I kind of want to trust you  though  You were completely up front about your data analysis  and  I ve seen enough of your videos to reasonably conclude that you are upfront with your schemes and patterns of thought and have some sort of conscience beneath your stern  detached exterior and witty dry humor  But you ve been through a lot so you ve definitely been shaped by adversity  Despite being so introspective and focused on self actualization and personal success  your morals may be long gone  You said that winning is all that matters and that emotions are unnecessary  Don t underestimate him  guys  Don t be na ve  Maybe I m giving him too much credit  but I love it when seemingly silent  docile wolves in sheep s clothing bare their fangs without even trying       ,4,
Bitcoin will touch a million in few years,4,
 Doro Jessy   you do not loose anything as long as you hold it in your wallet  ofcourse   this is technically true  Just make sure you do not hold the bag   ,2,
 Crypto is done  but here is some sponsored link to trade crypto so i can make money ,79,
You are smarter than everyone        ,4,
Bruuuuh,32,
This didn t age well lol  Change your mind yet ,1,1
I love how effortlessly he moves between trolling  unapologetic societal critique  no BS wisdom and bittersweet notions of life   One of a kind  my man ,1,1
Do you think presale  5 investment in crypto worth it  Heard starter investment is doing presale at that price  Pretty cheap and meh  what harm can  5 do ,1,1
If it crashed then GOOD  It s time I get a 3070 so I can play Warzone ,1,1
I swear the most I enjoy about this guy s videos  besides his outside the box thinking critical analysis  is his deadpan way of delivering his arguments and his intentional or unintentional way of humor  He s hilarious  ,1,1
If all you had was 5 000 dollars  what crypto would you invest in   ,1,0
I put in 2 million and cashed out 1 5 million  as a millionaire ,1,0
Look at the way i tie my shoes  as a millionaire ,1,0
what software is he using in the video to view stocks ,1,1
So much to unpack here     You re a degen trader  traders get rekt  their wives leave them  their kids resent them AND THEN THEY BUY DOGE GTFOH YOU RE TROLLING US,1,1
damn didn t think this guy was a real day trader ,1,0
Very few honest people on the net  Keep up the good work ,1,0
So you sold eth ACA and keep dodgecoin  X X you keep the meme coin  Dude crypto is up a lot it did drop but still is way up  Powell is trying help the ppl       u r all over the place,1,1
         ,1,1
Finally  I can get my hands on one of those GPUs for playing video games,1,1
Investing in crypto is the only big chance of making money,6,27
Tech lead ur technical analysis is very good,2,0
Please don t tell me you really sold your coins,3,0
other than splurging on google  do you have any recommendations on how to read charts various ways like you have done in this vid  Please let me know  thanks  ,2,0
0 20  100  agreed    Most people are holding through losses    not holding onto value but holding onto their dream of becoming rich without having to work for it ,1,2
 I m warning you guys  this stock market isn t gonna last   Every 5 10 years   I fucking told you  I m done ,1,0
People need to understand  we are ALL EARLY IN CRYPTO   exchanges are relatively small compared to mature global stock  futures  currency   commodity exchanges  this means prices are much more easily manipulated by a few big whales   volatility will be the norm    anyone trying to day trade crypto  swing trade crypto or  time  bull or bear markets is playing with fire  The right way to invest within a relatively new sector with young exchanges  is to invest in longterm advanced projects like HBAR  ADA  VET  XRP etc     that we all know will be the first coins to gain widespread utility use in blockchain systems     buy  and hd through bear or bull markets and check back in 3 years     your coins will vastly outperform any other type of investment you put money into in those 3 years     ,1,0
Money is an issue that everyone has for a better and luxurious life  Life was hard for me until I started trading bitcoin and am now earning  18 435 per week,1,0
Crash  ,2,0
the fud is strong in this one,1,1
Just as people are greedy on the way up  people are greedy on the way down  Y all really expect more dips after a 50  dip     Greed plain and simple ,2,0
T h a n k s f o r w a t c h i n g F  o r m o r e g u i d a n c e       1     6      6    1     4   2       4    7    2      1   5     W A T S A P     ,1,0
Successful people don t become that way overnight  most people see at a glance wealth  a great career  purpose is the result of hard work and hustle over time  I pray that anyone who reads this will be successful in life  ,2,13
 BOUCHER WHITE It s not ignorance but unprofessional broker in the market,1,
 Hunter Thompson But I don t know why people remain poor due to ignorance   ,1,
 Hunter Thompson You are right Sir ,1,
I Crypto 2 Stocks 3 Shares,2,
Assets that can make one successful in life,2,
i like the cup you holding   facebook cup  Where can i buy like that  really i love it,1,0
Subscribing to see how bad this video will age ,1,1
You re pretending to not let your emotions influence your decisions but get scared by the usual noise in the markets and then exit  Makes no sense to me  I am in crypto since 2013 and let me tell you  this is not a sprint it s a marathon  If you are losing your position because of short term TA chart patterns  the FED or  insert FUD of your choice here  you are doing it wrong  On the other hand you are promoting a stock trading app which you for sure get a nice kickback  This is as fishy as it can get   ,1,1
Cryptos are NOT investment   It s a form of gambling   Too much hype and a lack of transparency makes it a very risky way to allocate your asset ,1,0
i feel bad for the people that think this guy knows what he s talking about,1,0
 Robbie Kruszynski Reach out now  I secured a maximum pr f ts with his adimstrators,1,
very entertaining   as a millionaire ,1,2
Why do you expect the central bank s digital currency is going to change anything  We already have digital money platforms right now such as Zelle  Quickpay  Venmo  Paypal  Google Pay  Amazon Pay  Facebook Pay  Stable coins  and Bank electronic transfers  Those platforms are much better than the central bank s digital currency in many ways  You have to understand the central bank s digital currency and digital money platforms are the same things so they complete with each other  But  the central bank s digital currency and Cryptocurrency is a different target group  Please  don t confuse with blockchain technology ,1,0
Doubled my positions on this dip and we back,1,0
I don t have parents  health or wife   ,1,0
You must learn more  ,1,0
Nothing is down bro hahah,1,0
Please just dont miss the  as a millionaire   ,1,0
Cabbage hands    ,1,0
All of the Criptosnare down because the Chinese  and American government noticed that they couldn t control the money because Bitcoin is becoming a legitmste source of currency that they can t control or tax so it would make  the Chinese dollar and American dollar crash further making the American dollar more worthless,1,0
In the beginning I liked your channel   now you are not a motivator anymore and you see everything negativ  Why  Keep up your spirit  ,1,0
as a millionaire in fiat money ,1,0
 I really do hate being right all the time    I love this guy  techlead FTW,4,0
Imagine watching these videos after the next halving cycle  ,1,1
As a ex google ex facebook engineer this guy is a total crypto noob   please dont listen to this guy for crypto advise ,1,0
I NEVER KNEW I WILL BE ABLE TO HAVE ACCESS TO MY BITCOIN BACK WITHOUT STRESS BUT SILVERHACKZ DID IT,1,0
I NEVER KNEW I WILL BE ABLE TO HAVE ACCESS TO MY BITCOIN BACK WITHOUT STRESS BUT SILVERHACKZ DID IT,1,0
I NEVER KNEW I WILL BE ABLE TO HAVE ACCESS TO MY BITCOIN BACK WITHOUT STRESS BUT SILVERHACKZ DID IT,1,0
I NEVER KNEW I WILL BE ABLE TO HAVE ACCESS TO MY BITCOIN BACK WITHOUT STRESS BUT SILVERHACKZ DID IT,1,0
You are fearless and people do need to hear this  Thankyou for helping people make an educated decision and not be manipulated by whales ,1,1
Pretty sure I would hear similar  run for your life  thoughts after BTC dropped from  30 to  2 or from  19 800 to  3 500    ,2,1
Tech lead been studying his TA  The man can do anything,1,1
 I disconnect my emotions generally  that s why my ex wife left me     ,132,3
Julie baby  I ll never disconnect my feelings for you ,1,
 Ark Invest FU,2,
I like how you talk with your body language and how you always use a cup and switch it around,1,1
Instead of fibonnaci lines  technical analysis  just put everything on red at roulette,1,1
I have seen a lot of things but I have never seen Big Pat miss    Truly inspirational  just shorted the whole market with x100 leverage in the name of Big Pat   ,1,1
Nice vid TechLead  Really informative   Like ,1,1
Just disclose how much you lost man  You look soo pissed off lmao ,1,1
Stock market is exactly the same piramide  Greed is good like Geko said ,1,1
Crypto is another kumbaya  utopian  absurd dream of over educated elites that so up in their own BS that they lose touch with reality  And now  when the fever is at its highest  a bunch of vultures is circling for greedy idiots that don t know any better ,1,1
Could you do a video on cardano,1,1
Hmm China fud,1,1
But crypto always crash    ,1,1
I guess it is going to the sky  Time is short,1,1
Man you give up on Everything so easily  I am worrying one day you will close your YouTube channel too  Get some nerves and face the wind   ,1,1
Why does it feel I just found my long lost uncle  Love the content  Extremely insightful  Thanks for all the hard work ,2,1
You are always right,1,1
You re funny man ,1,1
Yeah  I Think the tax ist the most important point here  No Tax   no infrastructure   no internet   no  welfare ship   no water  At some point everything is gonna crash worse than our imagination reaches  Especially Europe s social system depends heavily on taxes  Something Americans especially will never understand  Not the individual but the community as a whole is what keeps our people together  That has nothing to do with community at all ,1,1
 ThisisBearish                     yet the recovery has begun    ,1,1
BTC   Gold    DOGE   Sand  You believe pockets full of sand are a better investment than pockets full of gold   FYI   Silver and Gold have also seen extreme price volatility   In 2011  Silver hit  50  oz and within a few weeks it nearly halved   2 5 years before its 2011 high it was as low as  12  13   As recently as a year ago it was under  15 again   Just food for thought   ,1,1
Zoom out silly ,1,1
Why don t you change your channel name to  As a Millionaire ,1,0
Buy the dip trick do the oppisit of the market     ,1,0
