Comment,Likes,Reply Count
Why I m going to the toilet  as a millionaire ,1,1
Beeing rich is so complicated ahahah I m a big fan   ,1,1
Thanks for watching  You can join our VIP offer Message  whatApp  the numb above for more insight and Trading Tips   Endeavor to reach out ,1,
I love your videos ,1,1
Why didn t you rent a nice apartment tho,1,3
Because he s broke,1,
It s kinda funny  but not that funny actually ,1,1
I am loving this youtube journal journey   You need to get yourself out of America and see the world   You are free and single go mingle with some ladies in Europe or UK,1,1
If you are a really a millionaire you could buy a house were ever you wanted  Js,1,2
He s not lol,1,
4 55 this is why you need friends,1,1
Can t stop laughing haha  man you made my day  She s way more smarter than you  ,2,1
what irritating big kid  cheapest hotel  can t live without parents  so many funny things when you are talking about your personal life  as a millionaire  get your shlt together,2,1
Are you bored in general ,1,2
Only boring people get bored     so he must be,1,
Living with your parents isn t bad when you can go to a bank teller and not just ATM  If you know you know,1,1
Is this how being rich with no friends look like ,1,1
This does not seem like a millionaire s life  Also could you please slow down your talking ,1,1
If you got all this money and mad programming skills why don t you spend the coming 10years in Japan close to your son  giving him the father figure every son needs  Isn t that the real responsibility you signed up for when he was born  Every day away from him is at his expense ,1,1
Dude you re a millionaire   if Cali is too expensive for you  move to the mid West and get yourself a nice place and do your videos   Stop playing the victim and blaming the viewers for your own decisions ,2,0
I have been making losses trying to make profit trading  I thought trading demo accounts is just like trading the real market    Can anyone help me out or at least advise me on what to do ,2,1
You only made it 4 days,1,1
Now he s accent is like a Taiwanese   but he was speaking so Californean before      Why  ,1,1
Loved the entire video  I thought I was the only one who felt like that  I m often doing stuff and I m having a good experience and a bad experience at the same time  and not sure whether  I m actually enjoying myself  without the confirmation of another person  I felt that to the core  These are the kinds of videos I like from you the most ,2,1
Next video  Why I m Broke And Homeless  as a millionaire ,1,1
What did I just watch ,1,1
I love these kind of videos  You have inspired me to stay living with my parents and save money ,1,1
Please stop drinking coffee  Lol  Great guy great stories  I love the way he is real  upfront  and basically living through his channel  Continue to give knowledge to your audience anyway you choose  great channel ,1,1
Never seen a more lonely guy in my entire life ,1,2
I think you d kill it in stand up comedy   yolo,1,1
I think your humor is priceless Main reason I just love watching   But honestly I think you re speaking about some real values in many videos too  It s in between the lines but I think don t be afraid to emphasize that to your audience     ,1,1
That ending was hilarious   the amount of confusion when balancing work and play is a true struggle in itself  It just sounds like you should do van life or stay at resorts far away from big cities,6,1
You re a joke and your channel is dead,2,1
Your wife wouldn t have been happy moving back in with your parents  Good thing she left you,1,1
Geez this guys life sounds miserable,1,1
