Comment,Likes,Reply Count
Get  250 of FREE crypto on BlockFi https   blockfi com techlead    Million Crypto Official  https   milliontoken org ,28,7
Techlead explain why to stake MM on your website cost so dam much       Tell us what the cost is for just two MM Coins to be staked ,1,
Wow fucking scumbags rug pulling innocent people  They re gonna get robbed too 7x as bad  What goes around comes around,1,0
GOOD VIDEO EVERYONE NEEDS MORE THAN THEIR BASIC SALARY TO BE FINANCIALLY SECURED  THE BEST THING TO DO WITH YOUR MONEY IS TO INVEST  MONEY LEFT IN SAVINGS ALWAYS END UP USED WITH NO RETURNS ,61,96
ELON        ,1,0
Please be my Sifu,1,1
Can you make a video to explain the crypto burning and how it affect his growth ,1,1
Yes  TechLead you are right  misery likes company   ,1,1
Mark My Words  Squid Game Token is Not Over yet     ,1,0
This dude above just got back all that I lost to this fake platform  Thanks alot brother  ,1,0
This dude above just got back all that I lost to this fake platform  Thanks alot brother  ,2,0
    This is all you have to do if you need to get back your funds,1,0
    This is all you have to do if you need to get back your funds,1,0
But million token has been falling from  229 to  24 since july 2021  Very scary  very weird  I have an intuition that this million token will end up below  1 and eventually be a dead project and its contract will go offline  It does not have its own blockchain  The second token fallen 90  in price within 4 months after squid  and people lost confidence and they have been selling million token  Price may go up to  35 ,2,1
I have been making losses trying to make profit trading  I thought trading demo accounts is just like trading the real market    Can anyone help me out or at least advise me on what to do ,2,1
       390k recieved I ll never risk it trading online again    thank to this expert he did the trick thou I can t tell how he did it but I m overwhelmed right now   thanks,1,0
 Johhntechie the best recovery agent I ve ever come across,1,1
Everytime its over     ,1,1
Greedy people who wants to get rich soon stupid they deserve nothing else,1,2
just like Million token you have created  bloodbath from U 220 down the drain to U 24  its over for you  jail time,1,1
Just like your crypto currency The irony,1,1
This is the TechLead I like ,1,1
0 10  Overhyped shitty show,2,1
tfw you come to watch a techlead video for the shitshow but it ends up being super informative,1,1
 ,1,1
Squid game crypto has a life span shorter than a squid  ,1,1
Great educational and informational video ,1,1
Please do more crypto videos ,1,1
shiba inu will win others that follow will die except doge,1,1
This is why you always do your own research before investing into something ,1,1
Hey anybody hear about the hot new investment where you wont lose your money  Gold and Silver ,1,0
Block chain seems ultra secure  Lol,1,0
The more I watch the more I understand   I need to get in on this movement ASAP,6,1
First time tech lead doing full coding session  finally  as a millionaire  ,3,1
How do we know tech isn t the one responsible for this  It wouldn t surprise me  ,1,1
i remember when you set up a cryotoscam,1,1
What do you think of Solend  Anonymous developers  But funded by very reputable investors  Curious ,1,1
        I ll never risk buying squid online again      thanks to the name I m putting above he did the trick thou I can t tell how he did it but I m to overwhelmed right now     thanks,1,0
U dont sound a like bot in this video  tho you a bot at the beginning,1,1
why is someone still got scammed this day    ,1,1
I gotta hand it to the creator of squid game token  People were greedy enough to buy a meme token as dumb as that and he lived up to its name ,1,1
 Bruh  your channel is barely hanging  by a thread   after all the foolish antics you pulled over the months  I u unsubbed about 6 months ago too ,1,1
 TO BE HONEST I DONT KNOW  HOW YOU MANAGE TO DO SUCH A GOOD JOB EVERY SINGLE TIME VERY WELL DONE TO THE ABOVE NAME  ,1,0
Why does anyone post on here when you clearly never read or reply to anyone ,1,1
Nice quote   Misery loves company   the Art of War by Sun Tsu Techlead,1,1
thanks very helpful was thinking of trying crypto  what else could one try small amounts what about silver or any other you know of to try,1,1
Lol   TechLead is trying to play a good guy here but Milion token is slower version of Squid game  BE AWARE PPL ,1,1
         WHY IS ANYONE WATCHING THIS WORTHLESS NUTBAG ,1,1
I wonder if it was for royalties too  the crypto punks thing,1,1
MM will be the next squid coin,1,1
Kinda like your million token huh  As a millionaire ,4,1
I ll admit I had a bad impression of you from your beef with Coffee but you earned my respect from this vid  Thanks for the info,1,1
Finally Techlead makes good youtube again ,1,1
I ve watched   game 3 times I love it   Watch parasite   It s great too n got the Oscar  ,2,1
Funny show ,1,1
People being surprised that they got scammed is like getting angry that people serving beer in the bar,2,1
Fucken guy Shills Million at the end   crazy world we re living in ,2,1
Cool video  Wasn t aware of the danger of wash trading,1,1
this guys ego is bigger than the number of videos he s had   as a millionaire   in the title,1,1
This developer side tech lead has and the way he explains things is what I m here for ,2,1
We DEFINITELY NEED more people like  close to but not able to match up to  TECH LEAD to wake up most of the sleepy heads in this chaotic era ,2,2
Hey Teachlead   I have a question for you   What kind of software engineers make the operating system like linux mac and windows ,1,2
Tesla video anytime soon ,1,1
I know how withdraw squidgame,1,2
The fact that the contract can be changed immediately invalidates Ethereum and any EVM compatible blockchain  The trustless nature of Ethereum requires no mutability on a contract   Sometimes when trading on a thinly traded token on a DEX  you get continuous   The price has changed  and cancels the trade  That s a bot trying to up your slippage  Squidgame was pretty disgusting  but I had to watch because my family wanted to watch it   It s a sign of the level of low level emotions people are living in at this time   Tech Lead  I m a Tech Lead  and probably better than you   thanks for this fantastic video   You may or may not realize but you just shot Ethereum full of holes  smart contracts most important attribute is immutability   Who the hell wrote the ability to execute code dynamically into the EVM   I just thought of another hole  You can make an external contract id a dynamic value in contract A pointing to contract B  and then deploy contract C and have contract A point to contract C effectively changing the behavior of contract A without actually changing its code ,4,1
This guy is really shilling that Million Coin  What a hustler,1,1
So glad I discovered your channel  Great content   ,1,1
Interesting ,1,1
Haven t seen your videos in a long time  and I m sad to see your new content  Learned about coding watching your videos  but it seems you are going through a mid life crisis with this type of content  Disappointed  Which you would talk about important things such as your technical experience as a Tech lead  but you fell in the hype train  Sad for you,1,1
 Excellent show  by the way  check it out  Pretty funny show   This is the cynicism on demand I have been looking for ,2,1
Perfect vedio as always,2,1
   ,1,
Thank you,1,1
Nice,1,1
Getting 40k views per video on a channel with 1 15m subs  as a millionaire  there s your title ,1,1
Wow those front running bots are interesting  ,1,1
This dude had proved everything there is to prove  At this point he is just having fun with it     GOOD JOB  Leapnotch,5,0
This dude had proved everything there is to prove  At this point he is just having fun with it     GOOD JOB  Leapnotch,2,0
Similar to million crypto  lots of scams out there ,1,1
 leapnotch Whenever I remember the day I  met this man     I feel happy and glad ,3,1
 leapnotch Whenever I remember the day I  met this man     I feel happy and glad ,3,1
 Pretty funny show   This is why I love TechLead lmao,9,1
  Your act of kindness   and your service show how big of a heart you have for others  Thanks for the 10K USDT you such amazing ,2,0
IF NOT FOR THIS SAME  GUY  I WON T HAVE BEEN ABLE TO RECOVER MY LOST BITCOIN ,1,0
damn I m a programmer and even I am too lazy to check the contract code on everything I buy  good thing I mainly deal in safe tokens but there might come a time when I get rekt,1,1
Bought more MM today  Thanks Techlead,1,1
Thanks Techlead  I was FOMOing into  ELON but just sold for  MM  Let s goo lions  ,2,1
THIS GUY      IS THE ONLY ONE I CAN RECOMMEND HERE  YES HE IS THAT GOOD    ,1,0
THIS GUY      IS THE ONLY ONE I CAN RECOMMEND HERE  YES HE IS THAT GOOD    ,1,0
I like how you explain the coding and show us what happens wow so cool,3,1
Damn  you are one of the best YouTuber in the world  you deserve a Diamond Disc from Youtube ,3,1
Solid content ,1,0
Koreans don t shy away when it comes to violence in their cinemas  It s relevant to the storyline and when the act happens you know why it happened  You re like   rooting for the situation to resolve in favor of the protagonist  When you have titles like  The man from nowhere  The Commitment  I Saw the devil  Old Boy  the original      etc    Squid games is really for kindergarteners    We need coders decoding these offerings in crypto and tokens popping up from everywhere  The lay man crypto investors are easy baits because they are clueless about the technology ,2,1
    I give  leapnotch a lot of credit being a man of your word  This dude was really cool to me  ,4,0
    I give  leapnotch a lot of credit being a man of your word  This dude was really cool to me  ,2,0
Such a smooth transition into the shilling at the end,1,1
Great video ,1,1
Very insightful explanation  Takes someone with your technical understanding to decipher this for us non technical viewers  Thanks  ,1,1
replace  squid for  shib  and you have a new tl video,1,1
Contacting this guy     wasn t a waste of time for me  he apparently got it done without any inconvenience ,1,1
Contacting this guy     wasn t a waste of time for me  he apparently got it done without any inconvenience ,1,0
When will MillionToken be listed on other exchanges  Many people are interested in the token but can t obtain it easily,3,1
all hail techlead,1,1
Million Token is indeed a rare crypto  a quality token that deserves its place in the crypto space   One day  people will realize the intrinsic values of the token and reaffirm the merits of the MM token to the world ,2,1
Thank you for raising awareness  A lot of people FOMO in and end up losing a lot of money  The most recent being Squid Game token unfortunately  Be safe guys  Do your research  learn and understand before you buy any cryptocurrency ,6,0
I wanted to say thank you for this video  I feel like you helped a lot of people out by bringing this to our attention ,9,1
I didn t find squid game   funny   entertaining yes funny  not really    as a millionaire  ,2,1
I m so happy    my life is totally changed  I ve been earning  10 250 returns  from my  4 000 Investment every 13 days   ,18,20
Trust me you won t regret trading with Mr Morgan James   ,1,
  Thanks you so much for the details   ,1,
                  ,1,
  How can I get in touch with Mr Morgan James     ,1,
Bitcoin is the future  Investing in it now will be the wisest to do especially with the current dip  ,1,
I still remember the first week I got in touch with Mr Morgan  James     His strategies was so easy to adopt but I made 2btc directly to my bitcoin wallet    ,1,
I just sent him a message and he responded  Thanks a lot    ,2,
 WHATSAPP                 Thanks a lot  I ll contact him right away     ,5,
                  ,6,
 msg me directo  I trade with him  The profit are secured and over a 100  return on investment directly sent to your wallet   ,1,
I heard a lot of investing with Mr Morgan james   and how good he is  please how safe are the profit   ,1,
The main hero in Squid Game looks like you ,1,1
Now this is the technical analysis the Crypto market has been missing  Thank you Techlead ,14,1
Techlead is underrated and is still very misunderstood by many outside of his community  Million Token to the moon ,8,2
Thank you TL  this is exactly how professionalism looks like   you taught us a lot in just a few minutes ,11,1
Thanks for the info man,2,1
Thank you  I m learning so much about cryptocurrencies from you ,3,1
This is why you are TechLead ,3,1
This is not financial advice but let s gooo     6B elons ,1,1
TechLead is now TechLord,2,1
Funny how all those shouting for  no central authority and regulations crypto future  are now crying that bots must be banned  By whom  LOL  This is your ideal world with no rules and regulations   Be your own bank ,7,0
You are to brilliant n kind to be so sad  You are truly amazing love   ,1,1
Ledger Nano X it s a crypto hardware wallet to store all your crypto and continue to trade in case of a security breach  And since it s a offline wallet it s basically impossible for anyone to breach your account unless you give them your account info and access,1,
 There s no doubt in my mind that we are not only going bull  but BTC is going nuclear  A lot of people are wondering if now is a good time to buy because of where the price is at right now  I d say it s outrightly wrong to just sit back hodl and wait maybe incur some losses along the line  that s a wrong mindset for an investor because as an investor finding ways to always increase and stack up more coins thereby making profiTs should be the way of life That being said  the market is still all about BTC at the moment and I ll advise current investors and newbies to take advantage of Seth Leonard program  a pro trader who runs a training program for investors  newbies who lack understanding on how trading Bitcoin works  to help them recover loss from the crash and also accumulate more bitcoin  with his program i went from having 3 8BTC to 12 8BTC in just 5 weeks You can reach him on TE LE GRAM      SethLeonard   ,4,9
Fact is  Most people think buying the dip and holding is the only way to achieve success in crypto  But guess what wrong   I got rid of that mentality after I engaged in trading daily and earning around  40k weekly with Leonard methods     ,1,
this is exactly what Big time investors are talking about  not just you  key thing here is to always trades with a good strategy even if the price goes up or down ,1,
Pumps or dumbs  I still earn around 1 btc every week with his strategy  I recommend him If you re holder like me ,1,
I checked out Mr  Seth Leonard before going ahead that was three months ago and now I never regret trusting him  First started small but with the outcome I got  I decided to put more and it s been amazing,1,
I stopped at 4 47 to subscribe to your channel   You are the first HONEST person who is not completely enamored with this crypto mania that actually understands what crypto is about   I am absolutely salivating at watching every video you put out   Thank you,2,1
This was more informative than I thought  Very high quality and educational video ,2,1
So bitcoin is basically Khols Cash ,1,1
Solid video   I learned a LOT about crypto that I didn t know that I didn t know in just 12 minutes   Thanks for that ,12,1
techlead   This is not Financial advice  also techlead  Million token will reach a market cap of  50Billion  ,56,3
 Strangely Compelling the vids on your channel are fucking weird bro,5,
He s not advising you to buy  he s just bragging in advance ,5,
excellent  pretty funny show lool i duno why I love this guy ,1,1
Great video TL  ,2,1
This is why people should invest in a real crypto 10 000X like  BOSS TOKEN,1,0
Will Shiba become same  ,1,1
Fantastic video Patrick  Very informativ  I actually learned something new and I m into crypto since 2017  so that s something   Love the lack of sarcasm aswell  your real you is always the better you IMO,6,1
Squid game fans be like   my money probably gone  but the show is good ,2,1
I am holding MM when moon ,1,1
You have de should have bought million token instead the founder is clear,1,1
same thing happened to million token  all of these people are going to prison,1,1
One of the best crypto vids,1,1
