,ID,Likes,Dislikes,View Count
0,_1PSvqho8UE,15802,638,289226
1,0DNZp5yGjDs,4235,870,77929
2,15sU1jyHQ5U,2801,423,63297
3,1PSIdXMMn7I,4543,169,75242
4,1zJJy-I6aDw,4983,456,100520
5,3FH7pqTP4tY,8991,556,195401
6,3gO6jCFAHic,6645,542,167089
7,4DOy5ybBHdM,4142,1608,102209
8,5X43XRF0qoc,13819,2680,374071
9,6PL5JDh6gG4,8176,469,144458
10,6Sxb2dKRi08,10225,2964,309558
11,7n2-fVixIMc,4953,740,105327
12,8f9n5AVpVlw,13159,866,358319
13,9tAemoKKCpo,13338,969,391042
14,A2FbXITlzjw,5564,909,118315
15,BBbrLjcrTlw,5590,556,92078
16,BerMWd8cjJA,4367,1634,92166
17,bT-oDTcjL0o,10077,1121,219982
18,Bu1R1aslj1k,5535,384,155393
19,cIpgI3rxk20,8584,453,185463
20,CMpjg1-PEwM,6726,380,257499
21,DEZGr4ix9So,2905,1889,63142
22,DGvP3uIo7IE,8726,437,119302
23,dN2OogPSmqw,4562,270,77350
24,DTy7IaggUjc,7608,862,139675
25,dyRNKo8GqK0,5348,426,136311
26,eAr8ReEUhM0,5609,526,164795
27,eAxWylM-zXQ,4207,724,93575
28,etbhj9iOdsU,6428,730,167876
29,etrBno7mUE4,7771,732,235126
30,EWtTdD2Ifmw,4445,955,103513
31,F1kQmeIsCVs,6334,1255,110587
32,FSMekeAT11Y,7685,1155,179271
33,gwiAdCliK14,6730,1285,229606
34,gwIhDdGwXxI,3361,593,112658
35,i8B2yLS0UgA,9327,879,223434
36,IBV-k9E0eHg,2697,2534,70488
37,IEmpYqIAivw,7895,22871,182968
38,IG8LfZoMd_E,13792,999,254516
39,IgDVCm8p-Fw,3923,2097,81806
40,iomRREashI0,19622,8211,559822
41,IVCaJYS7v3k,10880,3109,202322
42,j9kseiQmjEY,17265,4884,591031
43,jdCRAl1uQhk,14884,866,406850
44,jFp86n7QCf0,21712,6050,602806
45,jYagqQ5trMU,3329,474,94035
46,KzGdT6sQJac,4645,469,104807
47,L3RZlibefcM,5570,987,128810
48,mCZPO1yACx8,10039,874,212704
49,mKZjDmaNtaE,10587,1211,181915
50,MzQblqLzSF4,17254,2407,499870
51,oMif2tJs5q8,26604,5208,562864
52,OYfpMsuQCDA,6092,1204,133559
53,P0sufgentrk,6312,1249,211900
54,Q9aXfjE8SNs,6614,621,174980
55,qCdQiVd93AA,4467,1452,84646
56,QLFCPWqonsQ,4930,349,102882
57,qmtyGmwRiNU,5768,978,131931
58,rZjciV-pff0,3554,165,80633
59,SGO6IE4btSI,4906,1564,111043
60,shwOqeTAoKA,3422,238,89946
61,stcbKCsxkf8,6276,506,103074
62,TA0HzpM79ZI,4822,608,102857
63,V8nNpVjpn_w,5518,1501,154368
64,vOX9HAwutew,7576,712,125789
65,vUCWNmu8MMU,2732,405,68399
66,V_hBEY17i54,3806,715,96144
67,wwbM63-LFD4,50841,4308,952623
68,xBSEMJDwvXk,6687,3726,266208
69,y--7HycnXF0,10709,1683,218901
70,yZSatlqk_0s,3797,1015,108584
71,Z1u-FmzTIQE,10755,1175,163195
72,ZeYhF2n2yKE,5264,241,111338
73,zkBQF9QJLHY,3836,519,88853
74,_1PSvqho8UE,8064,301,164706
