Comment,Likes,Reply Count
John Oliver should get a Nobel peace prize. Or some other kind of prize.,0,
@Tryndamere some groups do do that every once in a while to troll people. but I was just giving a random example of the most popular one,0,
4chan organizing? Lol,0,
Oh my I've searched so many ailments studying herbalism.,0,
"Sadly, Cookies jumps easily and elegantly around Cookies. They just has to check your searches, your profiles, your internet history, etc, to fuck around with ya :3",0,
@Davo vaguely gesturing at some random thing is not something I really care about,0,
@Connor V nice of you to comment on poor typing instead of the content of the message.,0,
why...... do angry boomers...... type like this........,0,
im glad apple is taking great strides in protection,1,3
"@cascade also, unlike androids, their default web browser is safari a non tracking web browser while androids use google chrome which is essentially nothing more than a data collection vacuum.",0,
"@cascade first, apple has no control of their apps internal cookies, they cant enforce these apps to not have it. but the default for apple products since march 30th has been set to ask you the user, if you allow the app to track you or not.

the ""security bs"" is essential to encryption, without it your cloud, data history, and any hardware is completely exposed. thats why they hound you to add one. 

their goal is to destroy blackberry, the original totally encrypted phone. and they are successful when it comes ot text and phone call encryption i wouldnt shoot them down automatically because they legally cannot control apps to remove cookies.",0,
"Great strides like constant pounding about Passcode and other bs ""security"" that wastes my time. And like Oliver mentioned, the default settings are far from acting on my behalf.",0,
"why do interviewers never ask the obvious and powerful follow up questions, like, ""what do you consider abusing uses of your data?""

and of course the settlements always include the company dues not admit any wrong doing.",1,1
"Because they're bought and paid for, that's why",0,
the whole point is to not publish it so that the politicians pass the bill out of fear. If he publishes it right away they won't have a reason to pass it....,0,
that would be against the point,0,
Why?,0,
Imagine a topsy-turvy world where joke news shows hand more journalistic qualities and integrity than actually news media.,0,
campaign was absolutely the trailblazer for this type of activity at least on a political level. I knew many fellow data science professionals volunteering for his campaign to do,0,
This might be the single best episode so far. I can't believe he went this far. Gotta love John Oliver,32,1
"That and the one about SLAPP Suits, and the Dalai Lama one, and the Police Investigations one, and the wrongful convictions one,and the Coal industry onr, and...... all of them really",1,
"out there these days is basing their profit on how efficiently they can harvest data from you, that's what the clicks are bringing in for profit.",0,
"""Perfectly legal bits of fuckery"" should be this shows tag line.",1,1
Now THAT'S a fuckery...,0,
"*Thanks for your comment....for support and* *Mentorship*
*Leave a msg* 👆💰🔝",0,
"*Thanks for your comment....for support and* *Mentorship*
*Leave a msg* 👆💰🔝",0,
"Feedback appreciated
Wanting more info and insight
WatsApp the number above,
Endeavour to reach out.",0,
"Feedback appreciated
Wanting more info and insight
WatsApp the number above,
Endeavour to reach out..",0,
"Feedback appreciated
Wanting more info and insight
WatsApp the number above,
Endeavour to reach out..",0,
"Feedback appreciated
Wanting more info and insight
WatsApp the number above,
Endeavour to reach out..",0,
